מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
705,אלפסי 15,51,2018,1949000,30025-122-13,דירה בבית,2,38216
706,רמבן 9,170.68,2018,8750000,30026-6-2,דירה בבית,6,51266
707,עובדיה מברטנורה 8,71,2018,2480000,30026-78-6,דירה בבית,3.5,34930
709,דיסקין 13,134,2018,1575000,30165-38-59,דירה בבית,5.5,11754
710,0,80.16,2018,2400000,30042-63-9,דירה בבית,3,29940
711,אלפסי 33,89.1,2018,2650000,30025-105-5,דירה בבית,4,29742
712,בן מימון 37,88,2018,3000000,30025-53-5,דירה בבית,4,34091
713,בן מימון 30,125.7,2018,9905000,30026-24-7,דירה בבית,5,78799
714,רמבן 19,91.6,2018,2800000,30026-16-6,דירה בבית,4,30568
715,דיסקין 15,100,2018,2650000,30165-38-3,דירה בבית,4,26500
716,בנימין מטודלה 25,51,2018,2150000,30025-169-5,דירה בבית,2,42157
717,עזה 52,48,2018,1650000,30025-147-6,דירה בבית,3,34375
718,רמבן 9,139.92,2018,6550000,30026-6-8,דירה בבית,5,46812
719,רדק 21,70,2018,377000,30026-99-12,דירה בבית,3,5386
720,דיסקין 11,130,2018,2300000,30165-38-2,דירה בבית,3.5,17692
721,דיסקין 9,93,2018,2938000,30165-53-2,דירה בבית,4,31591
722,דיסקין 15,180,2018,4499000,30165-38-1,דירה בבית,6,24994
723,יצחק בן צבי 39,41.7,2018,700000,30040-86-141,דירה בבית,2,16787
724,0,71,2018,1120000,30042-39-4,דירה בבית,3,15775
725,בנימין מטודלה 16,64,2018,2200000,30025-108-4,דירה בבית,3,34375
726,0,71,2018,3000000,30038-21-6,דירה בבית,3,42254
727,0,61,2018,2925000,30038-69-10,דירה בבית,3,47951
728,יצחק בן צבי 39,41.7,2018,935000,30040-86-171,דירה בבית,2,22422
729,הארי 11,65,2018,2450000,30026-119-2,דירה בבית,3,37692
730,עזה 62,63,2018,1950000,30025-162-3,דירה בבית,3,30952
731,0,35.91,2018,1674000,30038-66-7,דירה בבית,2,46617
732,בן מימון 9,85,2018,3120000,30026-35-2,דירה בבית,4,36706
733,אלפסי 2,49.4,2018,1799000,30025-32-2,דירה בבית,3,36417
734,עזה 32,83.5,2018,2340000,30025-130-2,דירה בבית,4,28024
736,יצחק בן צבי 37,105.4,2018,2124000,30040-86-71,דירה בבית,4,20152
737,0,100,2018,2450000,30165-6-1,דירה בבית,4,24500
738,יצחק בן צבי 37,103.2,2018,2150000,30040-86-84,דירה בבית,4,20833
739,עזה 49,56,2018,1700000,30023-27-1,דירה בבית,2,30357
740,דיסקין 9,95,2018,3320000,30165-53-1,דירה בבית,4,34947
741,הארי 25,91.4,2018,3700000,30023-63-12,דירה בבית,4,40481
742,הארי 25,81,2018,2127000,30023-63-11,דירה בבית,3,26259
743,0,100,2018,848000,30165-6-2,דירה בבית,4,8480
744,0,75,2018,2525000,30038-145-9,דירה בבית,4,33667
745,עזה 58,44,2018,1680000,30025-150-15,דירה בבית,2,38182
746,הנשיא 2,76.25,2018,3200000,30023-68-2,דירה בבית,4,41967
747,אבן עזרא 19,90,2018,3675000,30038-31-6,דירה בבית,4,40833
748,עזה 22,81,2018,2499000,30026-33-4,דירה בבית,4,30852
749,0,93.1,2018,4400000,30039-157-1,דירה בבית,3,47261
750,רמבן 23,58,2018,2066500,30026-21-16,דירה בבית,3,35629
751,0,25,2018,1250000,30038-34-5,דירה בבית,2,50000
752,0,84.2,2018,3000000,30042-80-63,דירה בבית,2.5,35629
753,רשבא 4,97,2018,4444400,30025-59-7,דירה בבית,4,45819
754,מגנס 3,89,2018,3148000,30025-93-5,דירה בבית,4,35371
755,ארלוזורוב 5,50,2018,1824000,30026-29-5,דירה בבית,2,36480
757,רוטנברג 4,47,2018,573000,30023-67-4,דירה בבית,3,12191
758,0,100,2018,4150000,30038-92-4,דירה בבית,4,41500
759,הארי 10,62,2018,2112000,30026-133-8,דירה בבית,3,34065
761,עזה 32,88.7,2018,2400000,30025-130-5,דירה בבית,4,27057
762,בלפור 8,107,2018,4200000,30026-58-4,דירה בבית,3,39252
763,חרלפ 11,62,2018,1170000,30023-52-5,דירה בבית,3,18871
764,0,128,2018,3500000,30165-6-3,דירה בבית,6,27344
765,בן לברט 2,72,2018,1325000,30025-167-8,דירה בבית,3,18403
766,אלפסי 3,69,2018,2600000,30026-41-9,דירה בבית,3,37681
767,רמבן 33,48,2018,1550000,30025-2-1,דירה בבית,2,32292
768,עזה 7,80,2018,2900000,30026-52-5,דירה בבית,4,36250
769,בן מימון 29,80,2018,2450000,30025-42-3,דירה בבית,3,30625
770,רמבן 9,145.52,2018,7500000,30026-6-7,דירה בבית,5,51539
771,רמבן 1,68,2018,2610000,30026-1-23,דירה בבית,3,38382
772,עזה 32,93.8,2018,1220000,30025-130-3,דירה בבית,4,13006
773,רמבן 59,41,2018,1500000,30025-67-13,דירה בבית,2,36585
774,0,100,2018,4100000,30038-92-5,דירה בבית,4,41000
775,0,69.45,2018,2299000,30038-83-8,דירה בבית,3,33103
776,הארי 11,65,2018,2200000,30026-119-9,דירה בבית,3,33846
777,בנימין מטודלה 13,55,2018,1900000,30025-146-7,דירה בבית,2,34545
779,ארלוזורוב 6,115,2018,4149000,30026-19-6,דירה בבית,5,36078
780,0,107,2018,2720000,30165-6-4,דירה בבית,4,25421
781,דיסקין 3,201,2018,6810000,30165-2-12,דירה בבית,5,33881
782,0,110,2018,6121000,30042-80-4,דירה בבית,4,55645
783,0,24,2018,1950000,30039-179-1,דירה בבית,2,81250
784,רמבן 9,97.77,2018,4750000,30026-6-6,דירה בבית,4,48583
785,0,60,2018,1990000,30042-59-11,דירה בבית,2,33167
786,ארלוזורוב 26,106,2018,6055500,30026-92-7,דירה בבית,4,57127
787,יצחק בן צבי 35,103,2018,2600000,30040-86-45,דירה בבית,4,25243
788,עזה 33,58,2018,1600000,30026-130-19,דירה בבית,3,27586
789,עובדיה מברטנורה 6,66,2018,2650000,30026-79-2,דירה בבית,3,40152
