city,neighborhood,transaction_id,שם העיר,שם השכונה,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ירושלים,רמת מוצא,1,ירושלים,רמת מוצא,המתנחלים בהר 1,125,2024,4080000,30311-56-3,דירה בבית,5,32640
ירושלים,רמת מוצא,2,ירושלים,רמת מוצא,0,126,2024,1333000,30311-47-5,דירה בבית,4,10579
ירושלים,רמת מוצא,3,ירושלים,רמת מוצא,רמת מוצא 10,120,2024,3500000,30311-29-2,קוטג' חד משפחתי,7,29167
ירושלים,רמת מוצא,5,ירושלים,רמת מוצא,המתנחלים בהר 23,165.2,2024,4775000,30311-70-6,דירה בבית,5,28904
ירושלים,רמת מוצא,6,ירושלים,רמת מוצא,המתנחלים בהר 1,170,2023,4455000,30311-56-2,דירה בבית,6,26206
ירושלים,רמת מוצא,8,ירושלים,רמת מוצא,0,114.51,2023,3800000,30312-77-8,דירה בבית,5,33185
ירושלים,רמת מוצא,9,ירושלים,רמת מוצא,המתנחלים בהר 13,70,2022,1700000,30311-44-5,דירה בבית,3,24286
ירושלים,רמת מוצא,11,ירושלים,רמת מוצא,0,57.45,2022,2145000,30314-84-11,דירה בבית,2,37337
ירושלים,רמת מוצא,14,ירושלים,רמת מוצא,0,180.4,2022,5800000,30312-74-1,דירה בבית,6,32151
ירושלים,רמת מוצא,15,ירושלים,רמת מוצא,המתנחלים בהר 26,191.5,2022,1397000,30311-91-1,קוטג' דו משפחתי,6,7295
ירושלים,רמת מוצא,16,ירושלים,רמת מוצא,המתנחלים בהר 13,142,2022,4100000,30311-44-4,דירה בבית,6,28873
ירושלים,רמת מוצא,17,ירושלים,רמת מוצא,0,180.4,2022,5800000,30312-74-2,דירה בבית,6,32151
ירושלים,רמת מוצא,18,ירושלים,רמת מוצא,המתנחלים בהר 1,170,2022,3000000,30311-56-4,קוטג' דו משפחתי,7,17647
ירושלים,רמת מוצא,19,ירושלים,רמת מוצא,המתנחלים בהר 1,125,2022,2500000,30311-56-5,דירה בבית,5,20000
ירושלים,רמת מוצא,20,ירושלים,רמת מוצא,יחיאל שטיינברג 15,89,2021,2240000,30314-5-12,דירה בבית,4,25169
ירושלים,רמת מוצא,21,ירושלים,רמת מוצא,המתנחלים בהר 13,77,2021,720000,30311-44-3,דירה בבית,3,9351
ירושלים,רמת מוצא,22,ירושלים,רמת מוצא,אריה מקלף 4,160,2021,4050000,30311-34-2,דירה בבית,6,25313
ירושלים,רמת מוצא,23,ירושלים,רמת מוצא,שמואל ברוזה 4,55.9,2021,567000,30312-75-5,דירה בבית,3,10143
ירושלים,רמת מוצא,24,ירושלים,רמת מוצא,שמואל ברוזה 4,53,2021,1135000,30312-75-10,דירה בבית,2,21415
