מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
417,פנחס רוזן 4,152.6,2017,2500000,30193-34-4,דירה בבית,7,16383
418,קדיש לוז 7,68.6,2017,2185000,30191-15-33,דירה בבית,4,31851
419,0,107,2017,2796000,30191-50-32,דירה בבית,4,26131
420,משה נובומיסקי 6,102.3,2017,2370000,30193-3-85,דירה בבית,4,23167
421,הרב יוסף שרים 10,68.5,2017,1520000,30191-9-18,דירה בבית,3,22190
422,פרץ ברנשטיין 9,64.45,2017,1750000,30193-3-21,דירה בבית,3,27153
423,קדיש לוז 11,67.1,2017,1449000,30191-15-50,דירה בבית,3,21595
424,קדיש לוז 10,63.9,2017,1585000,30191-23-71,דירה בבית,3,24804
425,0,134,2017,3274000,30191-50-39,דירה בבית,5,24433
426,קדיש לוז 10,63.9,2017,1680000,30191-23-14,דירה בבית,3,26291
427,דוד מרץ 10,65.3,2017,1760000,30193-3-14,דירה בבית,3,26953
428,0,113,2017,2739000,30191-50-97,דירה בבית,4,24239
429,ברנשטיין פרץ 4,113,2017,3000000,30193-16-1,דירה בבית,5,26549
430,הרב יוסף שרים 3,127.9,2017,3069000,30191-44-5,דירה בבית,5,23995
431,משה שרת 21,65.5,2017,1635000,30193-72-40,דירה בבית,3,24962
432,0,116.5,2017,2700000,30191-50-49,דירה בבית,4,23176
433,אינו שקי 22,104.2,2017,2900000,30193-108-54,דירה בבית,4,27831
434,קדיש לוז 11,68.5,2017,1560000,30191-15-43,דירה בבית,3,22774
435,רוזן פנחס 5,83.2,2017,1749000,30193-25-59,דירה בבית,3,21022
436,משה נובומיסקי 1,64.45,2017,1775000,30193-3-28,דירה בבית,3,27541
437,קדיש לוז 8,63.9,2017,1625000,30191-26-70,דירה בבית,3,25430
438,משה נובומיסקי 4,66.5,2017,1749000,30193-3-74,דירה בבית,3,26301
439,משה שרת 7,101.4,2017,2440000,30193-74-24,דירה בבית,4,24063
440,קדיש לוז 10,64.1,2017,1730000,30191-23-53,דירה בבית,3,26989
441,שרת משה 21,119.3,2017,2575000,30193-72-12,דירה בבית,5,21584
442,קדיש לוז 12,64.1,2017,1399000,30191-23-156,דירה בבית,3,21825
443,משה שרת 7,101.4,2017,2590000,30193-74-27,דירה בבית,4,25542
444,0,110,2017,2797000,30191-50-60,דירה בבית,4,25427
445,0,103.3,2017,2821000,30191-50-109,דירה בבית,4,27309
446,משה נובומיסקי 1,102.3,2017,2500000,30193-3-25,דירה בבית,5,24438
447,0,119.1,2017,3266000,30191-50-2,דירה בבית,5,27422
448,אינו שקי 22,95.2,2017,2535000,30193-108-42,דירה בבית,4,26628
449,0,110,2017,2726000,30191-50-52,דירה בבית,4,24782
450,רוזן פנחס 7,94.3,2017,2350000,30193-22-61,דירה בבית,4,24920
451,קדיש לוז 12,63.9,2017,1500000,30191-23-138,דירה בבית,3,23474
452,משה שרת 10,126.1,2017,3075000,30193-58-3,דירה בבית,5,24385
453,דוד מרץ 5,250,2017,4800000,30192-162-2,דירה בבית,8,19200
454,הרב יוסף שרים 7,132.3,2017,2500000,30191-44-21,דירה בבית,5,18896
455,ברנשטיין פרץ 8,74.5,2017,1670000,30193-16-23,דירה בבית,3,22416
456,רוזן פנחס 7,121.8,2017,1900000,30193-22-32,דירה בבית,4,15599
457,אינו שקי 22,82.2,2017,1849000,30193-108-52,דירה בבית,3,22494
458,ברכה צפירה 18,116,2017,2300000,30193-43-10,דירה בבית,4,19828
459,רוזן פנחס 5,103.54,2017,2380000,30193-25-30,דירה בבית,4,22986
460,משה שרת 3,107.5,2017,2560000,30193-115-19,דירה בבית,4,23814
461,0,202.7,2017,4500000,30192-280-5,דירה בבית,5,22200
462,0,170.5,2017,4500000,30192-280-2,דירה,5,26393
463,קדיש לוז 2,81.1,2017,2075000,30193-70-2,דירה בבית,4,25586
464,השופט בנימין 12,184,2017,5509500,30570-74-2,דירה בבית,8,29943
465,ברכה צפירה 16,128.4,2017,3225000,30193-44-11,דירה בבית,5,25117
466,דוד מרץ 13,191,2017,4100000,30192-163-3,דירה בבית,6,21466
467,ברנשטיין פרץ 10,105.8,2017,2720000,30193-19-1,דירת גן,4,25709
468,0,134,2017,3110000,30191-50-27,דירה בבית,5,23209
469,0,102.9,2017,3089000,30191-50-26,דירה בבית,5,30019
