city,neighborhood,transaction_id,שם העיר,שם השכונה,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ירושלים,שועפאת,1,ירושלים,שועפאת,0,120,2025,1500000,30559-10-1,דירה בבית,4,12500
ירושלים,שועפאת,2,ירושלים,שועפאת,0,120,2024,2400000,30559-10-3,דירה בבית,4,20000
ירושלים,שועפאת,3,ירושלים,שועפאת,0,125,2024,1000000,30549-88-6,דירה בבית,4,8000
ירושלים,שועפאת,5,ירושלים,שועפאת,אל-קעקאע 7,120,2024,2442000,30555-23-1,דירה בבית,4,20350
ירושלים,שועפאת,7,ירושלים,שועפאת,0,77,2024,750000,30559-10-5,דירה בבית,3,9740
ירושלים,שועפאת,13,ירושלים,שועפאת,0,120,2024,2197000,30559-10-10,דירה בבית,4,18308
ירושלים,שועפאת,24,ירושלים,שועפאת,0,85,2023,950000,30553-14-1,דירת,3,11176
ירושלים,שועפאת,30,ירושלים,שועפאת,0,120,2023,2000000,30559-10-22,דירה בבית,4,16667
ירושלים,שועפאת,31,ירושלים,שועפאת,0,120,2023,550000,30549-9-1,דירה בבית,4,4583
ירושלים,שועפאת,33,ירושלים,שועפאת,0,90,2023,1463000,30559-10-24,דירה בבית,3,16256
ירושלים,שועפאת,34,ירושלים,שועפאת,אל-מסק 4,114,2023,780000,30559-61-1,דירה בבית,4,6842
ירושלים,שועפאת,35,ירושלים,שועפאת,0,90,2023,1445000,30559-10-28,דירה בבית,3,16056
ירושלים,שועפאת,38,ירושלים,שועפאת,0,120,2023,1680000,30559-10-31,דירה בבית,5,14000
ירושלים,שועפאת,39,ירושלים,שועפאת,0,81,2023,1370000,30559-10-32,דירה בבית,4,16914
ירושלים,שועפאת,41,ירושלים,שועפאת,0,125,2023,1400000,30559-10-33,דירה בבית,5,11200
ירושלים,שועפאת,42,ירושלים,שועפאת,0,104,2023,1800000,30559-10-34,דירה בבית,5,17308
ירושלים,שועפאת,43,ירושלים,שועפאת,0,80,2023,950000,30559-10-35,דירה בבית,3,11875
ירושלים,שועפאת,44,ירושלים,שועפאת,0,155,2023,1825000,30553-9-1,דירה בבית,5,11774
ירושלים,שועפאת,46,ירושלים,שועפאת,0,104,2023,1722000,30559-10-36,דירה בבית,5,16558
ירושלים,שועפאת,49,ירושלים,שועפאת,0,117,2022,1950000,30559-10-37,דירה בבית,4,16667
ירושלים,שועפאת,50,ירושלים,שועפאת,0,140,2022,2339000,30559-10-38,דירה בבית,5,16707
ירושלים,שועפאת,51,ירושלים,שועפאת,0,117,2022,1650000,30559-10-39,דירה בבית,4,14103
ירושלים,שועפאת,53,ירושלים,שועפאת,0,95,2022,1330000,30559-10-40,דירה בבית,4,14000
ירושלים,שועפאת,55,ירושלים,שועפאת,0,110,2022,1300000,30553-14-4,דירה בבית,3,11818
ירושלים,שועפאת,60,ירושלים,שועפאת,אל-פאראבי 25,160,2022,1800000,30544-8-8,דירה בבית,5,11250
ירושלים,שועפאת,62,ירושלים,שועפאת,0,110,2022,1350000,30553-14-5,דירה בבית,3,12273
ירושלים,שועפאת,65,ירושלים,שועפאת,0,100,2022,1300000,30553-14-6,דירה בבית,3,13000
ירושלים,שועפאת,66,ירושלים,שועפאת,א-תקווא 4,95,2021,800000,30559-75-1,דירה בבית,3,8421
ירושלים,שועפאת,67,ירושלים,שועפאת,0,110,2021,1350000,30553-14-7,דירה בבית,3,12273
ירושלים,שועפאת,68,ירושלים,שועפאת,0,110,2021,1300000,30553-14-8,דירה בבית,3,11818
