מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
96,ירמיהו 14,57,2016,1900000,30079-111-10,דירה בבית,3,33333
97,חנה 17,59.83,2016,1790000,30079-199-109,דירה בבית,2.5,29918
98,פנינה 1,94,2016,3500000,30079-243-15,דירה בבית,5,37234
99,פנינה 6,65,2016,100000,30079-240-21,דירה בבית,3,1538
100,ירמיהו 10,76,2016,2000000,30079-109-2,דירה בבית,4,26316
101,0,41,2016,1600000,30079-100-8,דירה בבית,3,39024
102,חנה 9,80,2016,1930000,30079-202-26,דירה בבית,4,24125
103,עלי הכהן 19,99.6,2016,3500000,30080-293-7,דירה בבית,4,35141
104,אלקנה 12,68.54,2016,2600000,30079-199-85,דירה בבית,3,37934
105,אלקנה 15,90,2016,1900000,30079-97-13,דירה בבית,4,21111
