city,neighborhood,transaction_id,שם העיר,שם השכונה,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
כפר יונה,בנה ביתך,1,כפר יונה,בנה ביתך,נחל משושים 46,170,2025,3140000,9503-54-4,דירה בבית,6,18471
כפר יונה,בנה ביתך,3,כפר יונה,בנה ביתך,נחל בשור 84,250,2025,3850000,9502-101-3,דירה בבית,5,15400
כפר יונה,בנה ביתך,4,כפר יונה,בנה ביתך,נחל בשור 152,168,2025,3260000,9503-108-2,דירה בבית,6,19405
כפר יונה,בנה ביתך,8,כפר יונה,בנה ביתך,נחל כזיב 21,227,2025,4350000,8125-92-1,דירה בבית,6,19163
כפר יונה,בנה ביתך,11,כפר יונה,בנה ביתך,נחל בשור 44,156,2024,3200000,9502-16-3,דירה בבית,6,20513
כפר יונה,בנה ביתך,12,כפר יונה,בנה ביתך,נחל קמה 2,151,2024,2950000,9502-107-3,דירה בבית,6,19536
כפר יונה,בנה ביתך,32,כפר יונה,בנה ביתך,נחל משושים 26,192,2022,3940000,9503-62-5,קוטג' דו משפחתי,5,20521
כפר יונה,בנה ביתך,34,כפר יונה,בנה ביתך,הירמוך 37,185,2022,3875000,9503-132-10,דירה בבית,6,20946
כפר יונה,בנה ביתך,35,כפר יונה,בנה ביתך,מוריס פישר 8,254,2022,4300000,8125-174-5,דירה בבית,6,16929
כפר יונה,בנה ביתך,37,כפר יונה,בנה ביתך,מוריס פישר 8,254,2022,4300000,8125-174-4,קוטג' דו משפחתי,6,16929
כפר יונה,בנה ביתך,38,כפר יונה,בנה ביתך,הירמוך 45,256,2022,4200000,9503-133-15,דירה בבית,7,16406
כפר יונה,בנה ביתך,39,כפר יונה,בנה ביתך,נחל קמה 7,252,2022,3800000,9502-108-2,קוטג' דו משפחתי,6,15079
כפר יונה,בנה ביתך,41,כפר יונה,בנה ביתך,נחל משושים 10,240,2022,4180000,9503-123-2,דירה בבית,6,17417
כפר יונה,בנה ביתך,44,כפר יונה,בנה ביתך,נחל דליות 1,285,2022,3680000,8125-115-1,קוטג' דו משפחתי,5,12912
כפר יונה,בנה ביתך,47,כפר יונה,בנה ביתך,נחל משושים 68,136.6,2022,2940000,9503-130-1,קוטג' דו משפחתי,5,21523
כפר יונה,בנה ביתך,50,כפר יונה,בנה ביתך,נחל דלתון 58,148.8,2021,2980000,9502-100-4,קוטג' דו משפחתי,6,20027
כפר יונה,בנה ביתך,51,כפר יונה,בנה ביתך,נחל כזיב 2,330,2021,3650000,8125-209-1,קוטג' חד משפחתי,5,11061
כפר יונה,בנה ביתך,52,כפר יונה,בנה ביתך,נחל בשור 134,182,2021,2970000,9503-27-13,קוטג' דו משפחתי,5,16319
כפר יונה,בנה ביתך,55,כפר יונה,בנה ביתך,נחל תנינים 42,236,2021,2840000,9502-29-2,קוטג' דו משפחתי,6,12034
כפר יונה,בנה ביתך,57,כפר יונה,בנה ביתך,נחל תנינים 30,216,2021,2850000,9502-18-2,קוטג' דו משפחתי,6,13194
כפר יונה,בנה ביתך,58,כפר יונה,בנה ביתך,הברוש 73,289,2021,2850000,9503-193-3,קוטג' דו משפחתי,6,9862
כפר יונה,בנה ביתך,59,כפר יונה,בנה ביתך,נחל צין 24,139.35,2021,2110000,9503-6-5,דירה בבית,5,15142
כפר יונה,בנה ביתך,60,כפר יונה,בנה ביתך,הברוש 49,133.1,2021,2400000,9503-8-8,קוטג' דו משפחתי,6,18032
כפר יונה,בנה ביתך,61,כפר יונה,בנה ביתך,הברוש 75,270,2021,2675000,9503-194-2,קוטג' דו משפחתי,5,9907
כפר יונה,בנה ביתך,62,כפר יונה,בנה ביתך,נחל פולג 7,133.1,2021,2175000,9503-24-2,דירה בבית,6,16341
כפר יונה,בנה ביתך,64,כפר יונה,בנה ביתך,נחל בשור 132,159,2021,2340000,9503-27-12,דירה בבית,6,14717
כפר יונה,בנה ביתך,65,כפר יונה,בנה ביתך,נחל בשור 164,269,2021,3050000,9503-33-7,קוטג' חד משפחתי,6,11338
כפר יונה,בנה ביתך,67,כפר יונה,בנה ביתך,נחל זוויתן 1,139,2021,2320000,9503-90-2,קוטג' דו משפחתי,6,16691
כפר יונה,בנה ביתך,68,כפר יונה,בנה ביתך,נחל בשור 190,197,2021,2495000,9503-135-9,קוטג' דו משפחתי,6,12665
כפר יונה,בנה ביתך,70,כפר יונה,בנה ביתך,נחל בשור 2,152,2021,2070000,9501-6-3,קוטג' דו משפחתי,6,13618
כפר יונה,בנה ביתך,71,כפר יונה,בנה ביתך,נחל בשור 50,165,2021,2700000,9502-25-2,קוטג' דו משפחתי,5,16364
