city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
כפר סבא,הדרים,189,בקעת בית נטופה 8,84.6,2020,2048000,7606-115-19,דירה בבית,4,24208
כפר סבא,הדרים,190,בקעת באר שבע 12,88.44,2020,2465000,7606-116-15,דירה בבית,4,27872
כפר סבא,הדרים,191,בקעת הירח 6,227.1,2020,4200000,7606-172-2,קוטג' דו משפחתי,6,18494
כפר סבא,הדרים,192,בית הבד 11,79.7,2020,1710000,7602-240-15,דירה בבית,3,21455
כפר סבא,הדרים,193,עמק חורון 2,75.95,2020,1950000,7618-82-5,דירה בבית,4,25675
כפר סבא,הדרים,194,המוביל 16,71.79,2020,1980000,7618-292-14,דירה בבית,3,27580
כפר סבא,הדרים,197,עמק דותן 8,77.6,2020,1960000,7618-164-15,דירה בבית,4,25258
כפר סבא,הדרים,198,המוביל 18,71.95,2020,2110000,7618-226-15,דירה בבית,3,29326
כפר סבא,הדרים,200,עמק האלה 2,94.5,2020,2125000,7618-305-2,דירה בבית,4,22487
כפר סבא,הדרים,201,בקעת צין 6,81.9,2020,2000000,7606-124-17,דירה בבית,3.5,24420
כפר סבא,הדרים,202,חטיבת אלכסנדרוני 12,109.33,2020,2800000,7603-101-4,דירה בבית,5,25611
כפר סבא,הדרים,203,עמק דותן 12,79.1,2020,2070000,7618-165-9,דירה בבית,4,26169
כפר סבא,הדרים,204,המוביל 12,71.79,2020,1750000,7618-291-7,דירה בבית,3,24377
כפר סבא,הדרים,206,עמק עירון 3,130.3,2020,3250000,7618-319-37,דירה בבית,5.5,24942
כפר סבא,הדרים,207,בקעת באר שבע 2,78.4,2020,1900000,7606-127-13,דירה בבית,4,24235
כפר סבא,הדרים,209,עמק דותן 12,119.2,2020,2720000,7618-165-1,דירה בבית,5,22819
כפר סבא,הדרים,210,עמק חורון 6,71.56,2020,1900000,7618-317-5,דירה בבית,4,26551
כפר סבא,הדרים,211,עמק חורון 9,104,2020,2650000,7618-78-20,דירה בבית,6,25481
כפר סבא,הדרים,212,בקעת באר שבע 2,73.5,2020,1725000,7606-127-26,דירה בבית,3,23469
כפר סבא,הדרים,213,קדומים 5,121.19,2020,2885000,7603-96-6,קוטג' חד משפחתי,6,23806
כפר סבא,הדרים,214,עמק איילון 9,77,2020,1980000,7618-196-15,דירה בבית,4,25714
כפר סבא,הדרים,215,עמק חרוד 6,82.95,2020,1910000,7618-180-3,דירה בבית,3,23026
כפר סבא,הדרים,216,עמק חפר 5,88.2,2020,1934000,7618-224-16,דירה בבית,3.5,21927
כפר סבא,הדרים,217,עמק דותן 20,76.23,2020,1900000,7618-178-10,דירה בבית,4,24925
כפר סבא,הדרים,218,עמק חפר 4,87.61,2020,2200000,7618-85-16,דירה בבית,4,25111
כפר סבא,הדרים,219,עמק חורון 8,71.79,2020,1909000,7618-290-13,דירה בבית,3,26591
כפר סבא,הדרים,220,עמק חרוד 6,118.12,2020,2235000,7618-180-23,דירה בבית,5,18921
כפר סבא,הדרים,221,עמק איילון 3,76.51,2020,1950000,7618-83-16,דירה בבית,4,25487
כפר סבא,הדרים,222,עמק זבולון 15,218.7,2020,4150000,7618-94-3,דירה בבית,6,18976
כפר סבא,הדרים,223,עמק דותן 12,86.15,2020,2350000,7618-165-6,דירה בבית,5,27278
כפר סבא,הדרים,224,עמק איילון 2,71.79,2020,1820000,7618-291-16,דירה בבית,3,25352
כפר סבא,הדרים,225,בקעת הירח 4,81.9,2020,2030000,7606-125-20,דירה בבית,4,24786
כפר סבא,הדרים,226,עמק חפר 2,118.41,2020,2380000,7618-84-21,דירה בבית,5,20100
כפר סבא,הדרים,227,עמק עירון 5,108.9,2020,3150000,7618-319-50,דירה בבית,5,28926
כפר סבא,הדרים,228,עמק דותן 4,88.2,2020,2030000,7618-225-3,דירה בבית,3.5,23016
כפר סבא,הדרים,229,עמק עירון 10,82.2,2020,1930000,7618-318-10,דירה בבית,3.5,23479
כפר סבא,הדרים,230,עמק חורון 9,72,2020,1865000,7618-78-18,דירה בבית,3,25903
כפר סבא,הדרים,231,עמק חרוד 1,72.51,2020,1800000,7618-166-25,דירה בבית,3,24824
