city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
כפר סבא,יוספטל,126,שלמה המלך 15,36.3,2018,1040000,7601-70-4,דירה בבית,2,28650
כפר סבא,יוספטל,127,שאול המלך 9,51.1,2018,1100000,7600-156-15,דירה בבית,3,21526
כפר סבא,יוספטל,128,מצדה 3,56.2,2018,1380000,7601-81-5,דירה בבית,3,24555
כפר סבא,יוספטל,129,שאול המלך 13,45.7,2018,1140000,7601-78-12,דירה בבית,3,24945
כפר סבא,יוספטל,130,שלמה המלך 3,46.9,2018,1060000,7602-141-13,דירה בבית,3,22601
כפר סבא,יוספטל,132,שאול המלך 11,53.7,2018,1180000,7600-157-11,דירה בבית,3,21974
כפר סבא,יוספטל,133,שאול המלך 14,52.4,2018,900000,7601-77-3,דירה בבית,3,17176
כפר סבא,יוספטל,134,שאול המלך 1,49.6,2018,1230000,7600-146-9,דירה בבית,3,24798
כפר סבא,יוספטל,135,שלמה המלך 12,45.2,2018,1100000,7601-87-11,דירה בבית,3,24336
כפר סבא,יוספטל,136,יהודה המכבי 2,56,2018,1000000,7601-98-15,דירה בבית,3,17857
כפר סבא,יוספטל,137,דוד המלך 8,87,2018,1950000,7602-303-5,דירה בבית,4,22414
כפר סבא,יוספטל,138,שלמה המלך 10,52.4,2018,1000000,7535-43-32,דירה בבית,3,19084
כפר סבא,יוספטל,139,יהודה המכבי 7,36.3,2018,950000,7601-69-13,דירה בבית,2,26171
כפר סבא,יוספטל,140,שאול המלך 3,38.9,2018,1250000,7600-147-10,דירה בבית,2,32134
כפר סבא,יוספטל,141,שלמה המלך 12,41.2,2018,1125000,7601-87-6,דירה בבית,3,27306
כפר סבא,יוספטל,142,לוי אשכול 53,49.6,2018,1370000,7602-144-3,קוטג' דו משפחתי,3,27621
