מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
33,חסידה 5,125,2023,3920000,9088-44-32,דירה בבית,5,31360
34,נשר 1,104,2023,3150000,7598-193-13,דירה בבית,4,30288
35,נשר 7,261,2023,4910000,7598-182-4,דירת,6,18812
36,בז 1,91.2,2023,2720000,9088-29-10,דירה בבית,4,29825
37,זמיר 11,121.7,2023,3850000,9088-42-30,דירה בבית,5,31635
38,חסידה 8,186.24,2023,177000,9088-7-22,דירה בבית,6,950
39,חסידה 5,105,2023,3150000,9088-44-46,דירה בבית,4,30000
40,חסידה 5,105,2023,3180000,9088-44-10,דירה בבית,4,30286
41,חסידה 8,98.83,2023,3060000,9088-7-13,דירה בבית,4,30962
42,זמיר 4,90.9,2023,2720000,9088-17-12,דירה בבית,4,29923
43,זמיר 8,94.4,2023,3430000,9088-16-3,דירת גן,4,36335
44,זמיר 12,102,2023,3820000,9088-15-1,דירת גן,4,37451
45,חסידה 4,103,2023,3170000,9088-43-59,דירה בבית,4,30777
46,זמיר 9,90.3,2023,3075000,9088-20-15,דירה בבית,4,34053
47,זמיר 17,84,2023,2975000,9088-11-11,דירה בבית,4,35417
