city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
כפר סבא,פועלים א,94,בן גוריון 12,104,2021,2950000,6426-462-2,דירה בבית,4,28365
כפר סבא,פועלים א,95,בן גוריון 14,145.2,2021,2980000,6426-850-16,דירה בבית,7,20523
כפר סבא,פועלים א,96,בן גוריון 2,69.7,2021,2100000,6426-452-5,דירה בבית,3,30129
כפר סבא,פועלים א,98,אימבר 21,76.75,2021,2050000,6426-467-22,דירה בבית,4,26710
כפר סבא,פועלים א,99,ארלוזורוב 2,130,2021,2650000,6426-1077-5,דירה בבית,6,20385
כפר סבא,פועלים א,100,אהרונוביץ 7,101.5,2021,2250000,6426-85-6,דירה בבית,4,22167
כפר סבא,פועלים א,101,ארלוזורוב 28,80,2021,1838300,6426-684-14,דירה בבית,3,22979
כפר סבא,פועלים א,102,ארלוזורוב 48,61.5,2021,1881000,6426-177-10,דירה בבית,3,30585
כפר סבא,פועלים א,103,ארלוזורוב 46,114.38,2021,2930000,6426-178-12,דירת,5,25616
כפר סבא,פועלים א,105,אהרונוביץ 19,100,2021,2175000,6426-698-2,דירה בבית,4,21750
כפר סבא,פועלים א,106,ארלוזורוב 1,115.45,2021,2130000,6426-851-5,דירה בבית,5,18450
כפר סבא,פועלים א,107,אהרונוביץ 17,85.8,2021,1950000,6426-640-6,דירה בבית,4,22727
כפר סבא,פועלים א,108,אהרונוביץ 15,93.5,2021,2220000,6426-869-4,דירה בבית,4,23743
כפר סבא,פועלים א,109,אמבר 5,87.66,2021,1700000,6426-455-3,דירה בבית,4,19393
כפר סבא,פועלים א,110,ארלוזורוב 28,113.97,2021,1620000,6426-684-1,דירה בבית,4,14214
כפר סבא,פועלים א,111,אוסטשינסקי 11,64.3,2021,1790000,6426-78-6,דירה בבית,3,27838
כפר סבא,פועלים א,112,אוסטשינסקי 15,96.5,2021,1980000,6426-678-16,דירה בבית,4,20518
כפר סבא,פועלים א,113,אוסטשינסקי 20,100,2021,2090000,6426-234-5,דירה בבית,4,20900
כפר סבא,פועלים א,114,אהרונוביץ 19,100,2021,1800000,6426-698-1,דירה בבית,4,18000
כפר סבא,פועלים א,115,אוסטשינסקי 20,130,2021,2040000,6426-234-4,דירה בבית,4,15692
כפר סבא,פועלים א,116,אוסטשינסקי 20,95,2021,2010000,6426-234-3,דירה בבית,4,21158
כפר סבא,פועלים א,118,0,118,2021,3770000,6426-72-3,דירה בבית,5,31949
כפר סבא,פועלים א,119,ארלוזורוב 8,76.67,2021,1700000,6426-48-1,דירה בבית,4,22173
כפר סבא,פועלים א,120,אהרונוביץ 18,94.94,2021,2110000,6426-61-2,דירה בבית,4,22225
כפר סבא,פועלים א,121,אמבר 18,83.93,2021,1780000,6426-484-4,דירה בבית,4,21208
כפר סבא,פועלים א,122,בן גוריון 14,98.94,2021,1900000,6426-850-12,דירה בבית,5,19204
כפר סבא,פועלים א,124,אהרונוביץ 9,131.57,2021,2550000,6426-84-13,דירה בבית,6,19381
כפר סבא,פועלים א,125,אהרונוביץ 12,93,2021,2450000,6426-1056-3,דירה בבית,4,26344
כפר סבא,פועלים א,126,אוסטשינסקי 20,100,2021,2010000,6426-234-2,דירה בבית,4,20100
כפר סבא,פועלים א,127,ארלוזורוב 15,84.62,2021,2060000,6426-66-1,דירה בבית,4,24344
כפר סבא,פועלים א,128,אהרונוביץ 7,101.3,2021,2085000,6426-85-1,דירה בבית,4,20582
כפר סבא,פועלים א,129,ארלוזורוב 2,121,2021,2550000,6426-1077-6,דירת,5,21074
כפר סבא,פועלים א,130,ארלוזורוב 46,89.14,2021,1860000,6426-178-7,דירה בבית,4,20866
כפר סבא,פועלים א,131,אהרונוביץ 8,94.14,2021,2700000,6426-71-10,דירה בבית,5,28681
כפר סבא,פועלים א,132,ארלוזורוב 52,109,2021,2310000,6426-1035-2,דירה בבית,4,21193
