מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
31,ורד 9,257,2021,3100000,18983-409-1,דירת גן,9,12062
32,הדס 99,132.57,2021,2000000,18963-162-1,דירת גן,5,15086
33,הדס 48,125.38,2021,950000,18963-71-2,דירה בבית,5,7577
34,מצפה נוף 5,302,2021,2950000,19004-90-1,קוטג' חד משפחתי,7,9768
35,כרכום 14,194,2021,2280000,18963-23-1,קוטג' חד משפחתי,8,11753
36,חן 23,302,2021,2430000,19004-52-2,קוטג' חד משפחתי,1,8046
37,מצפה נוף 58,225,2021,2550000,18983-378-1,קוטג' חד משפחתי,7,11333
38,מצפה נוף 47,282,2021,2500000,19004-72-1,דירה בבית,5,8865
39,מצפה נוף 15,200,2021,2300000,19004-85-2,קוטג' חד משפחתי,6,11500
40,הדס 9,225,2021,2370000,18983-372-2,דירת גן,6,10533
41,חן 11,174,2021,2000000,19004-58-1,דירת גן,5,11494
42,החורש 35,300,2021,2550000,18963-123-1,דירת גן,6,8500
43,לילך 19,132.57,2021,1745000,18963-176-2,דירה בבית,5,13163
44,סתוונית 11,200,2021,2060000,18963-32-2,דירה בבית,8,10300
45,לילך 14,132.57,2021,1850000,18963-170-1,דירה בבית,5,13955
46,כרכום 25,240,2021,1850000,18963-10-2,דירת גן,6,7708
47,ורד 13,271,2021,2300000,18983-407-1,קוטג' דו משפחתי,8,8487
48,כרכום 22,180,2021,2550000,18963-31-1,קוטג' חד משפחתי,6,14167
49,סתוונית 7,434,2021,2020000,18963-28-1,דירת גן,5,4654
