מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,דובדבן 14,135,2025,2300000,80061-200-3,דירה בבית,5,17037
2,הרדוף 10,215,2025,4500000,80061-91-1,קוטג' חד משפחתי,6,20930
3,אגס 2,135,2025,2590000,80061-204-3,דירה בבית,5,19185
4,אגס 4,107,2024,2700000,80061-205-3,דירה בבית,5,25234
5,מורן 6,396,2024,3850000,80061-100-1,קוטג' חד משפחתי,6,9722
6,סיגלון 2,270,2024,4550000,80061-83-1,קוטג' דו משפחתי,6,16852
7,לימון 7,130,2024,2360000,80061-132-1,דירה בבית,5,18154
8,אגס 6,148,2023,2400000,80061-203-4,דירה בבית,5,16216
9,אגס 4,107,2023,2100000,80061-205-4,דירה בבית,5,19626
10,שקמה 3,135,2023,1250000,80061-207-2,דירה בבית,5,9259
11,שזיף 12,350,2023,4400000,80061-171-1,קוטג' חד משפחתי,7,12571
12,סיגלון 11,209,2023,3790000,80061-74-1,קוטג' דו משפחתי,6,18134
13,תפוח 5,200,2023,3250000,80061-179-1,דירה בבית,6,16250
14,0,157,2022,2210000,4012-33-1,דירה בבית,5,14076
15,דובדבן 12,101,2022,181000,80061-201-2,דירה בבית,4,1792
16,אשכולית 11,480,2022,3850000,80061-113-1,קוטג' חד משפחתי,5,8021
17,שזיף 11,277,2022,4250000,80061-160-1,קוטג' חד משפחתי,7,15343
18,תפוח 4,230,2022,3500000,80061-183-2,דירה בבית,7,15217
19,שקמה 2,253,2022,4200000,80061-25-1,דירה בבית,5,16601
20,הרדוף 6,190.18,2022,4200000,80061-93-2,דירה בבית,6,22084
21,0,131,2022,2100000,4012-117-1,דירה בבית,5,16031
22,שקמה 1,130,2021,1950000,80061-206-2,דירה בבית,5,15000
23,תפוז 3,450,2021,3500000,80061-122-1,קוטג' דו משפחתי,7,7778
24,אגס 4,107,2021,1849000,80061-205-2,דירה בבית,5,17280
25,דובדבן 1,178,2021,3190000,80061-197-1,קוטג' דו משפחתי,5,17921
26,שקמה 1,135,2021,1880000,80061-206-1,דירה בבית,5,13926
27,סיגלון 9,178,2021,3370000,80061-73-1,קוטג' חד משפחתי,6,18933
28,אגס 6,140,2021,1700000,80061-203-2,דירה בבית,5,12143
29,שקמה 3,145,2021,1990000,80061-207-1,דירה בבית,5,13724
30,אשכולית 5,305,2021,2800000,80061-110-1,קוטג' חד משפחתי,5,9180
31,צאלון 3,450,2021,3500000,80061-45-1,קוטג' חד משפחתי,5,7778
32,סיגלון 14,296,2021,3800000,80061-77-1,קוטג' חד משפחתי,6,12838
33,אגס 2,157,2020,1725000,80061-204-4,דירה בבית,5,10987
34,תפוח 10,220,2020,3500000,80061-186-1,קוטג' חד משפחתי,6,15909
35,דובדבן 12,160,2020,1660000,80061-201-1,דירה בבית,5,10375
36,אגס 6,136,2020,1910000,80061-203-1,דירה בבית,5,14044
37,צאלון 11,752,2020,3220000,80061-49-0,קוטג' דו משפחתי,6,4282
38,מורן 13,272,2020,3800000,80061-89-1,דירה בבית,6,13971
39,שקמה 7,273,2020,1590000,80061-13-1,קוטג' דו משפחתי,7,5824
40,תפוח 14,210,2020,3350000,80061-188-1,קוטג' חד משפחתי,7,15952
41,תפוז 10,267,2020,3300000,80061-128-1,קוטג' דו משפחתי,5,12360
42,אגס 2,130,2020,2020000,80061-204-2,דירת גן,5,15538
43,0,323,2020,3070000,4011-95-1,קוטג' חד משפחתי,7,9505
44,אגס 4,130,2019,1890000,80061-205-1,דירה בבית,5,14538
45,0,135,2019,1740000,4012-33-2,דירת,5,12889
46,0,101,2019,1830000,4012-32-1,דירה בבית,4,18119
47,0,278,2019,3000000,4012-41-1,קוטג' חד משפחתי,5,10791
48,0,200,2019,3000000,4012-32-2,קוטג' חד משפחתי,6,15000
49,0,120,2019,1600000,4016-119-1,דירה בבית,4,13333
50,0,225,2019,2100000,4012-172-1,קוטג' חד משפחתי,6,9333
51,צאלון 10,350,2018,3199000,80061-64-1,קוטג' חד משפחתי,8,9140
52,0,232,2018,2900000,4012-172-2,קוטג' חד משפחתי,6,12500
53,0,200,2018,2800000,4012-42-1,דירה בבית,6,14000
54,0,233,2018,2800000,4012-32-3,קוטג' דו משפחתי,6,12017
56,לימון 6,236,2017,3250000,80061-142-1,קוטג' חד משפחתי,7,13771
57,דובדבן 8,195,2017,2725000,80061-10-1,קוטג' חד משפחתי,7,13974
58,0,102,2017,1600000,4012-117-2,דירה בבית,4,15686
59,0,280,2017,2550000,4012-41-2,קוטג' דו משפחתי,6,9107
60,0,200,2017,2800000,4012-42-2,קוטג' חד משפחתי,6,14000
61,0,128,2016,1500000,4012-32-4,דירה בבית,4,11719
62,0,140,2016,1550000,4012-117-3,דירה בבית,5,11071
63,0,210,2016,2200000,4012-127-1,קוטג' חד משפחתי,5,10476
64,0,216,2016,2600000,4012-42-3,דירה בבית,6,12037
65,0,210,2016,2860000,4012-32-5,קוטג' חד משפחתי,6,13619
66,0,125,2016,1650000,4016-119-3,דירת גן,5,13200
67,0,190,2015,2250000,4012-172-3,קוטג' חד משפחתי,5,11842
68,0,220,2015,2250000,4012-32-6,קוטג' חד משפחתי,7,10227
69,0,202,2015,2050000,4012-42-4,קוטג' דו משפחתי,7,10149
70,תות 10,202,2015,2170000,80061-156-1,קוטג' חד משפחתי,7,10743
71,אגס 2,131,2015,1395000,80061-204-1,דירה בבית,5,10649
72,0,188,2015,2470000,4012-31-1,דירה בבית,5,13138
73,0,236,2014,2200000,4012-32-7,קוטג' חד משפחתי,6,9322
74,0,128,2014,1450000,4016-119-4,דירה בבית,5,11328
75,0,161,2014,1335000,4012-33-3,דירה בבית,5,8292
76,0,102,2014,1230000,4016-119-5,דירה בבית,4,12059
77,0,284,2013,3350000,4012-172-4,קוטג' חד משפחתי,8,11796
78,0,200,2013,2000000,4012-172-5,קוטג' חד משפחתי,7,10000
79,סיגלון 7,230,2013,1850000,80061-72-1,קוטג' דו משפחתי,6,8043
80,0,202,2012,1800000,4012-39-1,קוטג' דו משפחתי,6,8911
81,0,130,2012,1350000,4016-119-6,דירה בבית,5,10385
82,0,217,2012,1850000,4011-95-2,קוטג' חד משפחתי,6,8525
83,0,200,2012,2130000,4012-32-8,קוטג' דו משפחתי,5,10650
84,0,192,2012,1900000,4012-48-1,קוטג' חד משפחתי,5,9896
85,0,200,2012,1683000,4012-149-1,קוטג' דו משפחתי,6,8415
86,0,168,2012,1525000,4012-129-1,קוטג' דו משפחתי,5,9077
87,0,110,2011,1350000,4012-33-4,דירה בבית,5,12273
88,0,202,2011,1860000,4012-172-6,דירה בבית,5,9208
89,0,220,2011,1730000,4012-42-5,קוטג' חד משפחתי,7,7864
90,0,212,2010,1199000,4012-48-2,קוטג' דו משפחתי,6,5656
91,0,140,2010,1760000,4012-42-6,קוטג' חד משפחתי,6,12571
93,0,216,2009,1200000,4012-48-3,דירה בבית,6,5556
94,0,202,2009,1250000,4012-39-2,קוטג' דו משפחתי,5,6188
95,0,430,2009,1200000,4012-48-4,קוטג' חד משפחתי,7,2791
96,0,160,2008,1150000,4012-39-3,קוטג' דו משפחתי,6,7188
97,0,200,2008,1400000,4012-42-7,קוטג' חד משפחתי,5,7000
98,0,220,2008,930000,4012-48-5,קוטג' דו משפחתי,9,4227
99,0,194,2008,1165000,4012-129-2,דירה בבית,5,6005
100,0,185,2008,825000,4012-39-4,קוטג' חד משפחתי,6,4459
101,0,150,2008,650000,4012-33-5,דירה בבית,5,4333
102,0,200,2008,1060000,4012-31-2,קוטג' חד משפחתי,8,5300
103,0,168,2008,1000000,4012-48-6,קוטג' דו משפחתי,5,5952
104,0,180,2007,1001000,4012-41-3,קוטג' חד משפחתי,5,5561
105,0,200,2007,1105000,4012-31-3,דירה בבית,6,5525
106,תפוח 4,220,2007,1200000,80061-183-1,קוטג' חד משפחתי,7,5455
107,0,180,2007,1207000,4012-41-4,קוטג' דו משפחתי,5,6706
108,0,250,2007,1074000,4012-42-8,קוטג' חד משפחתי,6,4296
109,0,190,2007,1032000,4012-42-9,קוטג' חד משפחתי,5,5432
110,0,160,2007,972000,4012-41-5,קוטג' דו משפחתי,7,6075
111,0,170,2007,869000,4012-41-6,קוטג' דו משפחתי,5,5112
112,שיטה 6,200,2007,833000,80061-55-1,קוטג' חד משפחתי,6,4165
113,0,249,2007,1049000,4012-32-9,דירה בבית,7,4213
114,0,118,2007,637000,4016-119-7,דירה בבית,5,5398
115,0,204,2006,838000,4012-127-2,קוטג' חד משפחתי,7,4108
116,0,220,2006,1019000,4012-51-1,דירה בבית,6,4632
117,0,220,2006,946000,4012-31-4,קוטג' דו משפחתי,6,4300
118,0,188,2005,877000,4012-42-10,קוטג' חד משפחתי,5,4665
119,0,170,2005,1022000,4012-51-2,קוטג' חד משפחתי,6,6012
120,0,180,2005,980000,4012-51-3,קוטג' דו משפחתי,6,5444
121,0,70,2005,238000,4012-39-5,דירה בבית,3,3400
122,0,180,2005,921000,4012-41-7,דירה בבית,5,5117
123,0,170,2004,714000,4012-48-7,קוטג' דו משפחתי,6,4200
