מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
21,דוד המלך 22,104,2024,2091000,4024-533-15,דירה בבית,4,20106
22,חטיבת יפתח 8,62,2024,171000,4024-553-2,דירה בבית,3,2758
23,דוד המלך 22,136,2024,2347000,4024-533-16,דירה בבית,5,17257
24,דוד המלך 22,104,2024,2071000,4024-533-17,דירה בבית,4,19913
25,דוד ברוך 1,40,2024,1210000,4024-558-29,דירה בבית,2,30250
26,דוד המלך 22,143,2024,2506000,4024-533-18,דירה בבית,6,17524
27,אברהם מזרחי 2,62,2024,1088000,4024-550-27,דירה בבית,3,17548
28,דוד המלך 22,104,2024,2081000,4024-533-19,דירה בבית,4,20010
29,דוד המלך 22,104,2024,2057000,4024-533-20,דירה בבית,4,19779
30,דוד המלך 22,104,2024,2042000,4024-533-21,דירה בבית,4,19635
31,דוד המלך 22,104,2024,2042000,4024-533-22,דירה בבית,4,19635
32,דוד המלך 22,101,2024,2101000,4024-533-24,דירה בבית,4,20802
33,חטיבת יפתח 4,62,2024,1249000,4024-555-15,דירה בבית,3,20145
34,אברהם מזרחי 3,62,2024,1270000,4024-551-10,דירה בבית,3,20484
35,דוד המלך 22,104,2024,2756000,4024-533-25,דירה בבית,4,26500
36,חטיבת יפתח 4,62,2024,1250000,4024-555-5,דירה בבית,3,20161
37,דוד ברוך 1,40,2024,1170000,4024-558-18,דירה בבית,2,29250
38,דוד המלך 22,105,2024,267000,4024-533-26,דירה בבית,4,2543
39,חטיבת יפתח 4,62,2024,1100000,4024-555-36,דירה בבית,3,17742
40,דוד המלך 22,104,2024,1956000,4024-533-27,דירה בבית,4,18808
41,לאה גולדברג 4,57,2024,1570000,4024-521-1,דירה בבית,3,27544
42,חטיבת יפתח 4,62,2024,1155000,4024-555-17,דירה בבית,3,18629
43,אברהם מזרחי 2,62,2024,1250000,4024-550-19,דירה בבית,3,20161
44,דוד המלך 23,60,2024,1180000,4024-561-15,דירה בבית,3,19667
45,אברהם מזרחי 3,62,2024,1140000,4024-551-5,דירה בבית,3,18387
46,דוד ברוך 3,45,2024,1180000,4024-556-28,דירה בבית,3,26222
47,חטיבת יפתח 2,45,2024,1250000,4024-559-34,דירה בבית,3,27778
48,דוד ברוך 3,45,2024,640000,4024-556-39,דירה בבית,3,14222
49,אברהם מזרחי 3,62,2024,1100000,4024-551-15,דירה בבית,3,17742
50,דוד ברוך 3,45,2024,1100000,4024-556-4,דירה בבית,3,24444
51,דוד המלך 22,105,2024,1966000,4024-533-28,דירה בבית,4,18724
53,אברהם מזרחי 3,62,2024,1130000,4024-551-4,דירה בבית,3,18226
54,דוד ברוך 1,40,2024,622000,4024-558-36,דירה בבית,2,15550
55,דוד המלך 22,105,2024,1643000,4024-533-29,דירה בבית,4,15648
57,דוד ברוך 1,40,2024,201000,4024-558-33,דירה בבית,2,5025
58,דוד ברוך 2,40,2024,1250000,4024-557-14,דירה בבית,2,31250
59,דוד המלך 25,60,2024,1230000,4024-561-19,דירה בבית,3,20500
