מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,שומרון 8,31,2025,560000,17457-67-14,דירה בבית,2,18065
2,קדש 21,45,2025,640000,17457-32-3,דירה בבית,3,14222
3,קדש 3,57,2025,765000,17457-23-9,דירה בבית,3,13421
4,שומרון 10,60,2025,770000,17457-65-3,דירה בבית,3,12833
5,העצמאות 65,158,2025,1804000,17801-84-2,קוטג' דו משפחתי,7,11418
6,שומרון 2,60,2025,780000,17457-70-10,דירה בבית,3,13000
7,קדש 2,60,2024,715000,17457-66-20,דירה בבית,3,11917
8,העצמאות 67,45.3,2024,450000,17457-35-19,דירה בבית,3,9934
9,קדש 23,45,2024,699000,17457-33-7,דירה בבית,3,15533
10,קדש 7,57,2024,680000,17457-25-3,דירה בבית,3,11930
11,העפרוני 1,165.4,2024,2120000,17801-154-2,דירה בבית,5,12817
12,שומרון 10,60,2024,690000,17457-65-10,דירה בבית,3,11500
13,קדש 2,60,2024,685000,17457-66-6,דירה בבית,3,11417
15,העצמאות 67,45.3,2024,600000,17457-35-23,דירה בבית,3,13245
16,שומרון 8,60,2023,750000,17457-67-15,דירה בבית,3,12500
17,העצמאות 67,45.3,2023,660000,17457-35-4,דירה בבית,3,14570
18,הדרור 9,116.05,2023,1700000,17801-96-1,קוטג' דו משפחתי,6,14649
19,הצבעוני 10,104,2023,334000,17801-39-3,דירה בבית,5,3212
20,זבולון 6,72.9,2023,1340000,17801-135-2,דירה בבית,4,18381
21,העפרוני 7,131.6,2023,1650000,17801-142-2,דירה בבית,5,12538
22,העצמאות 47,254,2023,2700000,17801-115-2,קוטג' דו משפחתי,8,10630
23,הכנרית 6,133.7,2023,1767000,17801-81-1,דירה בבית,5,13216
24,שומרון 10,60,2023,171000,17457-65-17,דירה בבית,3,2850
25,שומרון 4,60,2023,224000,17457-69-18,דירה בבית,3,3733
26,קדש 5,57,2023,630000,17457-24-2,דירה בבית,3,11053
27,קדש 1,57,2023,116000,17457-22-2,דירה בבית,3,2035
28,העצמאות 67,45.3,2023,258000,17457-35-13,דירה בבית,3,5695
29,קדש 19,45.3,2023,122000,17457-31-7,דירה בבית,3,2693
30,העצמאות 67,45.7,2023,90000,17457-35-24,דירה בבית,3,1969
31,קדש 25,45,2023,613000,17457-34-4,דירה בבית,3,13622
32,קדש 13,57,2023,129000,17457-28-17,דירה בבית,3,2263
33,קדש 19,45.3,2023,84000,17457-31-13,דירה בבית,3,1854
34,קדש 17,45.3,2023,650000,17457-30-13,דירה בבית,3,14349
35,קדש 15,57,2023,620000,17457-29-16,דירה בבית,3,10877
36,קדש 23,45,2023,730000,17457-33-3,דירה בבית,3,16222
