city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
מגדל העמק,נוף העמק,10,חבצלת 24,103,2024,1400000,17670-47-19,דירה בבית,5,13592
מגדל העמק,נוף העמק,11,הפרג 3,131,2024,1650000,17669-7-5,דירה בבית,5,12595
מגדל העמק,נוף העמק,13,נוף העמק 10,80,2024,970000,17670-24-24,דירה בבית,3,12125
מגדל העמק,נוף העמק,14,הנרקיס 4,81,2024,750000,17670-9-9,דירה בבית,3,9259
מגדל העמק,נוף העמק,15,הנרקיס 6,105,2024,1060000,17670-9-17,דירה בבית,5,10095
מגדל העמק,נוף העמק,16,הקיצנית 63,256,2024,3600000,17701-95-2,קוטג' חד משפחתי,7,14063
מגדל העמק,נוף העמק,17,הנופר 4,93.2,2024,900000,17670-108-3,דירה בבית,3,9657
מגדל העמק,נוף העמק,18,היקינטון 28,155.2,2024,1985000,17701-142-4,קוטג' חד משפחתי,5,12790
מגדל העמק,נוף העמק,19,נוף העמק 2,83,2024,720000,17670-12-2,דירה בבית,4,8675
מגדל העמק,נוף העמק,20,הקיצנית 41,280,2024,2650000,17701-84-2,דירה בבית,5,9464
מגדל העמק,נוף העמק,21,הסחלב 2,84.67,2024,1130000,17670-88-6,דירה בבית,4,13346
מגדל העמק,נוף העמק,23,היקינטון 26,155.2,2024,1950000,17701-143-4,דירה בבית,5,12564
מגדל העמק,נוף העמק,24,חבצלת 14,85,2024,1100000,17670-30-3,דירה בבית,4,12941
מגדל העמק,נוף העמק,25,רקפת 3,110,2024,1040000,17670-37-12,דירה בבית,5,9455
מגדל העמק,נוף העמק,26,הפרג 2,143,2024,1870000,17669-5-4,דירת גן,7,13077
מגדל העמק,נוף העמק,28,מגנית 2,111.4,2024,2000000,17701-166-1,דירה בבית,5,17953
מגדל העמק,נוף העמק,29,החרצית 10,130.2,2024,1800000,17701-149-2,דירה בבית,5,13825
מגדל העמק,נוף העמק,30,הנורית 6,80,2024,900000,17670-50-18,דירה בבית,3,11250
