מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,ראל יגאל ידין 43,136.5,2025,3700000,5571-32-116,דירה בבית,5,27106
2,חטיבת גולני 14,74.9,2025,2080000,5569-36-50,דירה בבית,3,27770
3,ראל יגאל ידין 13,149.45,2025,3860000,5571-40-18,דירה בבית,5,25828
4,ראל דוד אלעזר 18,99.5,2025,2750000,5569-45-10,דירה בבית,4,27638
5,ראל יעקב דורי 21,158.1,2025,4000000,5696-17-2,דירה בבית,5,25300
6,ראל יגאל ידין 3,128.57,2025,3700000,5569-63-14,דירה בבית,5,28778
8,חטיבת הצנחנים 17,111.4,2025,3650000,5869-29-10,דירה בבית,5,32765
10,ראל יגאל ידין 35,260,2025,5300000,5571-31-31,דירה בבית,6,20385
11,ראל יגאל ידין 5,129.37,2025,3500000,5569-63-95,דירה בבית,5,27054
12,ראל יגאל ידין 49,159,2025,3795000,5571-33-1,דירה בבית,5,23868
13,חטיבת הראל 18,112.02,2025,3490000,5567-77-236,דירה בבית,4,31155
14,חטיבת הראל 16,112.34,2025,3300000,5567-77-124,דירה בבית,4,29375
15,חטיבת הצנחנים 37,97,2025,2790000,5869-66-18,דירה בבית,4,28763
16,ראל מרדכי מקלף 3,114.2,2025,3525000,5693-7-3,דירה בבית,5,30867
17,ראל יגאל ידין 13,74.7,2025,2750000,5571-40-100,דירה בבית,3,36814
18,ראל יגאל ידין 5,129.37,2025,3650000,5569-63-85,דירה בבית,5,28214
19,חטיבת הנגב 2,77.7,2025,2400000,5569-39-24,דירה בבית,3,30888
20,ראל יגאל ידין 13,74.7,2025,2775000,5571-40-88,דירה בבית,3,37149
21,ראל יגאל ידין 3,207.96,2025,5500000,5569-63-41,דירה בבית,6,26447
22,ראל דוד אלעזר 10,102.1,2025,2935000,5571-13-33,דירה בבית,4,28746
24,ראל יגאל ידין 51,136.4,2025,3600000,5571-34-15,דירה בבית,5,26393
