מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
415,נחל עיון 2,103.11,2018,1750000,5683-6-4,דירה בבית,3.5,16972
417,נחל בזק 9,84.08,2018,2050000,5691-32-5,דירה בבית,4,24382
418,עמק דותן 66,76.8,2018,1500000,5685-26-5,דירה בבית,3,19531
419,עמק החולה 44,66.11,2018,1595000,5688-142-4,דירה בבית,3,24126
420,נחל תנינים 3,75,2018,1635000,5692-134-12,דירה בבית,3,21800
421,עמק איילון 1,67,2018,1660000,5686-9-10,דירה בבית,3,24776
422,נחל געתון 26,66.11,2018,1500000,5691-47-12,דירה בבית,3,22689
423,אלמוגן 38,85.6,2018,1940000,5685-78-7,דירת גן,4,22664
424,עמק החולה 56,84.5,2018,1620000,5688-21-10,דירה בבית,3.5,19172
425,אלמוגן 18,119,2018,2300000,5685-68-2,דירה בבית,4,19328
426,עמק החולה 66,70.6,2018,1600000,5688-16-5,דירה בבית,3.5,22663
427,נחל שקמה 7,203.05,2018,3850000,5692-35-2,קוטג' דו משפחתי,6,18961
428,נחל בזק 19,105.8,2018,2290000,5688-143-4,דירה בבית,5,21645
429,עמק איילון 23,113.1,2018,2205000,5685-106-2,דירה בבית,5,19496
430,פיקוס 9,69.8,2018,1665000,5685-54-1,דירה בבית,3,23854
431,עמק דותן 70,85,2018,2285000,5685-28-2,דירה בבית,4,26882
432,עמק יזרעאל 3,66.2,2018,1700000,5687-51-1,דירה בבית,3,25680
433,נחל בזק 32,108.6,2018,2050000,5691-11-4,דירה בבית,4,18877
434,תפוח 10,155.5,2018,3150000,5687-21-4,דירה בבית,5,20257
435,נחל מירון 38,133.75,2018,3275000,5692-53-2,דירה בבית,6,24486
436,אזדרכת 6,94,2018,1977000,5685-115-4,דירה בבית,4,21032
437,מגדל עוז 14,117.4,2018,2569000,5683-49-10,דירה בבית,4,21882
438,מגדל דוד 27,117.1,2018,2520000,5685-18-14,דירה בבית,4,21520
440,עמק דותן 68,92.8,2018,1850000,5685-26-12,דירה בבית,4,19935
441,אלמוגן 15,136,2018,2665000,5685-124-7,דירה בבית,5,19596
442,לבונה 9,123.75,2018,2225000,5685-27-29,דירה בבית,4,17980
443,נחל בזק 36,98.1,2018,1700000,5688-25-12,דירה בבית,4,17329
444,נחל תנינים 1,118.85,2018,2190000,5692-134-50,דירה בבית,5,18427
445,עמק איילון 41,63.2,2018,1620000,5685-74-12,דירה בבית,3,25633
446,נחל עיון 6,127.24,2018,2500000,5683-16-4,דירה בבית,5,19648
447,עמק דותן 50,83.2,2018,1859000,5687-27-3,דירה בבית,4,22344
448,עמק דותן 52,63.3,2018,1500000,5687-27-19,דירה בבית,3,23697
449,עמק דותן 64,74,2018,1640000,5687-28-11,דירה בבית,3,22162
450,עמק איילון 35,113.1,2018,2525000,5685-73-8,דירה בבית,5,22325
451,אלמוגן 38,78.2,2018,1715000,5685-78-10,דירה בבית,4,21931
452,מגדל דוד 23,110.2,2018,2210000,5685-17-70,דירה בבית,4,20054
453,מגדל דוד 21,127.2,2018,2750000,5685-16-1,דירה בבית,5,21619
454,נחל בזק 10,130.6,2018,2919000,5691-13-2,קוטג' דו משפחתי,5,22351
455,לבונה 34,125.3,2018,2540000,5685-47-2,דירה בבית,5,20271
456,נחל געתון 26,106.7,2018,2050000,5691-47-23,דירה בבית,5,19213
457,עמק החולה 26,100.1,2018,2450000,5691-33-3,דירה בבית,4,24476
458,מגדל דוד 21,77.3,2018,1650000,5685-16-2,דירה בבית,3,21345
459,עמק יזרעאל 5,66.2,2018,1750000,5687-51-14,דירה בבית,3,26435
460,נחל בזק 1,64.75,2018,1657000,5691-41-12,דירה בבית,3,25591
461,פיקוס 13,73.2,2018,1670000,5685-51-7,דירה בבית,3,22814
462,עמק דותן 54,113.1,2018,2100000,5687-27-20,דירה בבית,5,18568
463,לבונה 3,123.75,2018,2375000,5685-27-5,דירה בבית,4,19192
464,מנתור 13,128,2018,2663000,5686-31-8,דירה בבית,5,20805
465,נחל מירון 44,133.75,2018,3275000,5692-51-1,קוטג' דו משפחתי,6,24486
467,נחל בזק 9,81.36,2018,1860000,5691-32-7,דירה בבית,4,22861
468,עמק דותן 76,84.45,2018,1900000,5685-33-8,דירה בבית,4,22499
469,אלמוגן 38,85.6,2018,1890000,5685-78-8,דירה בבית,4,22079
470,כליל החורש 30,128,2018,2440000,5687-14-19,דירה בבית,5,19063
471,נחל עיון 20,119.39,2018,2350000,5683-26-3,דירה בבית,5,19683
472,נחל בזק 21,84.08,2018,1349000,5688-141-5,דירה בבית,4,16044
473,נחל בצת 8,119.7,2018,3320000,5687-42-7,קוטג' דו משפחתי,5,27736
474,נחל הירקון 14,99.9,2018,2070000,5687-65-2,דירה בבית,4,20721
475,מגדל דוד 25,109.5,2018,2170000,5685-17-13,דירה בבית,4,19817
476,נחל הירמוך 11,141.5,2018,2530000,5688-10-6,דירה בבית,5,17880
477,נחל בזק 5,137.66,2018,2875000,5691-36-7,דירה בבית,6,20885
478,עמק דותן 3,105.8,2018,1925000,5692-7-4,דירה בבית,4,18195
479,עמק איילון 37,93.5,2018,1925000,5685-73-3,דירה בבית,4,20588
480,עמק דותן 56,113.1,2018,2200000,5687-26-1,דירה בבית,5,19452
481,מגדל עוז 1,93.07,2018,2150000,5683-133-24,דירה בבית,4,23101
482,נחל בזק 9,138.11,2018,2800000,5691-32-1,דירה בבית,6,20274
483,עמק החולה 16,135.32,2018,2290000,5691-42-12,דירה בבית,5,16923
