city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
מודיעין-מכבים-רעות,הנחלים,134,מגדל עוז 11,75.84,2022,2610000,5683-133-169,דירה בבית,3,34415
מודיעין-מכבים-רעות,הנחלים,135,עמק דותן 31,98.1,2022,2800000,5687-66-11,דירה בבית,4,28542
מודיעין-מכבים-רעות,הנחלים,136,נחל הירקון 24,84.9,2022,2525000,5688-29-15,דירה בבית,3,29741
מודיעין-מכבים-רעות,הנחלים,137,לבונה 26,76.7,2022,2690000,5685-78-21,דירה בבית,4,35072
מודיעין-מכבים-רעות,הנחלים,138,נחל הירמוך 23,70.6,2022,2600000,5683-64-17,דירה בבית,3.5,36827
מודיעין-מכבים-רעות,הנחלים,139,נחל דלייה 37,74,2022,2500000,5692-46-4,דירה בבית,3,33784
מודיעין-מכבים-רעות,הנחלים,141,עמק דותן 80,84,2022,2550000,5685-34-11,דירה בבית,4,30357
מודיעין-מכבים-רעות,הנחלים,142,מגדל דוד 23,128,2022,3490000,5685-17-6,דירה בבית,8,27266
מודיעין-מכבים-רעות,הנחלים,144,נחל עיון 15,82.9,2022,2930000,5683-43-1,דירת גן,4,35344
מודיעין-מכבים-רעות,הנחלים,145,נחל הירמוך 16,82.9,2022,3475000,5683-50-1,דירה בבית,4,41918
מודיעין-מכבים-רעות,הנחלים,146,לבונה 7,118.65,2022,3100000,5685-27-24,דירה בבית,5,26127
מודיעין-מכבים-רעות,הנחלים,147,מגדל עוז 10,176.5,2022,4650000,5683-45-1,קוטג' דו משפחתי,6,26346
מודיעין-מכבים-רעות,הנחלים,148,מגדל עוז 5,116.94,2022,3590000,5683-133-85,דירה בבית,5,30700
מודיעין-מכבים-רעות,הנחלים,150,נחל בזק 13,138.11,2022,4400000,5688-150-2,דירת גן,6,31859
מודיעין-מכבים-רעות,הנחלים,151,עמק החולה 78,102.03,2022,3150000,5683-35-6,דירה בבית,4,30873
מודיעין-מכבים-רעות,הנחלים,152,נחל הירמוך 23,101.3,2022,3280000,5683-64-6,דירה בבית,4,32379
מודיעין-מכבים-רעות,הנחלים,153,עמק דותן 19,143,2022,4300000,5692-129-18,דירה בבית,5,30070
מודיעין-מכבים-רעות,הנחלים,154,עמק החולה 38,130.15,2022,3478000,5688-147-6,דירה בבית,5,26723
מודיעין-מכבים-רעות,הנחלים,156,עמק דותן 68,102.75,2022,3560000,5685-26-13,דירה בבית,4,34647
מודיעין-מכבים-רעות,הנחלים,157,עמק איילון 41,76,2022,1750000,5685-74-8,דירה בבית,3,23026
מודיעין-מכבים-רעות,הנחלים,158,מגדל עוז 1,114.21,2022,3120000,5683-133-4,דירה בבית,5,27318
מודיעין-מכבים-רעות,הנחלים,159,מגדל עוז 11,75.84,2022,2480000,5683-133-173,דירה בבית,3,32700
מודיעין-מכבים-רעות,הנחלים,160,נחל הירקון 32,95.9,2022,3000000,5691-9-8,דירה בבית,4,31283
מודיעין-מכבים-רעות,הנחלים,161,עמק דותן 56,60.5,2022,2130000,5687-26-6,דירה בבית,3,35207
מודיעין-מכבים-רעות,הנחלים,162,נחל בזק 13,105.8,2022,3100000,5688-150-3,דירה בבית,5,29301
מודיעין-מכבים-רעות,הנחלים,163,מגדל עוז 3,93.07,2022,2959500,5683-133-42,דירה בבית,4,31799
מודיעין-מכבים-רעות,הנחלים,164,נחל הירקון 5,67.3,2022,2000000,5691-5-16,דירה בבית,3,29718
מודיעין-מכבים-רעות,הנחלים,165,לבונה 38,63.1,2022,2330000,5685-131-5,דירה בבית,3,36926
מודיעין-מכבים-רעות,הנחלים,166,עמק יזרעאל 5,66.2,2022,2290000,5687-51-16,דירה בבית,3,34592
מודיעין-מכבים-רעות,הנחלים,167,עמק דותן 64,74,2022,2649000,5687-28-2,דירה בבית,3,35797
מודיעין-מכבים-רעות,הנחלים,168,מנתור 15,106,2022,3280000,5686-36-5,דירה בבית,5,30943
מודיעין-מכבים-רעות,הנחלים,169,נחל בזק 36,98.1,2022,2550000,5688-25-11,דירה בבית,4,25994
מודיעין-מכבים-רעות,הנחלים,170,נחל מירון 54,165,2022,4300000,5692-148-1,קוטג' דו משפחתי,6,26061
מודיעין-מכבים-רעות,הנחלים,171,נחל עיון 7,67.5,2022,2300000,5683-39-5,דירה בבית,4,34074
מודיעין-מכבים-רעות,הנחלים,172,מגדל עוז 1,139.61,2022,3550000,5683-133-27,דירה בבית,6,25428
מודיעין-מכבים-רעות,הנחלים,173,אלמוגן 41,108.3,2022,2820000,5685-90-3,דירה בבית,4,26039
מודיעין-מכבים-רעות,הנחלים,174,מגדל עוז 10,117.5,2022,2640000,5683-45-11,דירה בבית,4,22468
מודיעין-מכבים-רעות,הנחלים,175,מנתור 9,87,2022,2850000,5686-25-4,דירה בבית,4,32759
מודיעין-מכבים-רעות,הנחלים,176,מגדל עוז 7,116.94,2022,3420000,5683-133-107,דירה בבית,5,29246
מודיעין-מכבים-רעות,הנחלים,177,מגדל עוז 18,162.1,2022,4200000,5683-54-13,דירה בבית,6,25910
מודיעין-מכבים-רעות,הנחלים,178,נחל בזק 1,65.75,2022,2150000,5691-41-4,דירה בבית,3,32700
מודיעין-מכבים-רעות,הנחלים,179,אלמוגן 36,76.7,2022,2060000,5685-78-5,דירה בבית,4,26858
מודיעין-מכבים-רעות,הנחלים,180,עמק החולה 82,101.44,2022,2730000,5683-33-8,דירה בבית,4,26912
מודיעין-מכבים-רעות,הנחלים,181,מגדל עוז 5,111.88,2022,3270000,5683-133-86,דירה בבית,5,29228
מודיעין-מכבים-רעות,הנחלים,182,נחל דלייה 45,74.7,2022,2260000,5692-122-7,דירת גן,3,30254
מודיעין-מכבים-רעות,הנחלים,183,עמק דותן 19,78.85,2022,2200000,5692-129-35,דירה בבית,3,27901
מודיעין-מכבים-רעות,הנחלים,184,נחל בזק 18,130.6,2022,3790000,5691-12-2,דירה בבית,6,29020
מודיעין-מכבים-רעות,הנחלים,185,עמק דותן 55,110.68,2022,2640000,5683-8-4,דירה בבית,4,23853
מודיעין-מכבים-רעות,הנחלים,186,עמק דותן 82,87,2022,2320000,5685-35-3,דירה בבית,4,26667
מודיעין-מכבים-רעות,הנחלים,188,נחל הירמוך 3,108.1,2022,2000000,5688-15-14,דירה בבית,4,18501
מודיעין-מכבים-רעות,הנחלים,189,נחל עיון 24,127.24,2022,2900000,5683-28-4,דירה בבית,5,22792
מודיעין-מכבים-רעות,הנחלים,190,לימון 8,123.6,2022,4000000,5685-45-1,קוטג' דו משפחתי,5,32362
מודיעין-מכבים-רעות,הנחלים,191,נחל תנינים 1,120.15,2022,2400000,5692-134-46,דירה בבית,5,19975
מודיעין-מכבים-רעות,הנחלים,193,נחל געתון 22,133.37,2022,3250000,5691-43-8,דירה בבית,6,24368
מודיעין-מכבים-רעות,הנחלים,194,עמק דותן 50,71.7,2022,1900000,5687-27-4,דירה בבית,4,26499
מודיעין-מכבים-רעות,הנחלים,195,עמק איילון 15,101,2022,3275000,5686-32-2,דירה בבית,4,32426
