מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
357,שרה אימנו 134,79,2016,1925000,5816-10-22,דירה בבית,4,24367
358,רחל אימנו 17,139,2016,2810000,5819-49-0,דירת גן,6,20216
359,שרה אימנו 90,112.75,2016,3180000,5819-12-37,דירה בבית,5,28204
360,מנשה 5,140.1,2016,2920000,5816-66-21,דירת גן,5,20842
361,רחל אימנו 16,150.1,2016,3550000,5819-85-7,דירת גן,6,23651
362,אסתר המלכה 55,175.1,2016,3900000,5818-68-1,דירה בבית,6,22273
363,בגין מנחם 104,143.7,2016,2950000,5817-44-9,דירה בבית,5,20529
364,שרה אימנו 67,135.31,2016,2890000,5817-52-4,קוטג' חד משפחתי,5,21358
365,שרה אימנו 132,80,2016,2115000,5816-10-14,דירה בבית,4,26438
366,אסתר המלכה 60,174.1,2016,3415000,5818-57-8,דירה בבית,6,19615
367,רחל אימנו 47,164.9,2016,3140000,5819-19-67,דירה בבית,6,19042
368,אפרים 34,164,2016,3600000,5816-70-5,קוטג' דו משפחתי,6,21951
369,רחל אימנו 21,85.35,2016,2100000,5819-49-22,דירה בבית,4,24605
371,רחל אימנו 51,133.4,2016,3000000,5817-40-2,דירה בבית,5,22489
372,רחל אימנו 25,85.35,2016,1940000,5819-50-5,דירה בבית,4,22730
373,רחל אימנו 6,158.7,2016,2920000,5819-92-4,דירה בבית,6,18399
374,שרה אימנו 94,93.3,2016,1999000,5819-12-67,דירה בבית,4,21426
375,מנחם בגין 114,133.5,2016,2760000,5817-17-7,דירת גן,5,20674
376,אפרים 6,114.28,2016,2200000,5818-45-3,דירה בבית,5,19251
377,0,125,2016,2260000,5815-11-71,דירת גן,5,18080
378,לאה אימנו 4,135,2016,2890000,5816-79-0,דירת,5,21407
379,0,130,2016,2600000,5815-11-72,דירה בבית,5,20000
380,מנחם בגין 58,99.5,2016,2200000,5819-53-3,דירת גן,5,22111
381,רחל אימנו 32,129.9,2016,2765000,5819-55-5,דירה בבית,6,21286
382,רחל אימנו 21,123.4,2016,2750000,5819-49-12,דירה בבית,6,22285
383,רבקה אימנו 5,146.85,2016,3365000,5817-60-3,דירה בבית,5,22915
384,שבטי ישראל 31,121.4,2016,2600000,5815-137-11,דירה בבית,5,21417
385,שרה אימנו 84,93.3,2016,2025000,5819-12-18,דירה בבית,4,21704
386,0,130,2016,2525000,5815-11-73,דירה בבית,5,19423
387,בגין מנחם 106,123.1,2016,2229000,5817-44-2,דירת גן,4,18107
388,רחל אימנו 42,130.6,2016,2700000,5817-62-6,דירה בבית,5,20674
389,רחל אימנו 24,130.6,2016,3000000,5819-57-6,דירה בבית,6,22971
390,0,130,2016,2520000,5815-11-74,דירת גן,5,19385
391,0,130,2016,2485000,5815-11-75,דירת גן,5,19115
392,שרה אימנו 134,85.4,2016,2199000,5816-10-20,דירת גן,4,25749
393,רבקה אימנו 16,160.02,2016,2780000,5817-48-1,קוטג' חד משפחתי,6,17373
394,שרה אימנו 140,83,2016,2000000,5816-10-56,דירה בבית,4,24096
395,מנחם בגין 16,99,2016,2100000,5818-12-6,דירה בבית,4.5,21212
396,מנחם בגין 16,118,2016,2100000,5818-12-43,דירה,4,17797
397,0,130,2016,2520000,5815-11-76,דירה בבית,5,19385
