מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
73,יצחק נבון 11,140,2024,4350000,80072-167-1,דירה בבית,5,31071
74,יצחק נבון 15,134,2024,4350000,80072-166-2,דירה בבית,5,32463
75,עמק חפר 57,144,2024,4681000,80073-63-129,דירה בבית,6,32507
76,שרה אהרונסון 3,142.25,2024,3720000,80072-115-136,דירה בבית,5,26151
77,עמק חפר 53,84,2024,2700000,80073-64-1,דירה בבית,3,32143
78,גולדה מאיר 233,173,2024,6200000,80073-65-2,דירה בבית,5,35838
79,שמעון פרס 5,127,2024,3596000,80072-12-35,דירה בבית,5,28315
80,גולדה מאיר 88,155,2024,4766000,80073-87-2,דירה בבית,6,30748
81,חיים ויצמן 10,140,2024,3826000,80072-161-1,דירה בבית,5,27329
82,חיים הרצוג 9,162,2024,5181000,80073-73-2,דירה בבית,6,31981
83,חיים הרצוג 9,131,2024,3636000,80073-73-3,דירה בבית,5,27756
84,אפרים קציר 8,153,2024,4706000,80072-155-3,דירה בבית,6,30758
85,יצחק שמיר 10,120,2024,3456000,80072-135-3,דירה בבית,5,28800
86,גולדה מאיר 66,126,2024,3606000,80072-138-2,דירה בבית,5,28619
87,אריאל שרון 14,120,2024,3556000,80072-156-2,דירה בבית,5,29633
88,גולדה מאיר 34,106.37,2024,3775000,80072-146-90,דירה בבית,4,35489
89,חיים הרצוג 24,160,2024,5036000,80073-88-2,דירה בבית,6,31475
90,שמעון פרס 26,84.4,2024,2700000,80072-111-10,דירה בבית,3,31991
91,שמעון פרס 20,181,2024,5366000,80072-144-1,דירה בבית,7,29646
92,גולדה מאיר 233,173,2024,6150000,80073-65-3,דירת גן,6,35549
93,שמעון פרס 18,181,2024,5406000,80072-145-1,דירה בבית,6,29867
94,זלמן שזר 14,120,2024,3496000,80072-151-5,דירה בבית,5,29133
95,שמעון פרס 15,161,2024,5044000,80072-133-1,דירה בבית,6,31329
96,שמעון פרס 11,125,2024,4456000,80072-134-4,דירה בבית,5,35648
97,שרה אהרונסון 11,173,2024,4466000,80072-66-3,דירה בבית,6,25815
98,יצחק נבון 17,162,2024,4916000,80072-165-3,דירה בבית,6,30346
99,חיים הרצוג 9,162,2024,5156000,80073-73-4,דירה בבית,6,31827
100,אריאל שרון 6,160,2024,5284000,80072-109-2,דירת,6,33025
102,שמעון פרס 18,80,2024,2876000,80072-145-2,דירה בבית,3,35950
103,0,197,2024,4586000,80072-33-9,דירה בבית,6,23279
104,שמעון פרס 18,100,2024,3826000,80072-145-3,דירה בבית,4,38260
105,גולדה מאיר 4,148,2024,4850000,80072-59-29,דירה בבית,5,32770
106,אפרים קציר 8,160,2024,4614000,80072-155-4,דירה בבית,6,28838
107,חיים הרצוג 16,125,2024,3666000,80073-83-1,דירה בבית,5,29328
108,יצחק שמיר 24,122,2024,4456000,80072-130-1,דירת גן,5,36525
109,יצחק בן צבי 15,127.7,2024,3750000,80073-32-19,דירה בבית,5,29366
110,שמעון פרס 22,160,2024,4966000,80072-143-1,דירה בבית,6,31038
111,חיים הרצוג 5,110,2024,3231000,80073-72-1,דירה בבית,4,29373
112,שמעון פרס 20,80,2024,2876000,80072-144-2,דירה בבית,3,35950
113,עמק חפר 11,134.88,2024,4686000,80072-124-13,דירה בבית,6,34742
114,גולדה מאיר 233,173,2024,6322000,80073-65-4,דירה בבית,6,36543
115,חיים ויצמן 6,140,2024,3826000,80072-162-1,דירה בבית,5,27329
116,שרה אהרונסון 18,127,2024,4350000,80072-61-27,דירה בבית,5,34252
117,שמעון פרס 11,126,2024,3896000,80072-134-5,דירה בבית,5,30921
118,אריאל שרון 6,147,2024,4877000,80072-109-3,דירה בבית,6,33177
119,שמעון פרס 19,163.37,2024,4756000,80072-128-17,דירה בבית,6,29112
120,אפרים קציר 5,163,2024,4906000,80072-159-2,דירה בבית,6,30098
121,יצחק נבון 6,146,2024,5225000,80072-62-5,דירה בבית,5,35788
122,שרה אהרונסון 11,173,2024,4376000,80072-66-4,דירה בבית,6,25295
123,שמעון פרס 15,125,2024,4431000,80072-133-2,דירה בבית,5,35448
126,חיים הרצוג 16,132,2024,3586000,80073-83-2,דירה בבית,5,27167
127,שמעון פרס 15,126,2024,3866000,80072-133-3,דירה בבית,5,30683
128,גולדה מאיר 273,126,2024,3850000,80073-60-47,דירת גן,4,30556
129,0,197,2024,4626000,80072-33-10,דירה בבית,6,23482
130,שמעון פרס 18,160,2024,5066000,80072-145-4,דירה בבית,6,31663
131,משה שרת 18,80,2024,2891000,80073-69-2,דירה בבית,3,36138
132,לוי אשכול 1,133,2024,4780000,80073-23-30,דירת גן,5,35940
133,גולדה מאיר 108,161.65,2024,5220000,80073-80-17,דירה בבית,6,32292
134,שרה אהרונסון 11,147,2024,4356000,80072-66-5,דירה בבית,6,29633
135,שמעון פרס 8,80,2024,2966000,80072-141-1,דירה בבית,3,37075
136,שמעון פרס 18,160,2024,5056000,80072-145-5,דירה בבית,6,31600
137,שמעון פרס 1,127,2024,3636000,80072-139-3,דירה בבית,5,28630
138,אריאל שרון 6,160,2024,5303000,80072-109-4,דירה בבית,6,33144
139,יצחק נבון 22,121.75,2024,3876000,80072-71-3,דירה בבית,5,31836
140,גולדה מאיר 70,81,2024,2813000,80072-137-2,דירה בבית,3,34728
141,חיים ויצמן 6,175,2024,5186000,80072-162-2,דירה בבית,6,29634
142,שרה אהרונסון 11,173,2024,4266000,80072-66-6,דירה בבית,6,24659
143,0,194,2024,4726000,80072-33-11,דירה בבית,6,24361
144,גולדה מאיר 233,142,2024,4206000,80073-65-5,דירה בבית,5,29620
145,שמעון פרס 11,107,2024,3306000,80072-134-6,דירה בבית,4,30897
146,אפרים קציר 5,163,2024,4926000,80072-159-3,דירה בבית,6,30221
147,זלמן שזר 14,157,2024,4356000,80072-151-6,דירה בבית,6,27745
148,משה שרת 12,146,2024,4406000,80073-75-1,דירה בבית,5,30178
149,שמעון פרס 1,167,2024,5226000,80072-139-4,דירה בבית,6,31293
150,שמעון פרס 11,125,2024,4356000,80072-134-7,דירה בבית,5,34848
151,גולדה מאיר 66,126,2024,3616000,80072-138-3,דירה בבית,5,28698
152,אפרים קציר 9,108.61,2024,2718000,80072-157-8,דירה בבית,3,25025
153,שמעון פרס 22,181,2024,5206000,80072-143-2,דירה בבית,6,28762
154,גולדה מאיר 108,118,2024,4096000,80073-80-0,דירת גן,5,34712
155,אפרים קציר 1,172,2024,4976000,80072-160-1,דירה בבית,6,28930
156,עמק חפר 57,154,2024,4731000,80073-63-126,דירה בבית,6,30721
157,משה שרת 18,80,2024,2836000,80073-69-3,דירה בבית,3,35450
159,חיים ויצמן 10,175,2024,5101000,80072-161-2,דירה בבית,6,29149
160,חיים ויצמן 6,140,2024,3776000,80072-162-3,דירה בבית,5,26971
161,יצחק שמיר 4,167,2024,5151000,80072-136-1,דירה בבית,6,30844
162,שמעון פרס 15,127,2024,3656000,80072-133-4,דירה בבית,5,28787
163,שמעון פרס 1,127,2024,3526000,80072-139-5,דירה בבית,5,27764
164,חיים ויצמן 10,140,2024,3776000,80072-161-3,דירה בבית,5,26971
165,עמק חפר 41,129,2024,3509000,80073-2-127,דירה בבית,5,27202
166,חיים הרצוג 16,132,2024,3476000,80073-83-3,דירה בבית,5,26333
168,שמעון פרס 22,80,2024,2701000,80072-143-3,דירה בבית,3,33763
169,חיים ויצמן 2,144,2024,4706000,80072-70-90,דירה בבית,6,32681
171,שמעון פרס 1,126,2024,3491000,80072-139-6,דירה בבית,5,27706
172,יצחק נבון 11,162,2024,4806000,80072-167-2,דירה בבית,6,29667
173,יצחק שמיר 4,82,2024,2740000,80072-136-2,דירה בבית,3,33415
174,חיים הרצוג 20,132,2024,3471000,80073-82-2,דירה בבית,5,26295
175,שמעון פרס 22,160,2024,5069000,80072-143-4,דירה בבית,6,31681
176,עמק חפר 57,128,2024,3406000,80073-63-124,דירה בבית,5,26609
178,שמעון פרס 4,179,2024,5256000,80072-142-1,דירה בבית,6,29363
179,חיים ויצמן 6,175,2024,5101000,80072-162-4,דירה בבית,6,29149
180,0,202,2024,4446000,80072-33-12,דירה בבית,6,22010
181,עמק חפר 41,129,2024,3506000,80073-2-128,דירה בבית,5,27178
182,גולדה מאיר 233,173,2024,6406000,80073-65-6,דירה בבית,6,37029
183,גולדה מאיר 70,167,2024,5256000,80072-137-3,דירה בבית,6,31473
184,חיים ויצמן 10,175,2024,5091000,80072-161-4,דירה בבית,6,29091
185,יצחק נבון 17,82,2024,2734000,80072-165-4,דירה בבית,3,33341
186,שמעון פרס 1,126,2024,3456000,80072-139-7,דירה בבית,5,27429
188,גולדה מאיר 23,121.05,2024,3420000,80072-118-15,דירה בבית,5,28253
189,זלמן שזר 14,157,2024,4246000,80072-151-7,דירה בבית,6,27045
190,אפרים קציר 9,81,2024,2721000,80072-157-12,דירה בבית,3,33593
191,0,197,2024,4686000,80072-33-13,דירה בבית,6,23787
192,גולדה מאיר 70,127,2024,3551000,80072-137-4,דירה בבית,5,27961
193,משה שרת 8,109,2024,3176000,80073-74-1,דירה בבית,4,29138
194,0,197,2024,4656000,80072-33-14,דירה בבית,6,23635
195,0,194,2024,4636000,80072-33-15,דירה בבית,6,23897
196,מרים בן פורת 5,193.8,2024,6850000,80072-119-22,דירה בבית,6,35346
197,גולדה מאיר 70,127,2024,3576000,80072-137-5,דירה בבית,5,28157
198,עמק חפר 57,126,2024,3389000,80073-63-122,דירה בבית,5,26897
199,גולדה מאיר 66,126,2024,3301000,80072-138-4,דירה בבית,5,26198
201,שמעון פרס 5,179,2024,5056000,80072-12-36,דירה בבית,6,28246
202,גולדה מאיר 66,126,2024,3356000,80072-138-6,דירה בבית,5,26635
203,יצחק בן צבי 21,127.6,2024,3670000,80073-33-10,דירה בבית,5,28762
204,גולדה מאיר 70,127,2024,3356000,80072-137-6,דירה בבית,5,26425
205,מרים בן פורת 8,131.8,2024,4811000,80072-118-1,דירת גן,5,36502
206,שמעון פרס 28,117.3,2024,3500000,80072-111-59,דירה בבית,5,29838
207,גולדה מאיר 70,81,2024,2586000,80072-137-7,דירה בבית,3,31926
208,שמעון פרס 20,80,2024,2706000,80072-144-3,דירה בבית,3,33825
209,יצחק שמיר 4,82,2024,2698000,80072-136-3,דירה בבית,3,32902
210,שמעון פרס 26,124.5,2024,3425000,80072-111-26,דירה בבית,5,27510
211,עמק חפר 25,121.35,2024,3866000,80072-126-15,דירה בבית,6,31858
212,עמק חפר 41,129,2024,3456000,80073-2-129,דירה בבית,5,26791
213,יצחק נבון 11,127,2024,2809000,80072-167-3,דירה בבית,5,22118
214,שמעון פרס 20,160,2024,4806000,80072-144-4,דירה בבית,6,30038
215,0,177,2024,5006000,80072-45-13,דירה בבית,6,28282
216,יצחק שמיר 18,128,2024,3986000,80072-132-1,דירה בבית,5,31141
218,שמעון פרס 18,80,2024,2661000,80072-145-6,דירה בבית,3,33263
219,גולדה מאיר 70,126,2024,3356000,80072-137-8,דירה בבית,5,26635
220,אריאל שרון 14,158,2024,4646000,80072-156-3,דירה בבית,6,29405
221,שמעון פרס 11,107,2024,3106000,80072-134-8,דירה בבית,4,29028
222,משה שרת 8,109,2024,3206000,80073-74-2,דירה בבית,4,29413
223,שמעון פרס 8,80,2024,2756000,80072-141-2,דירה בבית,3,34450
224,0,141,2024,4456000,80072-45-14,דירה בבית,5,31603
