מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
122,נחלת אשר 25,25,2016,464000,18148-37-3,דירה בבית,1,18560
123,הרב מימון 24,28.3,2016,550000,18150-46-3,דירה בבית,2,19435
124,השיירה 2,120,2016,1250000,18150-92-3,דירה בבית,6,10417
125,חנה סנש 6,40,2016,439000,18148-12-3,דירה בבית,3,10975
126,השיירה 11,36,2016,720000,18148-162-1,דירה בבית,2,20000
127,סטרומה 21,191,2016,1440000,18148-175-3,דירה בבית,6,7539
128,הכרם 4,28.3,2016,465000,18150-102-4,דירה בבית,2,16431
129,נחלת אשר 12,25,2016,402000,18148-47-3,דירה בבית,2,16080
130,רבי עקיבא 11,25,2016,590000,18150-9-3,דירה בבית,1,23600
131,השיירה 17,120,2016,979000,18148-159-2,דירה בבית,5,8158
132,הרב מימון 8,97.8,2016,850000,18150-38-1,דירה בבית,4,8691
