מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
110,השריון 2,91.5,2015,1695000,3845-267-5,דירה בבית,4,18525
111,השריון 12,115.5,2015,425000,3845-268-130,דירה בבית,5,3680
112,עמק השושנים 14,114.6,2015,1650000,3844-72-44,דירה בבית,4,14398
113,חיים טפר 1,111.5,2015,2075000,3844-72-120,דירה בבית,5,18610
114,עמק השושנים 14,162.1,2015,2900000,3844-72-52,דירה בבית,5,17890
115,האירוסים 43,70.01,2015,1290000,3845-265-11,דירה בבית,3,18426
116,חיים טפר 1,99.8,2015,1615000,3844-72-118,דירה בבית,4,16182
117,בילו 13,109.17,2015,1549000,3844-61-7,דירה בבית,4,14189
118,השריון 8,115.5,2015,1750000,3845-268-15,דירה בבית,5,15152
119,השריון 10,115.5,2015,1770000,3845-268-83,דירה בבית,5,15325
120,השריון 12,115.5,2015,1740000,3845-268-117,דירה בבית,5,15065
121,האירוסים 49,70.24,2015,1300000,3845-262-24,דירה בבית,3,18508
122,השריון 6,91.5,2015,1465000,3845-267-61,דירה בבית,4,16011
123,חיים טפר 1,101.8,2015,1565000,3844-72-141,דירה בבית,4,15373
124,השריון 10,115.5,2015,1620000,3845-268-28,דירה בבית,5,14026
125,השריון 12,115.5,2015,1710000,3845-268-129,דירה בבית,5,14805
126,חיים טפר 6,93.6,2015,1879000,3845-304-35,דירה בבית,4,20075
127,האירוסים 51,95.97,2015,1500000,3845-261-21,דירה בבית,4,15630
128,השריון 6,91.5,2015,1650000,3845-267-82,דירה בבית,4,18033
129,חיים טפר 8,92.86,2015,1805000,3845-304-54,דירה בבית,4,19438
130,עמק השושנים 18,90.6,2015,1460000,3844-72-80,דירה בבית,4,16115
131,האירוסים 41,69.95,2015,575000,3845-266-19,דירה בבית,3,8220
132,חיים טפר 1,101.8,2015,1570000,3844-72-145,דירה בבית,4,15422
