city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
נתניה,אבו שדיד,921,בנימין 70,80.95,2018,1700000,8260-140-22,דירה בבית,4,21001
נתניה,אבו שדיד,922,הגליל 18,52.45,2018,1200000,8260-231-12,דירה בבית,2.5,22879
נתניה,אבו שדיד,925,השבעה 27,57.5,2018,1550000,8259-184-17,דירה בבית,3,26957
נתניה,אבו שדיד,926,סמילנסקי 85,78,2018,1440000,8259-165-38,דירה בבית,3.5,18462
נתניה,אבו שדיד,927,בנימין 44,56.5,2018,1389000,8260-213-26,דירה בבית,3,24584
נתניה,אבו שדיד,928,טשרניחובסקי 17,74.48,2018,1420000,8260-252-11,קוטג' דו משפחתי,3,19066
נתניה,אבו שדיד,929,סמילנסקי 67,80.5,2018,1390000,8259-13-5,דירה בבית,3,17267
נתניה,אבו שדיד,930,הגליל 36,88,2018,1560000,8260-472-11,דירה בבית,4,17727
נתניה,אבו שדיד,931,בן אבי 19,76.15,2018,1615000,8259-131-8,דירה בבית,4,21208
נתניה,אבו שדיד,932,יאיר 3,63,2018,1300000,8260-362-8,דירה בבית,3,20635
נתניה,אבו שדיד,933,ברודצקי 24,55.67,2018,1250000,8260-256-7,דירה בבית,3,22454
נתניה,אבו שדיד,934,סמילנסקי 62,112.58,2018,1800000,8258-83-2,דירה בבית,4,15989
נתניה,אבו שדיד,935,בן יהודה 9,64,2018,1400000,8259-4-15,דירה בבית,3,21875
נתניה,אבו שדיד,936,ז'בוטינסקי 25,110,2018,2290000,8258-59-14,דירה בבית,4,20818
נתניה,אבו שדיד,937,בן יהודה 1,51.5,2018,1000000,8259-94-13,דירה בבית,2.5,19417
נתניה,אבו שדיד,938,הנגב 7,115.93,2018,1830000,8260-235-13,דירה בבית,4,15785
נתניה,אבו שדיד,939,בנימין 56,116.1,2018,1660000,8260-628-57,דירה בבית,4,14298
נתניה,אבו שדיד,940,דר אברהם אבו שדיד 4,82.53,2018,1400000,8260-330-2,דירה בבית,4,16964
נתניה,אבו שדיד,941,בנימין 46,57,2018,1300000,8260-211-16,דירה בבית,3,22807
נתניה,אבו שדיד,942,הגליל 15,84.46,2018,1350000,8260-226-4,דירה בבית,3,15984
נתניה,אבו שדיד,943,טשרניחובסקי 4,76.6,2018,1400000,8260-454-24,דירה בבית,3,18277
נתניה,אבו שדיד,944,בן אבי 35,82.3,2018,1390000,8260-571-3,דירה בבית,4,16889
נתניה,אבו שדיד,945,הגליל 18,64.85,2018,1520000,8260-231-6,דירה בבית,3,23439
נתניה,אבו שדיד,946,סמילנסקי 61,52.15,2018,1200000,8262-97-6,דירה בבית,2,23011
נתניה,אבו שדיד,947,בנימין 74,61.7,2018,1355000,8260-138-9,דירה בבית,3,21961
נתניה,אבו שדיד,948,ז'בוטינסקי 31,78.83,2018,1300000,8258-54-15,דירה בבית,3,16491
נתניה,אבו שדיד,949,טשרניחובסקי 15,67.5,2018,1460000,8260-257-4,דירה בבית,3,21630
נתניה,אבו שדיד,950,הנגב 13,63.8,2018,1620000,8260-238-5,דירה בבית,3,25392
נתניה,אבו שדיד,951,דר אברהם אבו שדיד 13,34.7,2018,700000,8260-431-1,דירה בבית,2,20173
נתניה,אבו שדיד,952,בנימין 74,68,2018,1290000,8260-138-10,דירה בבית,3,18971
נתניה,אבו שדיד,953,ראש פנה 7,73.5,2018,1470000,8260-246-2,דירה בבית,3,20000
נתניה,אבו שדיד,954,בן אבי 47,90.55,2018,1500000,8260-383-10,דירה בבית,4,16565
נתניה,אבו שדיד,955,דר אברהם אבו שדיד 12,73,2018,1120000,8260-426-5,דירה בבית,4,15342
נתניה,אבו שדיד,956,בן אבי 9,82.47,2018,1590000,8259-126-7,דירה בבית,4,19280
נתניה,אבו שדיד,957,דר אברהם אבו שדיד 3,77.81,2018,1350000,8260-579-12,דירה בבית,3,17350
נתניה,אבו שדיד,958,טשרניחובסקי 11,66.3,2018,1400000,8260-471-2,דירה בבית,3,21116
נתניה,אבו שדיד,959,ברודצקי 29,73.6,2018,1350000,8260-419-23,דירה בבית,4,18342
נתניה,אבו שדיד,960,ז'בוטינסקי 27,89.66,2018,1560000,8258-58-6,דירה בבית,3,17399
נתניה,אבו שדיד,961,ברודצקי 16,68.96,2018,1250000,8260-412-2,דירה בבית,3,18126
נתניה,אבו שדיד,962,טשרניחובסקי 18,66.83,2018,1230000,8260-361-10,דירה בבית,3,18405
