מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
87,רמבם 24,69.7,2022,1850000,8242-273-101,דירה בבית,3,26542
88,הקליר 11,114,2022,2400000,8242-342-9,דירה בבית,4,21053
89,רמבם 26,85.8,2022,2060000,8242-273-28,דירה בבית,4,24009
90,רמבם 26,69.7,2022,1550000,8242-273-5,דירה בבית,3,22238
92,הארי 51,28.6,2022,300000,8242-11-89,דירה בבית,1,10490
94,הארי 51,28.6,2022,280000,8242-11-49,דירה בבית,1,9790
95,אבן עזרא 31,69.9,2022,1900000,8242-276-13,דירה בבית,3,27182
96,הקליר 9,131,2022,2630000,8242-341-5,דירה בבית,5,20076
99,רמבם 24,69.7,2022,1172000,8242-273-95,דירה בבית,3,16815
100,אלחריזי 16,121,2022,2540000,8242-235-81,דירה בבית,5,20992
101,הארי 51,29.4,2022,305000,8242-11-18,דירה בבית,1,10374
102,אבן עזרא 31,86.1,2022,1950000,8242-276-51,דירה בבית,4,22648
103,אבן עזרא 31,86.1,2022,1870000,8242-276-45,דירה בבית,4,21719
104,אלחריזי 16,120,2022,2100000,8242-235-80,דירה בבית,5,17500
105,רמבם 26,69.7,2022,1730000,8242-273-2,דירה בבית,3,24821
106,הקליר 9,118,2022,2380000,8242-341-6,דירה בבית,4,20169
107,אלחריזי 16,107,2022,1950000,8242-235-79,דירה בבית,4,18224
108,הארי 51,28.6,2022,300000,8242-11-56,דירה בבית,1,10490
109,אלחריזי 17,285,2022,3590000,8242-92-1,דירה בבית,8,12596
110,אלחריזי 14,163.9,2022,3050000,8242-346-37,דירה בבית,6,18609
111,אלחריזי 14,127.3,2022,2520000,8242-346-23,דירה בבית,5,19796
112,0,175,2022,3675000,8242-7-41,דירה בבית,5,21000
113,0,175,2022,3800000,8242-7-42,דירה בבית,5,21714
114,אבן עזרא 31,69.7,2022,1750000,8242-276-32,דירה בבית,3,25108
115,גולי קניה 4,86.1,2022,1970000,8242-276-107,דירה בבית,4,22880
116,עובדיה בן שלום 29,92.86,2022,1752000,8241-39-1,דירה בבית,4,18867
117,0,175,2022,3420000,8242-7-44,דירה בבית,5,19543
119,0,175,2022,2650000,8242-7-45,דירה בבית,6,15143
120,אלחריזי 16,127,2022,2000000,8242-235-78,דירה בבית,5,15748
121,אלחריזי 16,120,2022,2030000,8242-235-77,דירה בבית,5,16917
122,אלחריזי 16,114,2022,1940000,8242-235-76,דירה בבית,4,17018
123,הקליר 9,166,2022,2500000,8242-341-7,דירה בבית,5,15060
126,אלחריזי 16,151,2022,2850000,8242-235-75,דירה בבית,5,18874
127,הארי 39,109,2022,1480000,8242-311-24,דירה בבית,5,13578
128,הארי 39,113,2022,1300000,8242-311-23,דירה בבית,4,11504
129,0,131,2022,2420000,8242-7-48,דירה בבית,5,18473
130,הקליר 9,189,2022,3550000,8242-341-8,דירה בבית,5,18783
131,אלחריזי 14,127.3,2022,2325000,8242-346-35,דירה בבית,5,18264
132,אבן עזרא 31,69.7,2022,1550000,8242-276-2,דירה בבית,3,22238
133,0,131,2022,2380000,8242-7-49,דירה בבית,5,18168
134,אלחריזי 16,107,2022,1940000,8242-235-74,דירה בבית,4,18131
135,הארי 51,29.4,2022,290000,8242-11-36,דירה בבית,1,9864
136,אלחריזי 14,184.8,2022,3150000,8242-346-45,דירה בבית,6,17045
