city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
נתניה,גלי הים,130,בני בנימין 3,137,2019,2350000,8567-29-6,דירה בבית,5,17153
נתניה,גלי הים,132,בני בנימין 11,114,2019,2015000,8567-32-20,דירה בבית,4,17675
נתניה,גלי הים,133,0,140,2019,2485000,8568-122-21,דירה,5,17750
נתניה,גלי הים,134,בני בנימין 51,140,2019,2485000,8568-170-25,דירה בבית,5,17750
נתניה,גלי הים,135,אקסודוס 43,227,2019,3750000,8568-60-2,דירה בבית,7,16520
נתניה,גלי הים,136,בני בנימין 51,141,2019,3076000,8568-170-8,דירה בבית,5,21816
נתניה,גלי הים,137,0,140,2019,3600000,8568-122-20,דירה,5,25714
נתניה,גלי הים,138,בני בנימין 13,95,2019,1790000,8567-33-14,דירה בבית,3,18842
נתניה,גלי הים,139,בני בנימין 43,165,2019,3180000,8568-118-65,דירה בבית,6,19273
נתניה,גלי הים,140,בני בנימין 43,165,2019,3180000,8568-118-45,דירה,6,19273
נתניה,גלי הים,141,בני בנימין 17,170.8,2019,2775000,8567-7-3,דירה בבית,5,16247
נתניה,גלי הים,142,0,141,2019,2800000,8568-122-22,דירה בבית,5,19858
נתניה,גלי הים,143,בני בנימין 26,201,2019,3100000,8568-98-5,קוטג' דו משפחתי,5,15423
נתניה,גלי הים,145,פנצ'ו 4,228,2019,3300000,8568-8-2,קוטג' דו משפחתי,5,14474
נתניה,גלי הים,146,בני בנימין 8,195,2019,4100000,8568-15-2,קוטג' דו משפחתי,5,21026
נתניה,גלי הים,147,בני בנימין 7,126.1,2019,2200000,8567-31-14,דירה בבית,4,17446
נתניה,גלי הים,148,בני בנימין 7,127.7,2019,2250000,8567-31-10,דירה בבית,4,17619
נתניה,גלי הים,149,בני בנימין 7,107.8,2019,2550000,8567-31-8,דירה בבית,5,23655
נתניה,גלי הים,150,בני בנימין 7,113.9,2019,2170000,8567-31-6,דירה בבית,4,19052
נתניה,גלי הים,151,בני בנימין 35,149,2019,4150000,8568-155-41,דירה בבית,5,27852
נתניה,גלי הים,152,בני בנימין 35,149,2019,4150000,8568-155-13,דירה,5,27852
נתניה,גלי הים,153,בני בנימין 43,142,2019,2450000,8568-118-44,דירה,5,17254
נתניה,גלי הים,154,בני בנימין 35,149,2019,4015000,8568-155-42,דירה בבית,5,26946
נתניה,גלי הים,155,פנצ'ו 13,241,2019,3600000,8568-103-2,דירה בבית,7,14938
נתניה,גלי הים,156,בני בנימין 35,149,2019,4015000,8568-155-12,דירה,5,26946
נתניה,גלי הים,157,בני בנימין 58,184,2019,3450000,8568-67-1,קוטג' דו משפחתי,5,18750
נתניה,גלי הים,158,בני בנימין 43,142,2019,2530000,8568-118-67,דירה בבית,5,17817
נתניה,גלי הים,159,בני בנימין 43,142,2019,2530000,8568-118-43,דירה,5,17817
נתניה,גלי הים,160,בני בנימין 15,107,2019,2250000,8567-34-16,דירה בבית,4,21028
נתניה,גלי הים,161,בני בנימין 51,141,2019,2338000,8568-170-7,דירה בבית,5,16582
נתניה,גלי הים,163,בני בנימין 35,149,2019,3600000,8568-155-43,דירה בבית,5,24161
נתניה,גלי הים,164,בני בנימין 11,114,2019,1849000,8567-32-19,דירה בבית,4,16219
נתניה,גלי הים,165,בני בנימין 35,149,2019,3915000,8568-155-44,דירה בבית,5,26275
נתניה,גלי הים,166,בני בנימין 3,119,2019,2450000,8567-29-7,דירה בבית,4,20588
