city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
עכו,גן מוטה גור,29,השלום 6,123,2022,1380000,18017-5-18,דירה בבית,5,11220
עכו,גן מוטה גור,30,השלום 6,85.3,2022,1600000,18017-5-4,דירה בבית,4,18757
עכו,גן מוטה גור,31,השלום 6,97.3,2022,1330000,18017-5-80,דירה בבית,4,13669
עכו,גן מוטה גור,32,השלום 6,97,2022,1300000,18017-5-40,דירה בבית,4,13402
עכו,גן מוטה גור,33,השלום 6,97.3,2022,1380000,18017-5-20,דירה בבית,4,14183
עכו,גן מוטה גור,34,השלום 6,97,2022,1300000,18017-5-10,דירה בבית,4,13402
עכו,גן מוטה גור,35,מרדכי גור 4,85,2022,885000,18017-139-66,דירה בבית,3,10412
עכו,גן מוטה גור,36,השלום 2,140,2022,1650000,18017-147-153,דירה בבית,5,11786
עכו,גן מוטה גור,37,מרדכי גור 4,120,2022,1075000,18017-139-65,דירה בבית,5.5,8958
עכו,גן מוטה גור,39,מרדכי גור 2,202,2022,1700000,18017-139-63,דירה בבית,5,8416
עכו,גן מוטה גור,40,0,103.15,2022,1240000,18017-110-41,דירה בבית,4,12021
עכו,גן מוטה גור,41,השלום 2,129,2022,1285000,18017-147-146,דירה בבית,4,9961
עכו,גן מוטה גור,42,מרדכי גור 6,100,2022,935000,18017-139-62,דירה בבית,3,9350
עכו,גן מוטה גור,43,השלום 6,128.2,2022,2000000,18017-5-88,דירה בבית,5,15601
עכו,גן מוטה גור,44,מרדכי גור 1,87.4,2022,750000,18017-9-13,דירה בבית,3,8581
עכו,גן מוטה גור,45,השלום 6,126,2022,1610000,18017-5-63,דירה בבית,5,12778
