מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
926,ירושלים 12,59.7,2017,550000,18020-98-10,דירה בבית,3,9213
927,הרצוג 10,46.4,2017,500000,18016-78-6,דירה בבית,3,10776
928,הרצל 5,100,2017,1150000,18001-32-2,דירה בבית,5,11500
929,יאנוש קורצ'אק 20,70,2017,550000,18004-165-12,דירה בבית,4,7857
930,יאנוש קורצ'אק 5,55.3,2017,460000,18016-101-7,דירה בבית,2,8318
931,גיבורי סיני 30,42,2017,393000,18016-93-40,דירה בבית,2,9357
932,ז'בוטינסקי 26,42.4,2017,450000,18001-131-5,דירה בבית,2,10613
933,ז'בוטינסקי 21,42.6,2017,385000,18001-135-16,דירה בבית,3,9038
934,גיבורי סיני 25,46.4,2017,423000,18016-88-6,דירה בבית,3,9116
935,ירושלים 18,47.9,2017,420000,18017-126-12,דירה בבית,3,8768
936,יאנוש קורצ'אק 8,46.2,2017,200000,18004-256-2,דירה בבית,2,4329
937,הארבעה 49,40.7,2017,450000,18004-167-49,דירה בבית,2,11057
938,ז'בוטינסקי 28,42.6,2017,370000,18001-134-11,דירה בבית,3,8685
940,חטיבת גולני 24,59.7,2017,490000,18020-92-14,דירה בבית,3,8208
941,הארבעה 45,40.7,2017,375000,18004-175-7,דירה בבית,2,9214
942,ז'בוטינסקי 26,42.4,2017,350000,18001-131-15,דירה בבית,2,8255
943,הרצל 49,42,2017,390000,18004-179-11,דירה בבית,2,9286
944,חטיבת גולני 16,70.3,2017,595000,18020-89-1,דירה בבית,3,8464
945,שרת משה 9,54.7,2017,500000,18020-101-4,דירה בבית,3,9141
946,שרת משה 9,54.7,2017,425000,18020-101-21,דירה בבית,3,7770
947,משה שרת 15,59.7,2017,500000,18017-120-2,דירה בבית,3,8375
948,דב גרונר 14,36.4,2017,490000,18001-136-9,דירה בבית,2,13462
949,הארבעה 47,40.7,2017,380000,18004-174-8,דירה בבית,2,9337
950,ז'בוטינסקי 38,36.5,2017,462000,18001-120-5,דירה בבית,2,12658
951,ז'בוטינסקי 19,60.6,2017,515000,18001-141-3,דירה בבית,3,8498
952,ז'בוטינסקי 21,42.6,2017,420000,18001-135-4,דירה בבית,3,9859
953,חטיבת גולני 6,52.8,2017,515000,18021-116-30,דירה בבית,3,9754
954,יאנוש קורצ'אק 4,40.7,2017,380000,18004-172-22,דירה בבית,2,9337
955,הארבעה 49,40.7,2017,360000,18004-167-26,דירה בבית,2,8845
956,ירושלים 5,54.7,2017,525000,18020-95-19,דירה בבית,3,9598
958,גיבורי סיני 23,46.4,2017,390000,18016-89-18,דירה בבית,3,8405
959,יאנוש קורצ'אק 10,37.4,2017,320000,18004-169-10,דירה בבית,2,8556
960,ז'בוטינסקי 25,36.5,2017,430000,18001-118-12,דירה בבית,2,11781
961,יאנוש קורצ'אק 2,66.8,2017,590000,18004-173-19,דירה בבית,4,8832
962,ירושלים 10,59.7,2017,575700,18020-96-11,דירה בבית,3,9643
963,משה שרת 12,58.5,2017,370000,18004-237-7,דירה בבית,3,6325
964,יאנוש קורצ'אק 18,75.5,2017,500000,18004-251-16,דירה בבית,4,6623
965,הרצוג 6,46.4,2017,606000,18016-81-8,דירה בבית,3,13060
966,הרצל 21,58.1,2017,700000,18001-127-19,דירה בבית,3,12048
967,משה שרת 19,70.3,2017,535000,18017-118-14,דירה בבית,3,7610
968,גיבורי סיני 27,50,2017,530000,18016-163-23,דירה בבית,3,10600
969,החרמון 3,47.2,2017,500000,18021-119-18,דירה בבית,3,10593
970,ז'בוטינסקי 42,36.5,2017,390000,18001-122-5,דירה בבית,2,10685
971,גיבורי סיני 29,50,2017,500000,18016-162-9,דירה בבית,3,10000
972,ז'בוטינסקי 36,36.5,2017,405000,18001-119-6,דירה בבית,2.5,11096
973,יאנוש קורצ'אק 20,72.6,2017,535000,18004-165-1,דירה בבית,3,7369
974,גיבורי סיני 23,46.4,2017,580000,18016-89-1,דירה בבית,3,12500
975,הארבעה 49,40.7,2017,420000,18004-167-50,דירה בבית,2,10319
976,הרצוג 10,46.4,2017,580000,18016-78-16,דירה בבית,3,12500
977,ז'בוטינסקי 26,42.4,2017,350000,18001-131-17,דירה בבית,2,8255
978,הרצוג 6,46.4,2017,580000,18016-81-2,דירה בבית,3,12500
979,הרצל 7,140,2017,1150000,18001-32-1,דירה בבית,4.5,8214
980,הארבעה 36,69.2,2017,625000,18004-260-33,דירה בבית,3,9032
981,גיבורי סיני 30,40.7,2017,400000,18016-93-28,דירה בבית,2,9828
982,גיבורי סיני 34,58.1,2017,580000,18016-91-22,דירה בבית,3,9983
983,סר אייזיק 7,43.7,2017,360000,18004-204-8,דירה בבית,3,8238
984,הרצוג 27,45.5,2017,390000,18021-78-24,דירה בבית,2.5,8571
985,ז'בוטינסקי 21,42.6,2017,430000,18001-135-10,דירה בבית,3,10094
986,חטיבת גולני 14,72.7,2017,730000,18020-80-21,דירה בבית,4,10041
987,החרמון 3,47.2,2017,430000,18021-119-1,דירה בבית,3,9110
988,הארבעה 45,40.7,2017,350000,18004-175-30,דירה בבית,2.5,8600
989,חטיבת גולני 24,59.7,2017,500000,18020-92-7,דירה בבית,3,8375
