מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
226,0,160,2017,1547000,16711-220-3,דירה בבית,6,9669
227,0,160,2017,1810000,16711-220-1,חד משפחתי (וילה),6,11313
228,השומר 10,149,2017,1490000,16691-142-1,קוטג' דו משפחתי,6,10000
230,0,161,2017,1800000,16711-141-20,חד משפחתי (וילה),6,11180
231,0,161.1,2017,1800000,16711-221-4,דירה בבית,6,11173
233,יהושע חנקין 97,142.5,2017,1530000,16695-47-10,דירה בבית,6,10737
235,בילו 16,200,2017,1510000,16691-72-2,דירה בבית,5,7550
236,משמר הירדן 30,172,2017,1610000,16659-43-1,דירה בבית,6,9360
237,יהושע חנקין 107,178,2017,1617000,16695-42-6,דירה בבית,6,9084
238,יהושע חנקין 97,133.5,2017,1300000,16695-47-3,קוטג' דו משפחתי,6,9738
239,שרת 79,233,2017,1550000,16691-149-10,קוטג' דו משפחתי,6,6652
240,הרב אשר קירשטיין 35,161,2017,1770000,16695-28-2,דירה בבית,6,10994
241,0,160,2017,1815000,16711-222-1,קוטג' חד משפחתי,6,11344
242,הרב יהודה שטרית 6,145,2017,1550000,16691-221-1,דירה בבית,6,10690
243,הכלנית 3,160,2017,1550000,16738-47-2,קוטג' דו משפחתי,6,9688
244,0,159.55,2017,1800000,16711-215-1,דירה בבית,6,11282
245,0,161,2017,1800000,16711-141-19,חד משפחתי (וילה),6,11180
247,0,150,2017,1650000,16691-163-1,קוטג' דו משפחתי,6,11000
249,0,160,2017,1690000,16711-141-18,חד משפחתי (וילה),6,10563
250,שרת 75,239,2017,1600000,16691-149-9,קוטג' דו משפחתי,6,6695
