מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,שפרינצק 21,64,2025,1800000,6388-464-23,דירה בבית,3,28125
2,שפרינצק 34,48.5,2025,1537000,6388-527-7,דירה בבית,3,31691
3,בנימין מינץ 31,60,2025,2315000,6388-524-3,דירה בבית,3,38583
4,בנימין מינץ 27,48.5,2025,1650000,6388-521-29,דירה בבית,3,34021
5,בנימין מינץ 35,54,2025,1600000,6388-526-30,דירה בבית,3,29630
6,מינץ בנימין 25,94.56,2025,2700000,6388-38-7,דירה בבית,4,28553
7,שפרינצק 35,96.25,2025,2330000,6388-629-66,דירה בבית,4,24208
8,אופיר 8,46.1,2025,1550000,6388-494-35,דירה בבית,2,33623
10,שיטרית בכור 4,61.25,2025,1800000,6388-454-27,דירה בבית,3,29388
11,שפרינצק 19,64,2025,2000000,6388-463-15,דירה בבית,3,31250
12,שפרינצק 30,81,2025,1750000,6388-523-15,דירה בבית,4,21605
13,זמנהוף 13,60.87,2025,1770000,6388-84-12,דירה בבית,3,29078
14,שפינוזה 16,67.44,2025,1800000,6388-37-6,דירה בבית,3.5,26690
15,שפרינצק 32,80,2025,1910000,6388-525-10,דירה בבית,4,23875
16,דוד רזיאל 6,96.99,2025,2100000,6388-259-1,דירה בבית,4,21652
17,זמנהוף 13,60.87,2025,1500000,6388-84-11,דירה בבית,3,24643
18,בנימין מינץ 50,45,2025,1300000,6390-226-16,דירה בבית,3,28889
19,בנימין מינץ 47,69.63,2025,1730000,6390-277-7,דירה בבית,3,24846
20,קיש 18,139,2025,1079000,6388-73-1,דירה בבית,5,7763
21,שפרינצק 30,81,2025,2100000,6388-523-34,דירה בבית,3,25926
23,שפרינצק 2,51,2025,1690000,6388-424-38,דירה בבית,3,33137
24,בנימין מינץ 27,67,2025,850000,6388-521-16,דירה בבית,3,12687
25,בכור שטרית 3,50,2024,1690000,6388-445-19,דירה בבית,3,33800
26,בכור שטרית 6,66.15,2024,1650000,6388-455-13,דירה בבית,3,24943
27,בנימין מינץ 47,69.63,2024,1790000,6390-277-15,דירה בבית,3,25707
28,שפרינצק 36,67,2024,1620000,6388-529-13,דירה בבית,3,24179
29,קיש 16,139,2024,3350000,6388-72-10,דירה בבית,6,24101
30,החמישה 11,49.94,2024,1000000,6388-267-2,דירה בבית,3,20024
31,אסף שמחוני 18,84,2024,1835000,6388-238-8,דירה בבית,4,21845
32,שפרינצק 4,51,2024,1550000,6388-424-90,דירה בבית,3,30392
33,בנימין מינץ 38,40,2024,540000,6388-417-122,דירה בבית,3,13500
34,שפרינצק 15,64,2024,1801000,6388-461-19,דירה בבית,3.5,28141
35,קיש 18,100,2024,2500000,6388-73-2,דירה בבית,4,25000
36,שפרינצק 17,64,2024,1900000,6388-462-16,דירה בבית,3,29688
37,בנימין מינץ 43,60,2024,1690000,6388-530-8,דירה בבית,3,28167
40,שפרינצק 30,67,2024,2235000,6388-523-12,דירה בבית,4,33358
43,שפרינצק 37,96.25,2024,2200000,6388-629-126,דירה בבית,4,22857
44,שפרינצק 25,79.72,2024,2100000,6388-610-7,דירה בבית,4,26342
45,קיש 18,139,2024,1050000,6388-73-3,דירה בבית,5,7554
46,קיש 16,102,2024,2350000,6388-72-11,דירה בבית,4,23039
48,קיש 16,102,2024,2400000,6388-72-12,דירה בבית,4,23529
50,שפרינצק 36,67,2024,1600000,6388-529-9,דירה בבית,3,23881
51,גדנע 6,89.6,2024,1825000,6388-553-6,דירה בבית,3.5,20368
52,קיש 18,140,2024,3300000,6388-73-4,דירה בבית,5,23571
53,שפרינצק 32,129,2024,3100000,6388-525-34,דירה בבית,5,24031
54,אופיר 8,46.1,2024,1500000,6388-494-36,דירה בבית,2,32538
56,מיכל לייב כץ 81,44,2024,1590000,6390-224-30,דירה בבית,2,36136
57,אסף שמחוני 4,54,2024,1590000,6388-522-42,דירה בבית,3.5,29444
58,שפרינצק 35,96.25,2024,2270000,6388-629-40,דירה בבית,4,23584
59,שפינוזה 11,53,2024,1800000,6388-487-1,דירה בבית,3,33962
60,קיש 16,102,2024,2350000,6388-72-13,דירה בבית,4,23039
62,בכור שטרית 7,50,2024,1600000,6388-448-20,דירה בבית,3,32000
63,שיטרית בכור 11,50,2024,1655000,6388-451-20,דירה בבית,3,33100
64,קיש 18,112,2024,2350000,6388-73-5,דירה בבית,4,20982
65,קיש 18,112,2024,2420000,6388-73-6,דירה בבית,4,21607
66,קיש 18,112,2024,2380000,6388-73-7,דירה בבית,4,21250
