city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
פתח תקווה,הדר המושבות החדשה,88,0,151.82,2024,4050000,6360-249-9,דירה בבית,6,26676
פתח תקווה,הדר המושבות החדשה,89,מבצע יפתח 6,101,2024,2850000,6361-529-20,דירה בבית,4,28218
פתח תקווה,הדר המושבות החדשה,90,בן חור 15,136,2024,3310000,6360-191-2,דירה בבית,5,24338
פתח תקווה,הדר המושבות החדשה,91,0,136.1,2024,4240000,6360-253-41,דירה בבית,6,31154
פתח תקווה,הדר המושבות החדשה,92,משה סנה 45,93,2024,2725000,6357-83-18,דירה בבית,4,29301
פתח תקווה,הדר המושבות החדשה,93,יעל רום 4,136.85,2024,3400000,6376-261-98,דירה בבית,5,24845
פתח תקווה,הדר המושבות החדשה,94,משה סנה 12,107.6,2024,2857000,6360-281-21,דירה בבית,4,26552
פתח תקווה,הדר המושבות החדשה,95,יעל רום 16,122.3,2024,3070000,6360-318-62,דירה בבית,4.5,25102
פתח תקווה,הדר המושבות החדשה,96,מבצע יפתח 2,121.8,2024,3190000,6361-529-92,דירה בבית,5,26190
פתח תקווה,הדר המושבות החדשה,97,אריה בראון 22,117,2024,3345000,6360-243-86,דירה בבית,5,28590
פתח תקווה,הדר המושבות החדשה,98,רבקה גובר 3,144.1,2024,3550000,7209-19-62,דירה בבית,6,24636
פתח תקווה,הדר המושבות החדשה,99,יעל רום 9,132,2024,3540000,6360-306-114,דירה בבית,5,26818
פתח תקווה,הדר המושבות החדשה,100,בן חור 7,124.37,2024,3733000,6360-312-14,דירה בבית,6,30015
פתח תקווה,הדר המושבות החדשה,101,רבקה גובר 3,143.65,2024,3570000,7209-19-65,דירה בבית,6,24852
פתח תקווה,הדר המושבות החדשה,102,משה סנה 28,103.05,2024,2785000,6360-296-114,דירה בבית,4,27026
פתח תקווה,הדר המושבות החדשה,103,איסר הראל 3,106.5,2024,3080000,6360-211-14,דירה בבית,5,28920
פתח תקווה,הדר המושבות החדשה,104,מבצע יפתח 2,111.6,2024,3080000,6361-529-162,דירה בבית,4.5,27599
פתח תקווה,הדר המושבות החדשה,105,משה סנה 22,96.35,2024,2570000,6360-298-3,דירה בבית,4,26674
פתח תקווה,הדר המושבות החדשה,106,שרגא רפאלי 11,137.63,2024,3600000,7209-41-56,דירה בבית,5,26157
פתח תקווה,הדר המושבות החדשה,108,יעל רום 17,122.1,2024,3465000,6360-179-27,דירה בבית,5,28378
פתח תקווה,הדר המושבות החדשה,109,יוני נתניהו 9,123.25,2024,3620000,6357-55-14,דירה בבית,5.5,29371
פתח תקווה,הדר המושבות החדשה,110,יעל רום 5,100.8,2024,3265000,6360-305-17,דירה בבית,4,32391
פתח תקווה,הדר המושבות החדשה,111,רבקה גובר 3,141,2024,4300000,7209-19-109,דירה בבית,6,30496
פתח תקווה,הדר המושבות החדשה,112,איתן רפאל 2,105.95,2024,3120000,6360-172-74,דירה בבית,4,29448
פתח תקווה,הדר המושבות החדשה,113,יעל רום 3,109.5,2024,2970000,6360-277-99,דירה בבית,4,27123
פתח תקווה,הדר המושבות החדשה,114,מבצע יפתח 2,111.6,2024,2900000,6361-529-138,דירה בבית,4.5,25986
פתח תקווה,הדר המושבות החדשה,115,0,110.9,2024,3060000,6360-198-10,דירה בבית,4,27592
פתח תקווה,הדר המושבות החדשה,116,משה סנה 41,112,2024,3210000,6360-187-55,דירה בבית,5,28661
פתח תקווה,הדר המושבות החדשה,117,מבצע יפתח 2,101.3,2024,3075000,6361-529-198,דירה בבית,4,30355
פתח תקווה,הדר המושבות החדשה,118,בן חור 5,110.44,2024,3550000,6360-312-165,דירה בבית,5,32144
פתח תקווה,הדר המושבות החדשה,119,בן חור 15,129.13,2024,3300000,6360-191-31,דירה בבית,5,25556
פתח תקווה,הדר המושבות החדשה,120,איתן רפאל 4,103,2024,2880000,6357-136-15,דירה בבית,4,27961
פתח תקווה,הדר המושבות החדשה,121,בן חור 5,108.7,2024,3530000,6360-312-99,דירה בבית,5,32475
פתח תקווה,הדר המושבות החדשה,122,משה סנה 16,100.55,2024,3000000,6360-284-26,דירה בבית,4,29836
פתח תקווה,הדר המושבות החדשה,123,משה סנה 2,155,2024,3670000,6376-263-14,דירה בבית,5,23677
פתח תקווה,הדר המושבות החדשה,125,איתן רפאל 7,126,2024,4100000,6357-118-3,דירה בבית,5,32540
פתח תקווה,הדר המושבות החדשה,126,איתן רפאל 2,113.8,2024,3220000,6360-172-76,דירה בבית,5,28295
פתח תקווה,הדר המושבות החדשה,127,רבקה גובר 1,144.1,2024,3550000,7209-19-3,דירה בבית,6,24636
פתח תקווה,הדר המושבות החדשה,128,יעל רום 22,100.55,2024,2830000,6360-300-113,דירה בבית,4,28145
פתח תקווה,הדר המושבות החדשה,129,0,125,2024,3100000,6360-193-57,דירה בבית,5,24800
פתח תקווה,הדר המושבות החדשה,130,משה סנה 45,153.21,2024,4400000,6357-83-35,דירה בבית,5,28719
פתח תקווה,הדר המושבות החדשה,131,אריה בראון 22,96.7,2024,2780000,6360-243-73,דירה בבית,4,28749
פתח תקווה,הדר המושבות החדשה,132,רבקה גובר 7,104.38,2024,3050000,7209-22-351,דירה בבית,4,29220
פתח תקווה,הדר המושבות החדשה,133,משה סנה 18,105.3,2024,3155000,6360-284-60,דירה בבית,4,29962
פתח תקווה,הדר המושבות החדשה,134,משה סנה 20,121.35,2024,3575000,6360-284-125,דירה בבית,5,29460
פתח תקווה,הדר המושבות החדשה,135,יעל רום 3,109.5,2024,2935000,6360-277-146,דירה בבית,4,26804
פתח תקווה,הדר המושבות החדשה,136,יעל רום 1,109.5,2024,2935000,6360-277-11,דירה בבית,4,26804
פתח תקווה,הדר המושבות החדשה,137,יוני נתניהו 11,107.88,2024,3360000,6357-55-64,דירה בבית,5,31146
פתח תקווה,הדר המושבות החדשה,138,רבקה גובר 3,131.25,2024,3340000,7209-19-66,דירה בבית,5,25448
פתח תקווה,הדר המושבות החדשה,139,רבקה גובר 3,125,2024,3405000,7209-19-61,דירה בבית,5,27240
פתח תקווה,הדר המושבות החדשה,140,שרגא רפאלי 8,124,2024,3500000,7209-21-47,דירה בבית,5,28226
פתח תקווה,הדר המושבות החדשה,142,יעל רום 17,139.1,2024,4200000,6360-179-77,דירה בבית,5,30194
פתח תקווה,הדר המושבות החדשה,143,יעל רום 13,93.5,2024,2765000,6360-283-59,דירה בבית,4,29572
פתח תקווה,הדר המושבות החדשה,144,שרגא רפאלי 3,77.1,2024,2500000,6357-80-124,דירה בבית,3,32425
פתח תקווה,הדר המושבות החדשה,145,שרגא רפאלי 14,74.99,2024,2550000,7209-22-114,דירה בבית,3,34005
פתח תקווה,הדר המושבות החדשה,146,0,114.1,2024,3400000,6360-229-52,דירה בבית,5,29798
פתח תקווה,הדר המושבות החדשה,147,יעל רום 3,109.5,2024,3095000,6360-277-147,דירה בבית,4,28265
פתח תקווה,הדר המושבות החדשה,148,0,107.7,2024,3235000,6360-229-47,דירה בבית,4.5,30037
פתח תקווה,הדר המושבות החדשה,149,משה סנה 35,96.9,2024,2975000,6360-299-61,דירה בבית,4,30702
פתח תקווה,הדר המושבות החדשה,150,0,107.7,2024,3250000,6360-229-51,דירה בבית,5,30176
פתח תקווה,הדר המושבות החדשה,151,0,113.8,2024,3330000,6360-229-34,דירה בבית,5,29262
פתח תקווה,הדר המושבות החדשה,152,איסר הראל 1,112.4,2024,3330000,6360-185-26,דירה בבית,5,29626
פתח תקווה,הדר המושבות החדשה,153,איסר הראל 3,96,2024,2900000,6360-211-40,דירה בבית,4,30208
פתח תקווה,הדר המושבות החדשה,154,שרגא רפאלי 8,127,2024,3520000,7209-21-48,דירה בבית,5,27717
פתח תקווה,הדר המושבות החדשה,156,יעל רום 3,109.5,2024,3020000,6360-277-98,דירה בבית,4,27580
פתח תקווה,הדר המושבות החדשה,157,שרגא רפאלי 7,103.39,2024,3100000,6357-104-12,דירה בבית,4,29984
פתח תקווה,הדר המושבות החדשה,158,משה סנה 35,97.2,2024,2670000,6360-299-57,דירה בבית,4,27469
פתח תקווה,הדר המושבות החדשה,159,רבקה גובר 1,126.45,2024,3350000,7209-19-14,דירה בבית,5,26493
