מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
470,0,108.5,2019,2250000,6714-559-8,דירה בבית,5,20737
471,דוד תדהר 7,75.84,2019,1750000,6714-115-5,דירה בבית,4,23075
472,מאיר מקליס 10,104.5,2019,1840000,6714-447-6,דירה בבית,4,17608
473,יצחק טבנקין 10,130.02,2019,2220000,6715-93-5,דירה בבית,5,17074
474,יצחק טבנקין 2,91,2019,1935000,6715-573-2,דירה בבית,4,21264
476,הנשיאים 65,58.99,2019,1250000,6714-271-8,דירה בבית,3,21190
477,הרב פלדמן 2,87.14,2019,1765000,6714-363-10,דירה בבית,4,20255
478,יצחק טבנקין 10,130.02,2019,2225000,6715-93-6,דירה בבית,5,17113
479,יצחק בן צבי 16,94.82,2019,1850000,6715-253-36,דירה בבית,4.5,19511
480,העצמאות 10,99.48,2019,1837000,6714-385-7,דירה בבית,4,18466
481,יצחק בן צבי 22,113.06,2019,1750000,6715-256-23,דירה בבית,5,15479
482,מיכל לייב כץ 94,125.75,2019,2160000,6715-567-85,דירה בבית,5.5,17177
483,זליג בס 7,112.57,2019,1849000,6714-520-17,דירה בבית,4,16425
484,יצחק טבנקין 2,91,2019,1960000,6715-573-1,דירה בבית,4,21538
485,יצחק בן צבי 11,90.29,2019,1740000,6715-269-6,דירה בבית,4,19271
486,יצחק בן צבי 15,109.05,2019,1900000,6715-239-7,דירה בבית,4,17423
487,0,100,2019,2210000,6714-114-6,דירה בבית,4,22100
488,0,104,2019,2210000,6714-114-5,דירה,4,21250
489,0,100,2019,2210000,6714-114-7,דירה בבית,4,22100
490,0,104,2019,2210000,6714-114-4,דירה,4,21250
491,0,104,2019,2120000,6714-114-3,דירה,4,20385
492,0,117,2019,2113000,6715-184-274,דירה,6,18060
493,מיכל לייב כץ 94,124.5,2019,1659000,6715-567-10,דירה בבית,4,13325
494,0,129,2019,2155000,6715-184-273,דירה,6,16705
495,מיכל לייב כץ 94,144.45,2019,2110000,6715-567-61,דירה בבית,5.5,14607
496,0,132,2019,2110000,6715-184-272,דירה,6,15985
497,מאיר מקליס 5,133.2,2019,3290000,6714-532-12,דירה בבית,5,24700
498,לוין 2,109.9,2019,2249000,6714-462-14,דירת,4,20464
499,יצחק בן צבי 12,107.35,2019,1620000,6715-215-6,דירה בבית,5,15091
500,יצחק בן צבי 26,108.03,2019,1630000,6715-197-8,דירה בבית,5,15088
511,העצמאות 42,126.48,2019,2225000,6714-399-21,דירה בבית,4.5,17592
512,0,93,2019,1955000,6715-89-1,דירה בבית,4,21022
513,העצמאות 20,108.44,2019,1880000,6714-525-3,דירה בבית,5,17337
516,0,144,2019,2650000,6715-184-270,דירה,5,18403
517,זרובבל יעקב 3,88,2019,1570000,6715-332-17,דירה בבית,4,17841
518,0,115,2019,2305000,6715-184-269,דירה,6,20043
519,הנשיאים 63,84,2019,782000,6714-306-6,דירה בבית,4,9310
520,מיכל לייב כץ 94,144.45,2019,2108000,6715-567-77,דירה בבית,5.5,14593
521,0,118,2019,2108000,6715-184-268,דירה,6,17864
522,יצחק בן צבי 28,74.6,2019,1580000,6715-198-9,דירה בבית,3.5,21180
523,0,138,2019,2114000,6715-184-278,דירה בבית,5,15319
524,0,144,2019,2114000,6715-184-267,דירה,6,14681
525,מיכל לייב כץ 82,91.5,2019,1511000,6715-260-6,דירה בבית,4,16514
526,0,143,2019,2280000,6715-184-266,דירה,6,15944
527,0,128,2019,2075000,6715-184-265,דירה,6,16211
528,הנשיאים 55,115,2019,1825000,6714-256-21,דירה בבית,4,15870
529,יצחק טבנקין 2,112,2019,1920000,6715-573-8,דירה בבית,4,17143
530,מיכל לייב כץ 94,144.45,2019,2115000,6715-567-53,דירה בבית,6,14642
531,0,160,2019,2110000,6715-184-264,דירה,6,13188
532,0,234,2019,2465000,6715-184-279,דירה בבית,6,10534
533,הנשיאים 55,92,2019,1835000,6714-256-22,דירה בבית,3,19946
534,הנשיאים 55,112,2019,1655000,6714-256-23,דירה בבית,4,14777
535,זליג בס 2,69,2019,1410000,6714-108-6,דירה בבית,3,20435
536,מאיר מקליס 8,138.73,2019,2800000,6714-448-15,דירה בבית,5,20183
537,0,155,2019,2156000,6715-184-280,דירה בבית,5.5,13910
538,0,160,2019,2250000,6715-184-281,דירה בבית,6,14063
539,0,154,2019,2060000,6715-184-282,דירה בבית,5,13377
540,יצחק בן צבי 14,99.6,2019,1625000,6715-252-17,דירה בבית,5.5,16315
541,לוין 3,105.9,2019,1635000,6714-267-3,דירה בבית,3,15439
542,הנשיאים 55,120,2019,2005000,6714-256-24,דירה בבית,5,16708
543,0,120.91,2019,2425000,6714-129-3,דירה בבית,5,20056
544,0,91,2019,1980000,6715-89-2,דירה בבית,4,21758
545,0,138,2019,2100000,6715-184-284,דירה בבית,5.5,15217
546,מיכל לייב כץ 74,101.7,2019,2030000,6715-228-13,דירה בבית,4.5,19961
547,0,114,2019,2150000,6715-373-6,דירה בבית,5,18860
548,0,158,2019,2290000,6715-184-285,דירה בבית,6,14494
549,0,160,2019,2085000,6715-184-256,דירה,6,13031
550,מיכל לייב כץ 74,92,2019,1450000,6715-228-2,דירה בבית,4,15761
551,מיכל לייב כץ 82,91.5,2019,1500000,6715-260-5,דירה בבית,4,16393
552,הנשיאים 65,58.99,2019,1315000,6714-271-2,דירה בבית,3,22292
553,הנשיאים 45,112.2,2019,1900000,6714-483-14,דירה בבית,4,16934
554,0,154,2019,2074000,6715-184-286,דירה בבית,5.5,13468
