city,neighborhood,transaction_id,שם העיר,שם השכונה,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
פתח תקווה,שיכון הפועל המזרחי,4,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 6,103.2,2025,1050000,6399-290-113,דירה בבית,5,10174
פתח תקווה,שיכון הפועל המזרחי,28,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 12,103.2,2021,1880000,6399-290-8,דירה בבית,5,18217
פתח תקווה,שיכון הפועל המזרחי,30,פתח תקווה,שיכון הפועל המזרחי,שמעון ויזנטל 5,108.6,2021,1950000,6399-299-131,דירה בבית,5,17956
פתח תקווה,שיכון הפועל המזרחי,31,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 12,98,2021,1800000,6399-290-26,דירה בבית,4,18367
פתח תקווה,שיכון הפועל המזרחי,33,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 4,98,2021,1820000,6399-290-157,דירה בבית,4,18571
פתח תקווה,שיכון הפועל המזרחי,37,פתח תקווה,שיכון הפועל המזרחי,שמעון ויזנטל 1,96,2021,1740000,6399-299-37,דירה בבית,4,18125
פתח תקווה,שיכון הפועל המזרחי,41,פתח תקווה,שיכון הפועל המזרחי,שמעון ויזנטל 5,96.5,2021,1820000,6399-299-201,דירה בבית,4,18860
פתח תקווה,שיכון הפועל המזרחי,43,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 4,103.2,2021,1712000,6399-290-144,דירה בבית,5,16589
פתח תקווה,שיכון הפועל המזרחי,48,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 6,92.2,2020,1580000,6399-290-114,דירה בבית,4,17137
פתח תקווה,שיכון הפועל המזרחי,49,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 4,98,2020,1700000,6399-290-141,דירה בבית,4,17347
פתח תקווה,שיכון הפועל המזרחי,51,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 12,92.2,2019,1620000,6399-290-27,דירה בבית,4,17570
פתח תקווה,שיכון הפועל המזרחי,52,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 12,121.3,2019,2080000,6399-290-34,דירה בבית,6,17148
פתח תקווה,שיכון הפועל המזרחי,53,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 10,122,2019,2179000,6399-290-65,דירה בבית,6,17861
פתח תקווה,שיכון הפועל המזרחי,54,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 2,98,2019,1700000,6399-290-179,דירה בבית,4,17347
פתח תקווה,שיכון הפועל המזרחי,55,פתח תקווה,שיכון הפועל המזרחי,שמעון ויזנטל 1,108.4,2019,1800000,6399-299-14,דירה,5,16605
פתח תקווה,שיכון הפועל המזרחי,56,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 4,123.5,2018,2060000,6399-290-164,דירה בבית,5.5,16680
פתח תקווה,שיכון הפועל המזרחי,57,פתח תקווה,שיכון הפועל המזרחי,שמעון ויזנטל 1,111.6,2018,2060000,6399-299-1,דירה בבית,4,18459
פתח תקווה,שיכון הפועל המזרחי,60,פתח תקווה,שיכון הפועל המזרחי,שמעון ויזנטל 1,184.4,2018,2130000,6399-299-2,דירה,5,11551
פתח תקווה,שיכון הפועל המזרחי,62,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 6,92.2,2018,1490000,6399-290-122,דירה בבית,4,16161
פתח תקווה,שיכון הפועל המזרחי,63,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 4,98,2018,1730000,6399-290-137,דירה בבית,4.5,17653
פתח תקווה,שיכון הפועל המזרחי,64,פתח תקווה,שיכון הפועל המזרחי,שלומציון המלכה 12,98.2,2018,1600000,6399-290-29,דירה בבית,4.5,16293
פתח תקווה,שיכון הפועל המזרחי,65,פתח תקווה,שיכון הפועל המזרחי,שמעון ויזנטל 1,115.2,2017,2170000,6399-299-64,דירה בבית,5,18837
פתח תקווה,שיכון הפועל המזרחי,66,פתח תקווה,שיכון הפועל המזרחי,שמעון ויזנטל 1,102.8,2017,1956000,6399-299-66,דירה בבית,4,19027
