מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
84,יצחק רבין 10,108.87,2021,3100000,6370-107-44,דירה בבית,4,28474
85,יצחק רבין 10,125.23,2021,3200000,6370-107-77,דירה בבית,5,25553
87,יצחק רבין 25,119.93,2021,3200000,6370-58-3,דירה בבית,5,26682
88,יצחק רבין 10,108.87,2021,2860000,6370-107-27,דירה בבית,4,26270
89,יצחק רבין 22,119.56,2021,3370000,6370-50-145,דירה בבית,5,28187
90,יצחק רבין 18,117,2021,3300000,6370-49-59,דירה בבית,5,28205
91,יצחק רבין 10,125.07,2021,4050000,6370-107-84,דירה בבית,5,32382
92,יצחק רבין 4,92.4,2021,2700000,6370-43-34,דירה בבית,4,29221
93,יצחק רבין 8,85.1,2021,2350000,6370-45-63,דירה בבית,3,27615
94,הדובדבן 12,77.17,2021,2462000,6370-34-48,דירה בבית,3,31904
95,יצחק רבין 13,113.5,2021,3290000,6370-109-42,דירה בבית,4,28987
96,יצחק רבין 28,77.66,2021,2300000,6370-53-30,דירה בבית,3,29616
97,יצחק רבין 22,114.07,2021,3075000,6370-50-82,דירה בבית,5,26957
98,יצחק רבין 35,95.25,2021,2400000,6370-59-10,דירה בבית,4,25197
99,יצחק רבין 4,91.8,2021,2800000,6370-43-38,דירה בבית,4,30501
101,יצחק רבין 10,108.87,2021,2670000,6370-107-20,דירה בבית,4,24525
102,יצחק רבין 5,106.22,2021,2870000,6370-39-10,דירה בבית,5,27019
103,יצחק רבין 13,113.38,2021,3150000,6370-109-7,דירה בבית,5,27783
104,יצחק רבין 5,91.38,2021,2680000,6370-39-11,דירה בבית,4,29328
105,יצחק רבין 28,99.33,2021,2775000,6370-53-59,דירה בבית,4,27937
106,יצחק רבין 22,91.01,2021,2750000,6370-50-106,דירה בבית,4,30216
107,יצחק רבין 22,104.06,2021,2720000,6370-50-200,דירה בבית,4,26139
108,יצחק רבין 22,105.22,2021,2775000,6370-50-129,דירה בבית,4,26373
110,יצחק רבין 17,106,2021,2680000,6370-56-63,דירה בבית,4,25283
111,יצחק רבין 18,120,2021,3230000,6370-49-84,דירה בבית,5,26917
112,יצחק רבין 4,107.3,2021,3190000,6370-43-27,דירה בבית,5,29730
113,יצחק רבין 22,104.95,2021,2900000,6370-50-83,דירה בבית,4,27632
114,יצחק רבין 19,106,2021,2700000,6370-56-40,דירה בבית,4,25472
115,יצחק רבין 27,118.78,2021,2900000,6370-58-28,דירה בבית,5,24415
116,0,113.3,2021,2925000,6370-35-29,דירה בבית,5,25816
117,יצחק רבין 8,135.5,2021,3600000,6370-45-68,דירה בבית,6,26568
118,יצחק רבין 13,94.88,2021,2580000,6370-109-5,דירה בבית,4,27192
120,יצחק רבין 13,113.5,2021,3030000,6370-109-12,דירה בבית,5,26696
122,יצחק רבין 35,107.37,2021,2680000,6370-59-5,דירה בבית,5,24960
123,יצחק רבין 8,129.3,2021,3200000,6370-45-30,דירה בבית,5,24749
125,יצחק רבין 18,100,2021,2500000,6370-49-1,דירה בבית,4,25000
126,יצחק רבין 13,94.72,2021,2550000,6370-109-21,דירה בבית,4,26921
127,יצחק רבין 17,106,2021,2680000,6370-56-60,דירה בבית,4,25283
129,יצחק רבין 5,89.77,2021,2390000,6370-39-27,דירה בבית,4,26624
130,יצחק רבין 13,95.92,2021,2690000,6370-109-47,דירה בבית,4,28044
131,יצחק רבין 22,97.24,2021,2420000,6370-50-98,דירה בבית,4,24887
133,יצחק רבין 22,105.4,2021,2700000,6370-50-67,דירה בבית,4,25617
134,יצחק רבין 37,111.64,2021,3300000,6370-60-27,דירה בבית,5,29559
