מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,לוי אשכול 155,75,2025,2705000,6497-194-223,דירה בבית,3,36067
2,צהל 29,106,2025,3014000,6490-232-15,דירה בבית,4,28434
3,צהל 13,58,2025,2150000,6490-235-7,דירה בבית,3,37069
4,יאיר שטרן 89,122,2025,4250000,6497-379-1,דירה בבית,5,34836
5,לוי אשכול 70,119.1,2025,4625000,6490-391-75,דירה בבית,4,38833
8,לוי אשכול 177,61,2025,2254000,6497-195-9,דירה בבית,2,36951
9,צהל 29,101,2025,3000000,6490-232-12,דירה בבית,4,29703
10,לוי אשכול 143,122,2025,3730000,6497-202-25,דירה בבית,5,30574
11,לוי אשכול 155,110,2025,3266000,6497-194-224,דירה בבית,4,29691
12,לוי אשכול 177,119,2025,3707000,6497-195-10,דירה בבית,5,31151
13,לוי אשכול 155,93,2025,3355000,6497-194-225,דירה בבית,3,36075
14,צהל 87,87.4,2025,2680000,6490-193-18,דירה בבית,4,30664
15,לוי אשכול 125,110,2025,3726000,6497-213-17,דירה בבית,5,33873
16,צהל 5,58,2025,1112000,6490-236-36,דירה בבית,3,19172
18,לוי אשכול 115,91,2025,2500000,6496-399-22,דירה בבית,4,27473
19,צהל 111,101,2025,2850000,6490-754-1,דירה בבית,4,28218
20,לוי אשכול 133,110,2025,3506000,6497-204-25,דירה בבית,4,31873
21,לוי אשכול 177,61,2025,2294000,6497-195-11,דירה בבית,2,37607
22,התאנה 9,77,2025,2720000,6490-285-5,דירה בבית,3,35325
23,צהל 29,102,2025,2900000,6490-232-9,דירה בבית,4,28431
24,לוי אשכול 127,110,2025,3406000,6497-214-6,דירה בבית,5,30964
25,לוי אשכול 155,124,2025,3817000,6497-194-226,דירה בבית,5,30782
26,לוי אשכול 177,103,2025,3296000,6497-195-12,דירה בבית,4,32000
27,לוי אשכול 155,124,2025,3627000,6497-194-227,דירה בבית,5,29250
28,לוי אשכול 155,122,2025,3682000,6497-194-228,דירה בבית,5,30180
29,התאנה 1,130,2025,3290000,6490-286-25,דירה בבית,4,25308
30,לוי אשכול 155,75,2025,2695000,6497-194-229,דירה בבית,3,35933
32,התאנה 9,123,2025,4096000,6490-285-61,דירה בבית,5,33301
33,יאיר שטרן 109,98,2025,3056000,6497-308-25,דירה בבית,4,31184
34,התאנה 9,100,2025,3419000,6490-285-62,דירה בבית,4,34190
35,לוי אשכול 177,61,2025,2264000,6497-195-13,דירה בבית,2,37115
36,הזית 2,75,2025,2731000,6490-296-17,דירה בבית,4,36413
37,לוי אשכול 177,119,2025,3562000,6497-195-14,דירה בבית,5,29933
38,יאיר שטרן 100,91.6,2025,1150000,6497-260-38,דירה בבית,4,12555
39,התאנה 9,123,2025,3973000,6490-285-63,דירה בבית,5,32301
40,התאנה 9,100,2025,3318000,6490-285-65,דירה בבית,4,33180
41,צהל 7,58,2025,2210000,6490-236-8,דירה בבית,3,38103
42,צהל 29,106,2025,3151000,6490-232-11,דירה בבית,4,29726
