מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
84,עפרוני 14,83.23,2019,870000,10422-83-2,דירה בבית,4,10453
85,דרור 14,73,2019,805000,10422-114-15,דירה בבית,4,11027
86,סנונית 2,73,2019,735000,10422-70-5,דירה בבית,3,10068
87,עפרוני 6,65,2019,615000,10422-85-15,דירה בבית,3,9462
88,עפרוני 18,65,2019,615000,10422-82-24,דירה בבית,3,9462
89,התל 5,44,2019,555000,10422-78-17,דירה בבית,2,12614
90,עפרוני 4,65.37,2019,730000,10422-86-2,דירה בבית,3,11167
93,נחליאלי 3,60,2019,620000,10422-65-8,דירה בבית,3,10333
94,סנונית 1,44,2019,500000,10422-69-3,דירה בבית,2,11364
95,נחליאלי 3,60,2019,680000,10422-65-13,דירה בבית,3,11333
96,עפרוני 8,65,2019,700000,10422-85-6,דירה בבית,3,10769
