מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
125,הבנים 1,74.57,2019,1000000,10431-324-6,דירה בבית,3,13410
126,פטל 17,104.84,2019,1325000,10431-336-2,דירה בבית,4,12638
127,הבנים 1,114,2019,1410000,10431-324-69,דירה בבית,5,12368
128,הבנים 1,110.3,2019,1380000,10431-324-116,דירה בבית,5,12511
129,0,210,2019,2375000,10431-272-1,קוטג' חד משפחתי,5,11310
130,הפקאן 4,98.21,2019,735000,10431-337-84,דירה בבית,4,7484
132,פטל 17,103.09,2019,1390000,10431-336-36,דירה בבית,4,13483
133,פטל 12,274,2019,2050000,10431-249-1,דירה בבית,6,7482
134,הבנים 1,96.27,2019,1230000,10431-324-15,דירה בבית,4,12777
135,המייסדים 4,167,2019,2500000,10431-117-1,דירה בבית,6,14970
136,תות 33,198,2019,2290000,10431-261-2,דירה בבית,6,11566
138,לחי 4,126.87,2019,1385000,10431-135-8,דירה בבית,5,10917
139,הפקאן 6,93.27,2019,688000,10431-337-125,דירה בבית,4,7376
140,הבנים 1,116.44,2019,1475000,10431-324-42,דירה בבית,4,12667
141,פטל 17,102.84,2019,1430000,10431-336-24,דירה בבית,4,13905
142,אגוז 12,136.4,2019,2275000,10431-197-2,דירה בבית,6,16679
143,פטל 25,202,2019,2580000,10431-257-2,דירה בבית,6,12772
144,הבנים 1,110.3,2019,1015000,10431-324-79,דירה בבית,5,9202
145,הבנים 1,90.27,2019,1210000,10431-324-194,דירה בבית,4,13404
146,השומר 16,115.16,2019,1315000,10431-114-5,דירה בבית,4,11419
147,השומר 16,124.04,2019,1225000,10431-114-9,דירה בבית,5,9876
148,לחי 21,167,2019,2420000,10431-172-1,דירה בבית,5,14491
149,הבנים 1,112.3,2019,1425000,10431-324-156,דירה בבית,5,12689
