מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
834,חביבה רייך 25,200,2018,1750000,10445-72-4,דירה בבית,5,8750
835,אחד העם 4,60.1,2018,600000,10457-30-1,דירה בבית,3,9983
836,גיורא יוספטל 23,61.9,2018,545000,10446-68-6,דירה בבית,3,8805
837,חיים 32,98.5,2018,1195000,10445-215-20,דירה בבית,4,12132
838,לוחמי הגטאות 11,62.45,2018,375000,10446-46-28,דירה בבית,4,6005
839,גוש חלב 31,133.8,2018,1200000,10445-14-3,דירה בבית,5,8969
840,גיורא יוספטל 17,61.9,2018,540000,10446-71-13,דירה בבית,3,8724
841,לוחמי הגטאות 10,88.97,2018,910000,10446-103-31,דירה בבית,4,10228
842,חביבה רייך 25,160,2018,1700000,10445-72-3,דירה בבית,5,10625
843,אחד העם 7,60,2018,590000,10457-42-2,דירה בבית,3,9833
844,0,92,2018,950000,10446-106-2,דירה בבית,4,10326
845,הרב מימון 1,61.9,2018,615000,10446-73-2,דירה בבית,3,9935
846,ברנר 5,68,2018,940000,10457-63-61,דירה בבית,3,13824
847,גיורא יוספטל 29,59.9,2018,500000,10457-5-5,דירה בבית,3,8347
848,0,83,2018,905000,10446-105-2,דירה בבית,4,10904
850,גיורא יוספטל 19,78.6,2018,720000,10446-70-12,דירה בבית,4,9160
851,חן 8,74,2018,650000,10457-16-8,דירה בבית,4,8784
852,גוש חלב 29,106.74,2018,1200000,10445-15-1,דירה בבית,5,11242
853,0,84,2018,867000,10446-105-3,דירה בבית,4,10321
854,הפרטיזנים 9,38.45,2018,515000,10446-13-19,דירה בבית,2,13394
855,גיורא יוספטל 6,120,2018,975000,10446-28-5,דירה בבית,5,8125
856,הפרטיזנים 9,37,2018,275000,10446-13-12,דירה בבית,2,7432
857,חיים 85,79.48,2018,1080000,10445-266-4,דירה בבית,4,13588
858,שלום עליכם 6,60.1,2018,640000,10457-9-20,דירה בבית,3,10649
859,גיורא יוספטל 12,45.4,2018,346000,10446-75-13,דירה בבית,2,7621
860,יל פרץ 1,48.9,2018,480000,10457-53-5,דירה בבית,2.5,9816
861,חיים 26,89,2018,1110000,10445-216-6,דירה בבית,4,12472
862,יהודה בורלא 8,60.1,2018,545000,10457-25-17,דירה בבית,3,9068
863,שי עגנון 18,48.9,2018,535000,10457-56-9,דירה בבית,3,10941
864,יהודה בורלא 7,34.4,2018,430000,10457-31-10,דירה בבית,2,12500
865,הרב מימון 1,61.9,2018,630000,10446-73-26,דירה בבית,3,10178
866,אחד העם 6,60.1,2018,599000,10457-32-5,דירה בבית,3,9967
867,0,72,2018,850000,10445-235-4,דירה בבית,3,11806
868,גיורא יוספטל 25,55,2018,560000,10457-3-3,דירה בבית,3,10182
869,שי עגנון 7,48.9,2018,490000,10457-60-11,דירה בבית,3,10020
870,יל פרץ 8,68.1,2018,660000,10457-46-10,דירה בבית,3,9692
871,שי עגנון 11,48.9,2018,495000,10457-58-5,דירה בבית,3,10123
872,שי עגנון 4,60.1,2018,550000,10457-39-12,דירה בבית,3,9151
873,ז'בוטינסקי 14,48.6,2018,447000,10446-66-12,דירה בבית,3,9198
874,חביבה רייך 25,160,2018,1650000,10445-72-2,קוטג' דו משפחתי,5,10313
876,הפרטיזנים 8,53.9,2018,510000,10446-14-10,דירה בבית,3,9462
877,חיים 87,68.84,2018,740000,10445-265-10,דירה בבית,3,10750
878,גיורא יוספטל 21,61.9,2018,535000,10446-69-10,דירה בבית,3,8643
880,הפרטיזנים 8,53.9,2018,569000,10446-14-7,דירה בבית,3,10557
881,אחד העם 8,60.1,2018,660000,10457-36-9,דירה בבית,3,10982
882,לוחמי הגטאות 1,44.8,2018,350000,10446-9-15,דירה בבית,2.5,7813
883,חביבה רייך 4,123,2018,1470000,10445-150-4,דירה בבית,5,11951
884,בובר 6,71.4,2018,720000,10457-47-19,דירה בבית,4,10084
885,חיים 50,84.92,2018,1040000,10446-111-27,דירה בבית,5,12247
886,שי עגנון 14,48.9,2018,609000,10457-55-22,דירה בבית,3,12454
887,חיים 34,89,2018,1050000,10445-214-6,דירה בבית,3,11798
889,הפרטיזנים 13,55.3,2018,540000,10446-11-12,דירה בבית,3,9765
890,שי עגנון 16,48.9,2018,480000,10457-54-11,דירה בבית,3,9816
892,שלום עליכם 6,60.1,2018,670000,10457-9-2,דירה בבית,3,11148
893,הרב מימון 5,61.9,2018,540000,10446-74-18,דירה בבית,3,8724
894,לוחמי הגטאות 8,74.6,2018,800000,10446-104-63,דירה בבית,3,10724
895,גיורא יוספטל 19,78.6,2018,557000,10446-70-16,דירה בבית,3.5,7087
896,בובר 6,69.9,2018,800000,10457-47-5,דירה בבית,4,11445
897,הרב מימון 5,61.9,2018,600000,10446-74-19,דירה בבית,3,9693
898,לוחמי הגטאות 6,93.4,2018,1030000,10446-104-8,דירה בבית,4,11028
899,חיים 50,75.84,2018,960000,10446-111-15,דירה בבית,4,12658
901,חיים 20,89,2018,905000,10445-218-18,דירה בבית,3,10169
904,ברנר 2,71,2018,645000,10457-98-3,דירה בבית,4,9085
905,גיורא יוספטל 10,45.4,2018,420000,10446-76-11,דירה בבית,2,9251
906,יהודה בורלא 3,60.1,2018,630000,10457-28-8,דירה בבית,3,10483
907,גיורא יוספטל 12,45.4,2018,430000,10446-75-7,דירה בבית,2,9471
908,הרב מימון 1,61.9,2018,520000,10446-73-11,דירה בבית,3,8401
909,חיים 50,96.38,2018,1120000,10446-111-35,דירה בבית,5,11621
910,סיגליות 3,102.6,2018,1150000,10445-117-3,דירה בבית,4,11209
911,יל פרץ 6,68.1,2018,645000,10457-45-15,דירה בבית,3,9471
914,ברנר 5,102,2018,1055000,10457-63-43,דירה בבית,4,10343
915,שלום עליכם 7,60.1,2018,550000,10457-19-15,דירה בבית,3,9151
916,0,88,2018,905000,10445-235-5,דירה בבית,4,10284
918,גיורא יוספטל 15,76.7,2018,695000,10446-72-6,דירה בבית,4,9061
920,ז'בוטינסקי 1,62.1,2018,630000,10446-78-19,דירה בבית,3,10145
921,0,94,2018,870000,10446-105-4,דירה בבית,4,9255
922,לוחמי הגטאות 12,83.58,2018,910000,10446-103-39,דירה בבית,3.5,10888
923,0,72,2018,875000,10445-235-6,דירה בבית,3,12153
924,הפרטיזנים 1,42.5,2018,304000,10446-56-27,דירה בבית,2,7153
925,גיורא יוספטל 25,43.2,2018,490000,10457-3-7,דירה בבית,2,11343
927,גיורא יוספטל 13,92.81,2018,1060000,10446-27-6,דירה בבית,4,11421
