מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
174,משה ברזני 27,102.1,2019,1300000,2866-112-12,דירה בבית,4,12733
175,מאיר פיינשטיין 28,172,2019,2300000,2866-63-1,קוטג' דו משפחתי,5,13372
176,0,116,2019,1370000,2866-84-2,דירה בבית,5,11810
178,יהודה קן-דרור 5,93.3,2019,1295000,2866-114-35,דירה בבית,4,13880
179,0,104,2019,1325000,2866-109-2,דירה בבית,4,12740
181,משה ברזני 23,102.4,2019,1200000,2866-111-46,דירה בבית,4,11719
182,משה ברזני 23,102.3,2019,1250000,2866-111-29,דירה בבית,4,12219
183,0,131,2019,1400000,2866-101-1,דירה בבית,5,10687
184,משה ברזני 23,102.3,2019,1185000,2866-111-49,דירה בבית,4,11584
185,0,128,2019,1540000,2866-109-3,דירה בבית,5,12031
186,משה ברזני 26,125.34,2019,1750000,2866-106-4,קוטג' דו משפחתי,5,13962
187,יהודה קן-דרור 5,93.3,2019,1260000,2866-114-21,דירה בבית,4,13505
188,0,123,2019,1220000,2866-110-4,דירה בבית,4,9919
189,שלמה אפשטיין 1,106.7,2019,1340000,2866-108-13,דירה בבית,4,12559
190,0,126,2019,1490000,1563-37-23,דירה בבית,5,11825
191,אלי כהן 5,96.2,2019,1300000,2866-115-36,דירה בבית,4,13514
194,שלמה אפשטיין 5,102.93,2019,1300000,2866-161-18,דירה בבית,4,12630
195,משה ברזני 23,102.1,2019,1249000,2866-111-20,דירה בבית,4,12233
196,0,118,2019,1550000,2866-102-1,דירה בבית,5,13136
197,0,118,2019,1550000,1563-24-8,דירה,5,13136
198,שלמה אפשטיין 1,107.3,2019,1280000,2866-108-20,דירה בבית,4,11929
199,שלמה אפשטיין 1,107.3,2019,1260000,2866-108-40,דירה בבית,4,11743
201,0,88,2019,1200000,1563-35-110,דירה בבית,4,13636
202,איתן נאוה 21,157,2019,2000000,2866-7-1,קוטג' חד משפחתי,5,12739
203,שלמה אפשטיין 9,102.93,2019,1255000,2866-164-46,דירה בבית,4,12193
204,שלמה אפשטיין 9,98.45,2019,1200000,2866-164-5,דירה בבית,4,12189
