מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
176,הזית 46,220,2017,368000,1913-98-5,קוטג' דו משפחתי,8,1673
178,התמרים 10,132,2017,820000,1913-56-18,דירה בבית,5,6212
179,העצמאות 164,47,2017,1000000,3023-58-1,דירה בבית,2,21277
180,ההדרים 23,97.2,2017,1450000,1913-25-2,דירה בבית,4,14918
181,התמרים 11,36.3,2017,400000,1913-44-2,דירה בבית,2,11019
182,התמרים 6,49.6,2017,640000,1913-58-22,דירה בבית,3,12903
183,התמרים 13,61,2017,640000,1913-45-23,דירה בבית,4,10492
184,הזית 43,80.8,2017,775000,1913-100-61,דירה בבית,3,9592
185,התמרים 13,86,2017,700000,1913-45-15,דירה בבית,4,8140
186,התמרים 7,53.9,2017,600000,1913-48-21,דירה בבית,3,11132
187,הזית 41,103.6,2017,839000,1913-66-9,דירה בבית,4,8098
188,התמרים 4,49.6,2017,160000,1913-61-5,דירה בבית,3,3226
189,התמרים 4,49.6,2017,650000,1913-61-21,דירה בבית,3,13105
190,הגפן 6,80.8,2017,780000,1913-100-26,דירה בבית,4,9653
