city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
קרית מוצקין,נווה גנים,243,מנחם בגין 36,124,2022,2077000,10421-372-111,דירה בבית,5,16750
קרית מוצקין,נווה גנים,244,מנחם בגין 36,105,2022,1840000,10421-372-112,דירה בבית,4,17524
קרית מוצקין,נווה גנים,245,מנחם בגין 36,124,2022,2090000,10421-372-114,דירה בבית,5,16855
קרית מוצקין,נווה גנים,246,מנחם בגין 36,105,2022,1848000,10421-372-115,דירה בבית,4,17600
קרית מוצקין,נווה גנים,247,מנחם בגין 36,124,2022,2049000,10421-372-117,דירה בבית,5,16524
קרית מוצקין,נווה גנים,248,מנחם בגין 8,67.8,2022,950000,10423-36-6,דירה בבית,3,14012
קרית מוצקין,נווה גנים,249,הערבה 4,98,2022,1640000,10421-365-13,דירה בבית,4,16735
קרית מוצקין,נווה גנים,250,מנחם בגין 14,81.6,2022,1415000,10421-42-7,דירה בבית,4,17341
קרית מוצקין,נווה גנים,251,מנחם בגין 36,105,2022,1735000,10421-372-119,דירה בבית,4,16524
קרית מוצקין,נווה גנים,252,ירמיהו הלפרן 10,130.95,2022,2250000,10421-338-32,דירה בבית,5,17182
קרית מוצקין,נווה גנים,253,מנחם בגין 2,67.44,2022,1100000,10423-38-5,דירה בבית,3,16311
קרית מוצקין,נווה גנים,254,מנחם בגין 36,124,2022,2080000,10421-372-120,דירה בבית,5,16774
קרית מוצקין,נווה גנים,255,מנחם בגין 36,105,2022,1785000,10421-372-121,דירה בבית,4,17000
קרית מוצקין,נווה גנים,256,מנחם בגין 36,81,2022,1480000,10421-372-122,דירה בבית,3,18272
קרית מוצקין,נווה גנים,257,מנחם בגין 36,124,2022,2070000,10421-372-123,דירה בבית,5,16694
קרית מוצקין,נווה גנים,259,מנחם בגין 31,127.05,2022,2350000,10421-69-19,דירה בבית,5,18497
קרית מוצקין,נווה גנים,260,מנחם בגין 36,124,2022,2062000,10421-372-124,דירה בבית,5,16629
קרית מוצקין,נווה גנים,261,מנחם בגין 36,81,2022,1558000,10421-372-125,דירה בבית,3,19235
קרית מוצקין,נווה גנים,262,מנחם בגין 36,81,2022,1489000,10421-372-126,דירה בבית,3,18383
קרית מוצקין,נווה גנים,263,מנחם בגין 36,195,2022,4000000,10421-372-127,דירה בבית,6,20513
קרית מוצקין,נווה גנים,264,בן צבי 12,99.14,2022,1590000,10423-190-37,דירה בבית,4,16038
קרית מוצקין,נווה גנים,265,יוסף אלמוג 7,74.87,2022,1385000,10423-30-14,דירה בבית,4,18499
קרית מוצקין,נווה גנים,267,מנחם בגין 36,124,2022,2070000,10421-372-128,דירה בבית,5,16694
קרית מוצקין,נווה גנים,268,מנחם בגין 32,81,2022,1600000,10421-104-11,דירה בבית,4,19753
קרית מוצקין,נווה גנים,269,זבולון המר 2,99.7,2022,1495000,10423-180-12,דירה בבית,4,14995
קרית מוצקין,נווה גנים,270,ירמיהו הלפרן 8,124.28,2022,2300000,10421-354-37,דירה בבית,5,18507
קרית מוצקין,נווה גנים,271,מנחם בגין 36,81,2022,1510000,10421-372-129,דירה בבית,3,18642
קרית מוצקין,נווה גנים,272,מנחם בגין 36,124,2022,2085000,10421-372-130,דירה בבית,5,16815
קרית מוצקין,נווה גנים,273,הברוש 4,126.8,2022,1875000,10421-261-7,דירה בבית,5,14787
קרית מוצקין,נווה גנים,274,מנחם בגין 36,124,2022,2022000,10421-372-131,דירה בבית,5,16306
קרית מוצקין,נווה גנים,275,מנחם בגין 36,81,2022,1450000,10421-372-132,דירה בבית,3,17901
קרית מוצקין,נווה גנים,276,מנחם בגין 32,80.9,2022,1530000,10421-104-7,דירה בבית,4,18912
קרית מוצקין,נווה גנים,277,מנחם בגין 31,127.27,2022,2550000,10421-69-20,דירה בבית,5,20036
קרית מוצקין,נווה גנים,278,מנחם בגין 36,124,2022,2440000,10421-372-133,דירה בבית,5,19677
קרית מוצקין,נווה גנים,279,מנחם בגין 36,105,2022,1775000,10421-372-135,דירה בבית,4,16905
קרית מוצקין,נווה גנים,280,מנחם בגין 36,105,2022,1708000,10421-372-136,דירה בבית,4,16267
קרית מוצקין,נווה גנים,281,יוסף אלמוג 7,74.89,2022,1360000,10423-30-26,דירה בבית,4,18160
קרית מוצקין,נווה גנים,282,מנחם בגין 36,81,2022,1520000,10421-372-137,דירה בבית,3,18765
קרית מוצקין,נווה גנים,283,מוטה גור 8,118.77,2022,1830000,10421-61-24,דירה בבית,5,15408
קרית מוצקין,נווה גנים,287,מנחם בגין 36,105,2022,1810000,10421-372-139,דירה בבית,4,17238
קרית מוצקין,נווה גנים,288,בן צבי 10,82.79,2022,1500000,10423-179-59,דירה בבית,4,18118
קרית מוצקין,נווה גנים,289,מנחם בגין 36,81,2022,1490000,10421-372-140,דירה בבית,3,18395
קרית מוצקין,נווה גנים,292,הברוש 8,110.37,2022,1870000,10421-263-34,דירה בבית,4,16943
קרית מוצקין,נווה גנים,293,מנחם בגין 18,122.45,2022,1535000,10421-44-18,דירה בבית,5,12536
קרית מוצקין,נווה גנים,294,מנחם בגין 36,105,2022,1720000,10421-372-141,דירה בבית,4,16381
קרית מוצקין,נווה גנים,295,מנחם בגין 2,67.79,2022,1040000,10423-38-7,דירת גן,3,15341
קרית מוצקין,נווה גנים,296,מנחם בגין 36,105,2022,1740000,10421-372-142,דירה בבית,4,16571
קרית מוצקין,נווה גנים,297,בן צבי 14,118.4,2022,1740000,10423-189-44,דירה בבית,4.5,14696
קרית מוצקין,נווה גנים,298,מנחם בגין 36,81,2022,1485000,10421-372-143,דירה בבית,3,18333
קרית מוצקין,נווה גנים,299,מנחם בגין 29,92.85,2022,1650000,10421-68-36,דירה בבית,4,17771
קרית מוצקין,נווה גנים,300,מוטה גור 2,98.66,2022,1520000,10421-60-34,דירה בבית,4,15406
קרית מוצקין,נווה גנים,301,מנחם בגין 36,81,2022,1500000,10421-372-145,דירה בבית,3,18519
קרית מוצקין,נווה גנים,302,מנחם בגין 36,124,2022,1915000,10421-372-146,דירה בבית,5,15444
קרית מוצקין,נווה גנים,304,מנחם בגין 8,67.45,2022,1010000,10423-36-7,דירה בבית,3,14974
קרית מוצקין,נווה גנים,305,בן צבי 8,83.1,2022,1340000,10423-178-32,דירה בבית,3,16125
קרית מוצקין,נווה גנים,306,יוסף אלמוג 7,74.93,2022,1350000,10423-30-12,דירה בבית,4,18017
קרית מוצקין,נווה גנים,307,מנחם בגין 36,81,2022,1450000,10421-372-147,דירה בבית,3,17901
קרית מוצקין,נווה גנים,308,נחמיה תמרי 6,91.8,2022,1500000,10421-49-5,דירה בבית,4,16340
קרית מוצקין,נווה גנים,309,מנחם בגין 36,105,2022,1700000,10421-372-148,דירה בבית,4,16190
קרית מוצקין,נווה גנים,311,ירמיהו הלפרן 6,134.9,2022,2165000,10421-356-36,דירה בבית,5,16049
קרית מוצקין,נווה גנים,313,מנחם בגין 36,124,2022,1982000,10421-372-149,דירה בבית,5,15984
קרית מוצקין,נווה גנים,314,מוטה גור 2,98.49,2022,1465000,10421-60-18,דירה בבית,4,14875
קרית מוצקין,נווה גנים,315,מנחם בגין 36,124,2022,1945000,10421-372-150,דירה בבית,5,15685
קרית מוצקין,נווה גנים,316,מנחם בגין 29,104.85,2022,1540000,10421-68-31,דירה בבית,4,14688
קרית מוצקין,נווה גנים,318,מנחם בגין 36,124,2022,1955000,10421-372-151,דירה בבית,5,15766
קרית מוצקין,נווה גנים,320,מנחם בגין 36,124,2022,1990000,10421-372-152,דירה בבית,5,16048
קרית מוצקין,נווה גנים,321,בן צבי 10,72.53,2022,1220000,10423-179-55,דירה בבית,3,16821
קרית מוצקין,נווה גנים,323,מנחם בגין 36,124,2022,1950000,10421-372-153,דירה בבית,5,15726
קרית מוצקין,נווה גנים,325,הברוש 6,110.37,2022,1650000,10421-262-38,דירה בבית,4,14950
קרית מוצקין,נווה גנים,326,מנחם בגין 36,124,2022,1980000,10421-372-8,דירה בבית,5,15968
קרית מוצקין,נווה גנים,327,הערבה 2,111.8,2022,1550000,10421-366-36,דירה בבית,4,13864
קרית מוצקין,נווה גנים,328,בן צבי 8,80.8,2022,1350000,10423-178-30,דירה בבית,3,16708
קרית מוצקין,נווה גנים,329,מנחם בגין 36,105,2022,1790000,10421-372-7,דירה בבית,4,17048
קרית מוצקין,נווה גנים,330,מנחם בגין 36,105,2022,1720000,10421-372-6,דירה בבית,4,16381
קרית מוצקין,נווה גנים,331,מנחם בגין 36,195,2022,3805000,10421-372-5,דירה בבית,6,19513
קרית מוצקין,נווה גנים,332,מנחם בגין 39,124.41,2022,2250000,10421-254-30,דירה בבית,4,18085
קרית מוצקין,נווה גנים,333,מנחם בגין 35,111.18,2022,1570000,10421-256-22,דירה בבית,4,14121
קרית מוצקין,נווה גנים,334,מנחם בגין 36,105,2022,1730000,10421-372-3,דירה בבית,4,16476
קרית מוצקין,נווה גנים,335,מנחם בגין 36,105,2022,1740000,10421-372-4,דירה בבית,4,16571
קרית מוצקין,נווה גנים,337,בן צבי 12,77.2,2022,1280000,10423-190-34,דירה בבית,4,16580
קרית מוצקין,נווה גנים,338,מוטה גור 10,127.27,2022,2000000,10421-62-20,דירה בבית,5,15715
קרית מוצקין,נווה גנים,342,ירמיהו הלפרן 4,100.63,2022,1745000,10421-342-3,דירה בבית,4,17341
קרית מוצקין,נווה גנים,343,זבולון המר 2,121.5,2022,1703000,10423-180-17,דירה בבית,5,14016
קרית מוצקין,נווה גנים,344,יוסף אלמוג 8,71.7,2022,980000,10423-29-11,דירה בבית,4,13668
קרית מוצקין,נווה גנים,345,נחמיה תמרי 8,90.6,2022,1320000,10421-50-5,דירה בבית,4,14570
קרית מוצקין,נווה גנים,347,ירמיהו הלפרן 8,124.43,2022,2090000,10421-354-26,דירה בבית,5,16797
קרית מוצקין,נווה גנים,348,תדהר 1,109.49,2022,1560000,10421-107-10,דירה בבית,4,14248
קרית מוצקין,נווה גנים,349,מנחם בגין 36,124,2022,1980000,10421-372-2,דירה בבית,5,15968
קרית מוצקין,נווה גנים,350,זבולון המר 2,95.4,2022,1490000,10423-180-5,דירה בבית,3,15618
קרית מוצקין,נווה גנים,351,מנחם בגין 35,111.1,2022,1585000,10421-256-38,דירה בבית,4,14266
קרית מוצקין,נווה גנים,352,יוסף אלמוג 2,71.48,2022,1080000,10423-26-10,דירה בבית,3,15109
קרית מוצקין,נווה גנים,353,מנחם 1,102.7,2022,1425000,10423-165-9,דירה בבית,5,13875
קרית מוצקין,נווה גנים,354,תדהר 3,149,2022,2080000,10421-108-3,דירה בבית,6,13960
קרית מוצקין,נווה גנים,355,מנחם בגין 34,129.98,2022,1760000,10421-111-8,דירה בבית,5,13541
קרית מוצקין,נווה גנים,356,מנחם בגין 34,109.49,2022,1500000,10421-111-10,דירה בבית,4,13700
קרית מוצקין,נווה גנים,357,מנחם בגין 36,124,2022,1900000,10421-372-1,דירה בבית,5,15323
קרית מוצקין,נווה גנים,358,מנחם בגין 32,90.6,2022,1490000,10421-104-23,דירה בבית,4,16446
קרית מוצקין,נווה גנים,359,תדהר 1,109.49,2022,1530000,10421-107-6,דירה בבית,4,13974
קרית מוצקין,נווה גנים,361,נחמיה תמרי 18,114.5,2022,1620000,10421-57-9,דירה בבית,5,14148
קרית מוצקין,נווה גנים,362,מנחם בגין 12,88.52,2022,1500000,10423-31-16,דירה בבית,5,16945
קרית מוצקין,נווה גנים,363,מוטה גור 10,145.34,2022,1730000,10421-62-4,דירת גן,6,11903
קרית מוצקין,נווה גנים,365,בגין מנחם 27,104.9,2022,1310000,10421-67-16,דירה בבית,5,12488
קרית מוצקין,נווה גנים,366,מנחם בגין 36,123.05,2022,1765000,10421-111-52,דירה בבית,5,14344
קרית מוצקין,נווה גנים,368,מנחם בגין 18,100.1,2022,1400000,10421-44-25,דירה בבית,4,13986
קרית מוצקין,נווה גנים,369,זבולון המר 1,99.5,2022,1455000,10423-181-16,דירה בבית,4,14623
קרית מוצקין,נווה גנים,371,נחמיה תמרי 3,114.26,2022,1510000,10421-52-16,דירה בבית,5,13215
קרית מוצקין,נווה גנים,373,הברוש 15,163,2022,2410000,10421-273-71,דירה בבית,6,14785
קרית מוצקין,נווה גנים,374,בן צבי 12,77.2,2022,1165000,10423-190-59,דירה בבית,4,15091
קרית מוצקין,נווה גנים,375,מנחם בגין 32,80.9,2022,1325000,10421-104-15,דירה בבית,4,16378
קרית מוצקין,נווה גנים,376,מנחם בגין 29,121,2022,1710000,10421-68-5,דירה בבית,5,14132
