city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
קרית מלאכי,גני שמואל,46,בן גוריון 3,106.4,2023,1265000,2407-28-6,דירה בבית,4,11889
קרית מלאכי,גני שמואל,47,השושנים 11,62.52,2023,1400000,2422-87-22,דירה בבית,3,22393
קרית מלאכי,גני שמואל,48,הוורדים 5,113.02,2023,1320000,2422-47-14,דירה בבית,5,11679
קרית מלאכי,גני שמואל,49,משה שרת 4,87.3,2023,1100000,2407-43-5,דירה בבית,4,12600
קרית מלאכי,גני שמואל,50,הוורדים 5,84.68,2023,1400000,2422-47-6,דירה בבית,4,16533
קרית מלאכי,גני שמואל,51,השושנים 5,67.31,2023,1300000,2422-94-8,דירת גן,3,19314
קרית מלאכי,גני שמואל,52,משה שרת 7,58.1,2023,1015000,2407-36-16,דירה בבית,3,17470
קרית מלאכי,גני שמואל,53,השושנים 7,81.4,2023,1220000,2422-93-2,דירה בבית,4,14988
קרית מלאכי,גני שמואל,55,השושנים 14,63.2,2023,1270000,2422-70-50,דירה בבית,3,20095
קרית מלאכי,גני שמואל,56,הורדים 21,76,2023,1300000,2422-71-15,דירה בבית,4,17105
קרית מלאכי,גני שמואל,57,משה שרת 2,83.5,2023,1200000,2407-42-6,דירה בבית,4,14371
קרית מלאכי,גני שמואל,58,הוורדים 6,88.55,2023,1450000,2422-52-9,דירה בבית,4,16375
קרית מלאכי,גני שמואל,59,משה שרת 7,88.5,2023,1420000,2407-36-26,דירה בבית,4,16045
קרית מלאכי,גני שמואל,60,הוורדים 10,87.7,2023,1340000,2422-54-38,דירה בבית,4,15279
קרית מלאכי,גני שמואל,61,משה שרת 2,45.5,2023,820000,2407-42-7,דירה בבית,3,18022
קרית מלאכי,גני שמואל,62,השושנים 7,68.4,2023,1050000,2422-93-7,דירה בבית,3,15351
קרית מלאכי,גני שמואל,64,השושנים 5,80.8,2023,1200000,2422-94-5,דירה בבית,4,14851
קרית מלאכי,גני שמואל,65,הורדים 5,65.1,2023,1040000,2422-47-27,דירה בבית,3,15975
קרית מלאכי,גני שמואל,66,משה שרת 4,44.8,2023,900000,2407-43-16,דירה בבית,3,20089
קרית מלאכי,גני שמואל,67,משה שרת 2,44.8,2023,820000,2407-42-16,דירה בבית,3,18304
קרית מלאכי,גני שמואל,69,הוורדים 17,119.2,2023,1800000,2422-44-3,קוטג' דו משפחתי,5,15101
קרית מלאכי,גני שמואל,70,משה שרת 13,80.3,2023,1000000,2407-40-2,דירה בבית,4,12453
