city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
קרית מלאכי,המייסדים,94,אילת 25,180,2015,1625000,2472-67-1,קוטג' חד משפחתי,6,9028
קרית מלאכי,המייסדים,95,אילת 13,184.2,2015,1400000,2472-50-1,דירה בבית,5,7600
קרית מלאכי,המייסדים,96,גולן 49,175,2015,1400000,2470-58-1,קוטג' דו משפחתי,6,8000
קרית מלאכי,המייסדים,97,הכרמל 1,48,2015,830000,2469-37-1,קוטג' חד משפחתי,2,17292
קרית מלאכי,המייסדים,98,הגליל 11,179,2015,999000,2471-53-3,קוטג' דו משפחתי,1,5581
קרית מלאכי,המייסדים,99,השפלה 30,170,2015,1240000,2471-45-1,דירה בבית,6,7294
קרית מלאכי,המייסדים,100,שבזי 3,148.4,2015,1360000,2471-114-1,דירה בבית,5,9164
קרית מלאכי,המייסדים,101,השפלה 30,170,2015,1100000,2471-45-2,דירה בבית,5,6471
קרית מלאכי,המייסדים,102,רמבם 24,87,2015,999000,2470-82-1,קוטג' דו משפחתי,4,11483
קרית מלאכי,המייסדים,103,הגליל 11,353,2015,1000000,2471-53-2,קוטג' חד משפחתי,6,2833
קרית מלאכי,המייסדים,104,רשי 33,237,2015,1450000,2471-75-2,קוטג' דו משפחתי,4.5,6118
