מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
23,הרצל 17,189,2023,3220000,4272-224-2,דירה בבית,6,17037
25,שבזי 47,153,2023,2790000,4272-81-28,דירת,5,18235
26,דוד המלך 45,89.5,2023,616000,4274-298-19,דירה בבית,5,6883
27,הטייס 34,146.23,2023,3425000,4274-137-7,דירה בבית,6,23422
28,דוד המלך 13,52,2023,1440000,4274-212-9,דירה בבית,3,27692
29,דוד המלך 22,130,2023,1500000,4274-141-2,קוטג' דו משפחתי,4,11538
30,ג'ון קנדי 24,70.3,2023,1950000,4272-191-2,דירה בבית,4,27738
31,דוד המלך 2,192,2023,85000,4274-146-1,דירה בבית,6,443
32,שבזי 49,97,2023,1295000,4272-81-34,דירה בבית,3,13351
33,דוד המלך 11,23.8,2023,626000,4274-231-2,דירה בבית,2,26303
35,הנביאים 26,84,2023,1850000,4274-115-2,קוטג' חד משפחתי,3,22024
36,דוד המלך 1,55.6,2023,323000,4274-207-16,דירה בבית,3,5809
