city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ראשון לציון,נווה הדרים,285,הקוקייה 46,122.9,2015,1750000,6287-221-35,קוטג' חד משפחתי,5,14239
ראשון לציון,נווה הדרים,286,הקוקייה 25,98,2015,2000000,6287-311-15,דירה בבית,4,20408
ראשון לציון,נווה הדרים,287,הקוקייה 34,145.5,2015,2700000,6287-218-67,דירה בבית,5,18557
ראשון לציון,נווה הדרים,288,מזיא 6,200.41,2015,3070000,6287-73-1,קוטג' דו משפחתי,7,15319
ראשון לציון,נווה הדרים,289,הקוקייה 25,100,2015,2050000,6287-311-14,דירה בבית,4,20500
ראשון לציון,נווה הדרים,290,הנחליאלי 10,248,2015,3400000,6287-256-1,קוטג' חד משפחתי,6,13710
ראשון לציון,נווה הדרים,291,החוחית 1,81.1,2015,1485000,6287-153-31,דירה בבית,4,18311
ראשון לציון,נווה הדרים,292,הרצל גרינשפן 13,105,2015,1840000,6287-287-19,דירה בבית,4,17524
ראשון לציון,נווה הדרים,293,הקוקייה 42,119.9,2015,1940000,6287-220-63,דירה בבית,5,16180
ראשון לציון,נווה הדרים,294,ברנשטיין 18,172.71,2015,3405000,6287-27-1,קוטג' דו משפחתי,6,19715
ראשון לציון,נווה הדרים,296,הקוקייה 17,125,2015,2060000,6287-308-5,דירה בבית,5,16480
ראשון לציון,נווה הדרים,297,החוחית 1,65.6,2015,1300000,6287-153-28,דירה בבית,3,19817
ראשון לציון,נווה הדרים,298,הקוקייה 34,126.9,2015,1700000,6287-218-35,דירה בבית,5,13396
ראשון לציון,נווה הדרים,299,הרצל גרינשפן 11,123,2015,799000,6287-288-16,דירה בבית,5,6496
ראשון לציון,נווה הדרים,300,0,82.8,2015,1850000,6287-292-18,דירת,4,22343
ראשון לציון,נווה הדרים,301,הרצל גרינשפן 5,129.8,2015,2000000,6287-222-21,דירה בבית,5,15408
ראשון לציון,נווה הדרים,302,יגאל אלון 22,74.8,2015,1350000,6287-285-10,דירה בבית,3,18048
ראשון לציון,נווה הדרים,303,הקוקייה 32,106.65,2015,1665000,6287-154-42,דירה בבית,5,15612
ראשון לציון,נווה הדרים,304,הנחליאלי 22,197,2015,2600000,6287-250-1,קוטג' דו משפחתי,7,13198
ראשון לציון,נווה הדרים,305,הקוקייה 27,96.65,2015,1679000,6287-312-3,דירה בבית,4,17372
ראשון לציון,נווה הדרים,306,הקוקייה 46,131.4,2015,1900000,6287-221-42,דירה בבית,5,14460
ראשון לציון,נווה הדרים,307,הקוקייה 2,65.6,2015,1130000,6287-153-66,דירה בבית,3,17226
ראשון לציון,נווה הדרים,308,הקוקייה 34,107.3,2015,1560000,6287-218-65,דירה בבית,4,14539
ראשון לציון,נווה הדרים,309,ברנשטיין 31,125.2,2015,1730000,6287-219-38,דירה בבית,5,13818
ראשון לציון,נווה הדרים,310,הקוקייה 31,96.65,2015,2025000,6287-314-2,דירת גן,4,20952
ראשון לציון,נווה הדרים,311,הקוקייה 68,129.8,2015,1900000,6287-222-90,דירה בבית,5,14638
ראשון לציון,נווה הדרים,312,הקוקייה 32,125.25,2015,1775000,6287-154-65,דירה בבית,5,14172
ראשון לציון,נווה הדרים,313,החוחית 1,65.6,2015,1275000,6287-153-30,דירה בבית,3,19436
ראשון לציון,נווה הדרים,314,הקוקייה 30,125.25,2015,1600000,6287-154-32,דירה בבית,5,12774
