city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ראשון לציון,קדמת ראשון,411,דוידזון 2,96.25,2015,1400000,3939-313-11,דירה בבית,4,14545
ראשון לציון,קדמת ראשון,412,דוידזון 1,80,2015,1300000,3939-290-27,דירה בבית,4,16250
ראשון לציון,קדמת ראשון,413,אליעזר בלבן 1,60,2015,1295000,3939-489-81,דירה בבית,3,21583
ראשון לציון,קדמת ראשון,414,מרדכי פופל 18,82.93,2015,1400000,3939-282-16,דירה בבית,3.5,16882
ראשון לציון,קדמת ראשון,415,0,98,2015,1800000,3939-225-21,דירה בבית,4.5,18367
ראשון לציון,קדמת ראשון,416,דוידזון 1,72,2015,1260000,3939-290-28,דירה בבית,3.5,17500
ראשון לציון,קדמת ראשון,417,פנינה ומשה 3,101.82,2015,1550000,3939-308-9,דירה בבית,5,15223
ראשון לציון,קדמת ראשון,418,מרדכי פופל 2,114.13,2015,1410000,3939-289-1,דירה בבית,5.5,12354
ראשון לציון,קדמת ראשון,419,פנינה ומשה 8,85,2015,1230000,3939-303-13,דירה בבית,4,14471
ראשון לציון,קדמת ראשון,420,יעקובזון 1,100.54,2015,1890000,3939-501-50,דירה בבית,4,18798
ראשון לציון,קדמת ראשון,421,פנינה ומשה 2,85,2015,1100000,3939-306-12,דירה בבית,3.5,12941
ראשון לציון,קדמת ראשון,422,פנינה ומשה 5,102.08,2015,1375000,3939-307-24,דירה בבית,5,13470
ראשון לציון,קדמת ראשון,423,פנינה ומשה 5,103.37,2015,1740000,3939-307-29,דירה בבית,5,16833
ראשון לציון,קדמת ראשון,424,0,111.2,2015,1560000,3939-129-4,דירה בבית,5,14029
ראשון לציון,קדמת ראשון,425,אליעזר בלבן 1,75,2015,1300000,3939-489-82,דירה בבית,3,17333
ראשון לציון,קדמת ראשון,426,0,131,2015,2080000,3939-225-26,דירת,5,15878
ראשון לציון,קדמת ראשון,427,0,109,2015,1790000,3939-225-41,דירה בבית,5,16422
ראשון לציון,קדמת ראשון,428,אליעזר בלבן 1,70,2015,1300000,3939-489-83,דירה בבית,3,18571
ראשון לציון,קדמת ראשון,429,משמר הירדן 19,64.18,2015,980000,3939-132-7,דירה בבית,3,15270
ראשון לציון,קדמת ראשון,430,0,98,2015,1675000,3939-225-28,דירה בבית,4.5,17092
ראשון לציון,קדמת ראשון,431,משמר הירדן 9,139.13,2015,2270000,3939-557-19,דירה בבית,5,16316
ראשון לציון,קדמת ראשון,432,אליעזר בלבן 1,60,2015,1250000,3939-489-84,דירה בבית,3,20833
ראשון לציון,קדמת ראשון,433,דוידזון 6,104.4,2015,1350000,3939-311-28,דירה בבית,4,12931
ראשון לציון,קדמת ראשון,434,ראובן ובת שבע 11,72.53,2015,1190000,3939-298-25,דירה בבית,3,16407
ראשון לציון,קדמת ראשון,435,מרדכי פופל 18,112.44,2015,1350000,3939-282-17,דירה בבית,4.5,12006
ראשון לציון,קדמת ראשון,436,דוידזון 4,94.25,2015,1050000,3939-312-3,דירה בבית,4,11141
ראשון לציון,קדמת ראשון,437,0,108,2015,1700000,3939-225-29,דירה בבית,5,15741
ראשון לציון,קדמת ראשון,438,מרדכי פופל 10,111,2015,1200000,3939-286-25,דירה בבית,4,10811
ראשון לציון,קדמת ראשון,439,מרדכי פופל 16,97.2,2015,1275000,3939-283-13,דירה בבית,4,13117
ראשון לציון,קדמת ראשון,440,ראובן ובת שבע 11,72.53,2015,1135000,3939-298-21,דירה בבית,3,15649
ראשון לציון,קדמת ראשון,441,פנינה ומשה 5,102.08,2015,1220000,3939-307-8,דירה בבית,5,11951
ראשון לציון,קדמת ראשון,442,אליעזר בלבן 1,63,2015,1275000,3939-489-10,דירה בבית,3,20238
ראשון לציון,קדמת ראשון,443,מרדכי פופל 6,113,2015,93000,3939-287-22,דירה בבית,4,823
ראשון לציון,קדמת ראשון,444,פנינה ומשה 5,102.08,2015,1280000,3939-307-16,דירה בבית,5,12539
ראשון לציון,קדמת ראשון,445,מרדכי פופל 12,100.1,2015,1420000,3939-285-29,דירה בבית,4.5,14186
ראשון לציון,קדמת ראשון,446,משמר הירדן 28,76.47,2015,1220000,3939-342-11,דירה בבית,3,15954
