city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ראשון לציון,קריית חתני פרס נובל,145,מעגל השלום 27,76,2018,1880000,5096-3-113,דירה בבית,3,24737
ראשון לציון,קריית חתני פרס נובל,146,מעגל השלום 27,76,2018,1890000,5096-3-117,דירה בבית,3,24868
ראשון לציון,קריית חתני פרס נובל,147,מעגל השלום 11,95,2018,2300000,5096-5-33,דירה בבית,4,24211
ראשון לציון,קריית חתני פרס נובל,148,מעגל השלום 11,76,2018,1850000,5096-5-20,דירה בבית,3,24342
ראשון לציון,קריית חתני פרס נובל,150,מעגל השלום 13,76,2018,1900000,5096-5-45,דירה בבית,3,25000
ראשון לציון,קריית חתני פרס נובל,151,מעגל השלום 11,76,2018,1960000,5096-5-5,דירה בבית,3,25789
ראשון לציון,קריית חתני פרס נובל,152,מילטון פרידמן 51,175.6,2018,3700000,5098-29-1,קוטג' דו משפחתי,5,21071
ראשון לציון,קריית חתני פרס נובל,153,מעגל השלום 31,111,2018,2600000,5096-2-92,דירה בבית,5,23423
ראשון לציון,קריית חתני פרס נובל,154,מעגל השלום 31,111,2018,3000000,5096-2-104,דירה בבית,5,27027
ראשון לציון,קריית חתני פרס נובל,155,מעגל השלום 21,131,2018,3360000,5096-4-126,דירה בבית,5,25649
ראשון לציון,קריית חתני פרס נובל,156,מעגל השלום 31,97,2018,2500000,5096-2-91,דירה בבית,4,25773
ראשון לציון,קריית חתני פרס נובל,157,מעגל השלום 21,94,2018,2275000,5096-4-109,דירה בבית,4,24202
ראשון לציון,קריית חתני פרס נובל,158,מעגל השלום 9,110,2018,2700000,5096-6-135,דירה בבית,5,24545
ראשון לציון,קריית חתני פרס נובל,159,מעגל השלום 11,110,2018,2350000,5096-5-27,דירה בבית,5,21364
ראשון לציון,קריית חתני פרס נובל,161,מעגל השלום 9,95,2018,2265000,5096-6-124,דירה בבית,4,23842
ראשון לציון,קריית חתני פרס נובל,162,מעגל השלום 9,89,2018,2000000,5096-6-107,דירה בבית,4,22472
ראשון לציון,קריית חתני פרס נובל,163,מעגל השלום 9,110,2018,2665000,5096-6-131,דירה בבית,5,24227
ראשון לציון,קריית חתני פרס נובל,164,מעגל השלום 13,95,2018,2325000,5096-5-73,דירה בבית,4,24474
ראשון לציון,קריית חתני פרס נובל,166,מעגל השלום 27,94,2018,2300000,5096-3-141,דירה בבית,4,24468
ראשון לציון,קריית חתני פרס נובל,167,מעגל השלום 7,96,2018,2350000,5096-6-93,דירה בבית,3.5,24479
ראשון לציון,קריית חתני פרס נובל,168,מעגל השלום 13,76,2018,1840000,5096-5-54,דירה בבית,3,24211
ראשון לציון,קריית חתני פרס נובל,169,מעגל השלום 31,97,2018,2257000,5096-2-86,דירה בבית,4,23268
ראשון לציון,קריית חתני פרס נובל,170,מעגל השלום 15,89,2018,2100000,5096-5-91,דירה בבית,4,23596
ראשון לציון,קריית חתני פרס נובל,171,מעגל השלום 19,76,2018,1900000,5096-4-46,דירה בבית,3,25000
ראשון לציון,קריית חתני פרס נובל,173,מעגל השלום 7,76,2018,1875000,5096-6-62,דירה בבית,3,24671
ראשון לציון,קריית חתני פרס נובל,174,מעגל השלום 23,94,2018,2400000,5096-3-46,דירה בבית,4,25532
ראשון לציון,קריית חתני פרס נובל,176,דוד בולטימור 2,181,2018,4200000,5095-27-3,קוטג' דו משפחתי,6,23204
ראשון לציון,קריית חתני פרס נובל,178,מעגל השלום 21,94,2018,2330000,5096-4-120,דירה בבית,4,24787
ראשון לציון,קריית חתני פרס נובל,179,מעגל השלום 5,89,2018,1980000,5096-6-6,דירה בבית,4,22247
