city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ראשון לציון,שער הים,150,אחי מבטח 32,135,2015,4030000,2709-64-1,קוטג' דו משפחתי,5,29852
ראשון לציון,שער הים,151,אחי משגב 12,300,2015,4000000,2709-17-1,קוטג' דו משפחתי,7,13333
ראשון לציון,שער הים,152,אחי מזנק 68,338,2015,4000000,2709-49-3,קוטג' דו משפחתי,6,11834
ראשון לציון,שער הים,153,מבצע נועה 20,180,2015,3100000,2709-102-3,קוטג' דו משפחתי,5,17222
ראשון לציון,שער הים,154,חיל התותחנים 3,95.93,2015,2100000,2704-55-348,דירה בבית,4,21891
ראשון לציון,שער הים,155,חיל התותחנים 3,96.32,2015,2350000,2704-55-368,דירה בבית,4,24398
ראשון לציון,שער הים,156,אחי מזנק 66,200,2015,4000000,2709-49-2,קוטג' דו משפחתי,6,20000
ראשון לציון,שער הים,157,אחי מזנק 66,250,2015,4000000,2709-49-1,קוטג' דו משפחתי,5,16000
ראשון לציון,שער הים,158,אחי משגב 38,256,2015,3230000,2709-23-1,קוטג' דו משפחתי,6,12617
ראשון לציון,שער הים,159,אחי מבטח 33,200,2015,2500000,2709-7-2,דירה בבית,6,12500
ראשון לציון,שער הים,160,אחי מזנק 80,319,2015,4800000,2709-52-1,קוטג' חד משפחתי,9,15047
ראשון לציון,שער הים,161,השייטת 8,137.66,2015,2720000,2704-55-40,דירה בבית,5,19759
ראשון לציון,שער הים,162,חיל התותחנים 3,93.22,2015,2269000,2704-55-351,דירה בבית,4,24340
ראשון לציון,שער הים,163,חיל התותחנים 3,112.5,2015,2475000,2704-55-386,דירה בבית,5,22000
ראשון לציון,שער הים,164,השייטת 8,97.81,2015,2410000,2704-55-59,דירה בבית,4,24640
ראשון לציון,שער הים,165,אחי להב 5,104.5,2015,2149000,2704-55-471,דירה בבית,4,20565
ראשון לציון,שער הים,166,אחי להב 5,114.29,2015,2400000,2704-55-141,דירה בבית,5,20999
