מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
216,ישראל אהרוני 1,66,2021,1550000,3703-127-31,דירה בבית,3,23485
217,גורדון 4,118.1,2021,2500000,3703-522-2,דירה בבית,5,21169
218,איזנברג 42,75,2021,2060000,3703-1008-6,דירה בבית,3,27467
219,גורדון 2,102.2,2021,2350000,3703-1394-27,דירה בבית,4,22994
220,איזנברג 11,107.41,2021,2050000,3703-1097-30,דירה בבית,4,19086
221,איזנברג 42,87,2021,2090000,3703-1009-9,דירה בבית,3,24023
222,0,130,2021,2900000,3703-145-8,דירה בבית,4,22308
223,איזנברג 35,80,2021,1850000,3703-657-6,דירה בבית,3,23125
224,איזנברג 35,126,2021,2800000,3703-657-7,דירה בבית,5,22222
225,איזנברג 42,87,2021,1095000,3703-1009-24,דירה בבית,3,12586
226,איזנברג 42,75,2021,2030000,3703-1009-8,דירה בבית,3,27067
227,ויצמן 5,130,2021,4300000,3703-1398-5,דירה בבית,5,33077
228,ויצמן 5,102,2021,2325000,3703-1398-4,דירה בבית,4,22794
229,ויצמן 5,74,2021,2040000,3703-1398-3,דירה בבית,3,27568
230,ויצמן 5,74,2021,1930000,3703-1398-2,דירה בבית,3,26081
231,איזנברג 42,77,2021,1940000,3703-1009-7,דירה בבית,3,25195
232,גורדון 2,102.2,2021,2260000,3703-1394-12,דירה בבית,4,22114
235,איזנברג 42,95,2021,2470000,3703-1008-4,דירה בבית,4,26000
236,איזנברג 42,77,2021,1930000,3703-1009-5,דירה בבית,3,25065
237,ישראל אהרוני 1,66.5,2021,1620000,3703-127-7,דירה בבית,3,24361
238,ויצמן 5,115,2021,2380000,3703-1398-1,דירה בבית,4,20696
239,איזנברג 35,153,2021,4450000,3703-657-5,דירת,5,29085
240,איזנברג 38,67,2021,1950000,3703-1006-6,דירה בבית,3,29104
241,הרצל 208,99.1,2021,1790000,3703-130-76,דירה בבית,3,18063
242,איזנברג 42,77,2021,1950000,3703-1008-21,דירה בבית,3,25325
243,איזנברג 7,103.15,2021,1170000,3703-1448-3,דירה בבית,4,11343
244,ויצמן 21,73.08,2021,1600000,3703-525-14,דירה בבית,3,21894
245,ישראל אהרוני 10,67.92,2021,1550000,3703-861-4,דירה בבית,3,22821
246,איזנברג 27,104.39,2021,2404000,3703-663-6,דירה בבית,4,23029
247,ויצמן 21,69.6,2021,1450000,3703-524-21,דירה בבית,3,20833
248,סיטקוב 2,82.54,2021,1840000,3703-932-41,דירה בבית,3,22292
249,איזנברג 35,126,2021,2650000,3703-657-4,דירה בבית,5,21032
250,איזנברג 35,128,2021,2700000,3703-657-3,דירה בבית,5,21094
251,ישראל אהרוני 1,50,2021,1400000,3703-127-18,דירה בבית,2,28000
252,ויצמן 7,80.67,2021,1850000,3703-1402-12,דירה בבית,4,22933
253,ישראל אהרוני 27,82.2,2021,1850000,3703-1280-23,דירה בבית,4,22506
254,איזנברג 42,87,2021,1900000,3703-1008-3,דירה בבית,3,21839
255,ישראל אהרוני 8,99.6,2021,2150000,3703-1415-11,דירה בבית,4,21586
256,איזנברג 10,74.2,2021,1650000,3703-126-7,דירה בבית,3,22237
257,ישראל אהרוני 6,83.76,2021,1660000,3703-1108-1,דירה בבית,4,19819
258,ויצמן 27,68.64,2021,1720000,3703-1311-11,דירה בבית,3,25058
259,גורדון 38,62.66,2021,1515000,3703-651-2,דירה בבית,3,24178
260,ישראל אהרוני 1,66.5,2021,1500000,3703-127-32,דירה בבית,3,22556
262,איזנברג 2,161,2021,4500000,3703-1066-8,דירה בבית,5,27950
263,איזנברג 2,110,2021,2510000,3703-1066-7,דירה בבית,4,22818
264,ישראל אהרוני 28,100.15,2021,1860000,3703-857-14,דירה בבית,4,18572
265,איזנברג 42,85,2021,1950000,3703-1008-22,דירה בבית,3,22941
266,גורדון 30,75.26,2021,1580000,3703-648-9,דירה בבית,3,20994
268,איזנברג 2,133,2021,2820000,3703-1066-5,דירה בבית,5,21203
269,ויצמן 39,132.3,2021,2693000,3703-1380-10,דירה בבית,5,20355
270,איזנברג 2,110,2021,2350000,3703-1066-3,דירה בבית,4,21364
271,איזנברג 35,80,2021,1875000,3703-657-2,דירה בבית,3,23438
272,0,135,2021,2900000,3703-145-9,דירה בבית,5,21481
273,איזנברג 1,121.6,2021,2670000,3703-1394-122,דירה בבית,5,21957
274,סיטקוב 5,97.1,2021,1990000,3703-1116-15,דירה בבית,4,20494
275,איזנברג 22,85.15,2021,1845000,3703-823-15,דירה בבית,4,21668
276,איזנברג 42,100,2021,2415000,3703-1009-4,דירה בבית,4,24150
277,גורדון 10,83,2021,1980000,3703-1535-10,דירה בבית,4,23855
278,גורדון 10,83,2021,1975000,3703-989-6,דירה,4,23795
279,0,130,2021,3200000,3703-145-10,דירת גן,5,24615
280,הרב הרצוג 15,144.51,2021,3100000,3703-654-19,דירה בבית,5,21452
281,גורדון 12,78.3,2021,1705000,3703-988-14,דירה בבית,3,21775
282,0,136,2021,2850000,3703-145-11,דירה בבית,5,20956
283,הרצל 208,82.7,2021,1520000,3703-130-74,דירה בבית,3,18380
284,איזנברג 10,62.82,2021,1580000,3703-126-14,דירה בבית,3,25151
285,גורדון 28,86.5,2021,1850000,3703-678-12,דירה בבית,4,21387
