city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
רחובות,החלוץ העבודה,151,יעקב 35,94,2021,1696900,3703-1199-2,דירה בבית,4,18052
רחובות,החלוץ העבודה,152,מנוחה ונחלה 49,115.82,2021,2820000,3703-841-19,דירה בבית,5,24348
רחובות,החלוץ העבודה,153,ויצמן 36,65,2021,1395000,3703-1162-16,דירה בבית,3,21462
רחובות,החלוץ העבודה,154,שי 6,130,2021,2740000,3703-509-17,דירה בבית,5,21077
רחובות,החלוץ העבודה,155,יעבץ 21,53.42,2021,1470000,3703-447-11,דירה בבית,3,27518
רחובות,החלוץ העבודה,156,חווה לוצקי 11,55.48,2021,1390000,3703-1077-11,דירה בבית,3,25054
רחובות,החלוץ העבודה,157,יעבץ 21,57.01,2021,1515000,3703-447-20,דירה בבית,3,26574
רחובות,החלוץ העבודה,158,ויצמן 42,104,2021,1747000,3703-210-5,דירה בבית,4,16798
רחובות,החלוץ העבודה,159,אחד העם 13,63.3,2021,1400000,3703-174-12,דירה בבית,2,22117
רחובות,החלוץ העבודה,160,יעקב 41,80.13,2021,1430000,3703-216-10,דירה בבית,4,17846
רחובות,החלוץ העבודה,161,העבודה 7,85.9,2021,1600000,3703-1167-14,דירה בבית,4,18626
רחובות,החלוץ העבודה,163,ויצמן 16,101.85,2021,1850000,3703-1208-32,דירה בבית,4,18164
רחובות,החלוץ העבודה,164,אליהו גלזר 3,98.09,2021,1900000,3703-1209-8,דירת גן,3,19370
רחובות,החלוץ העבודה,165,שי 2,108,2021,2260000,3703-509-23,דירה בבית,4,20926
רחובות,החלוץ העבודה,166,מנוחה ונחלה 45,95.9,2021,1550000,3703-212-13,דירה בבית,4,16163
רחובות,החלוץ העבודה,167,הרצל 186,71,2021,1500000,3703-854-19,דירה בבית,3,21127
רחובות,החלוץ העבודה,168,יעבץ 15,98.72,2021,1700000,3703-450-11,דירה בבית,3,17220
רחובות,החלוץ העבודה,171,מנוחה ונחלה 47,95.56,2021,2270000,3703-842-9,דירה בבית,5,23755
רחובות,החלוץ העבודה,172,מנוחה ונחלה 33,80.7,2021,1560000,3703-217-30,דירה בבית,3,19331
רחובות,החלוץ העבודה,173,ויצמן 16,101.85,2021,1800000,3703-1208-19,דירה בבית,4,17673
רחובות,החלוץ העבודה,174,יעקב 15,146.05,2021,3490000,3703-840-11,דירה בבית,5,23896
רחובות,החלוץ העבודה,175,מנוחה ונחלה 37,86.09,2021,1700000,3703-1157-22,דירה בבית,4,19747
רחובות,החלוץ העבודה,176,יעבץ 12,113.41,2021,3100000,3703-518-9,דירה בבית,4,27334
רחובות,החלוץ העבודה,177,אחד העם 19,98.56,2021,1650000,3703-175-10,דירה בבית,4,16741
רחובות,החלוץ העבודה,178,אחד העם 6,49.38,2021,1230000,3703-776-19,דירה בבית,2,24909
רחובות,החלוץ העבודה,179,מנוחה ונחלה 45,96.2,2021,1850000,3703-212-35,דירה בבית,4,19231
רחובות,החלוץ העבודה,180,הרצל 190,67.37,2021,1437000,3703-1024-9,דירה בבית,3,21330
רחובות,החלוץ העבודה,181,גולדברג 3,64,2021,1242000,3703-798-9,דירה בבית,3,19406
רחובות,החלוץ העבודה,182,ויצמן 22,83.78,2021,1500000,3703-920-3,דירה בבית,3,17904
רחובות,החלוץ העבודה,183,אליהו גלזר 10,70.73,2021,1517000,3703-1015-6,דירה בבית,4,21448
רחובות,החלוץ העבודה,184,אחד העם 27,95.81,2021,1550000,3703-734-12,דירה בבית,4,16178
