מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
194,השומרים 4,85.42,2020,1470000,3704-539-13,דירה בבית,4,17209
195,הצנחנים 9,80,2020,1435000,3704-372-4,דירה בבית,4,17938
196,הבעשט 10,32.28,2020,900000,3704-349-3,דירה בבית,2,27881
197,וייסבורג 5,66,2020,1290000,3704-630-30,דירה בבית,3,19545
198,0,132,2020,2800000,3704-872-5,דירה בבית,5,21212
199,0,132,2020,2800000,3704-333-6,דירה,5,21212
200,אהרון שקולניק 9,104.12,2020,1620000,3704-654-26,דירה בבית,4,15559
202,0,114,2020,2225000,3704-872-6,דירה בבית,5,19518
203,0,132,2020,2420000,3704-872-7,דירה בבית,5,18333
204,גורודיסקי 8,75.6,2020,1475000,3704-779-9,דירה בבית,3,19511
205,מנוחה ונחלה 16,106.75,2020,1382000,3704-643-38,דירה בבית,4,12946
206,מנוחה ונחלה 6,81,2020,1585000,3704-631-2,דירה בבית,4,19568
207,0,78,2020,1700000,3704-872-8,דירה בבית,3,21795
208,0,78,2020,1700000,3704-333-3,דירה,3,21795
210,אהרון שקולניק 9,90.35,2020,1550000,3704-654-9,דירה בבית,4,17156
211,מנוחה ונחלה 16,84.21,2020,1400000,3704-643-5,דירה בבית,3,16625
212,הצנחנים 2,82.7,2020,1850000,3704-384-4,דירה בבית,4,22370
213,גורודיסקי 4,94.25,2020,2150000,3704-774-12,דירה בבית,4,22812
214,הצנחנים 16,102.47,2020,1550000,3704-391-4,דירה בבית,5,15126
215,מנוחה ונחלה 6,63,2020,1280000,3704-631-21,דירה בבית,3,20317
216,הבעשט 10,42.03,2020,1090000,3704-349-2,דירה בבית,2,25934
217,אהרון שקולניק 6,89.22,2020,1570000,3704-657-4,דירה בבית,4,17597
219,אמרי חיים 4,138,2020,1780000,3704-741-10,דירה בבית,6,12899
220,אהרון שקולניק 3,99.07,2020,1520000,3704-651-16,דירה בבית,4,15343
221,הצנחנים 11,49.5,2020,491000,3704-558-12,דירה בבית,3,9919
222,הצנחנים 4,106.44,2020,1820000,3704-385-3,דירה בבית,5,17099
223,אמרי חיים 2,75,2020,1350000,3704-740-6,דירה בבית,3,18000
224,אהרון שקולניק 7,180.63,2020,2450000,3704-653-29,דירה בבית,5,13564
226,מנוחה ונחלה 16,100.85,2020,1580000,3704-643-34,דירה בבית,4.5,15667
