מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
655,נווה אלון 1,108.52,2020,2170000,3702-409-29,דירה בבית,4,19996
656,פינס 23,102.45,2020,2150000,3702-21-14,דירה בבית,4,20986
657,יבנה 16,80,2020,1650000,3702-257-9,דירה בבית,3,20625
658,ש' בן ציון 19,128,2020,2765000,3702-58-9,דירה בבית,5,21602
659,0,64,2020,1800000,3702-232-3,דירה בבית,3,28125
660,ש' בן ציון 15,79.15,2020,1600000,3702-395-78,דירה בבית,3,20215
661,יבנה 18,63.93,2020,1300000,3702-258-10,דירה בבית,3,20335
662,מורדי הגטאות 6,93.41,2020,1850000,3702-26-3,דירה,3,19805
663,0,79.57,2020,1680000,3703-530-52,דירה בבית,4,21113
664,יבנה 16,80,2020,1750000,3702-257-6,דירה בבית,3,21875
665,גלוסקין 9,73.53,2020,1425000,3703-63-11,דירה בבית,3,19380
669,חן 10,128.88,2020,2750000,3702-242-13,דירה בבית,5,21338
670,ברוך שפינוזה 28,80,2020,1850000,3702-290-9,דירה בבית,3,23125
671,נווה אלון 2,99.76,2020,1730000,3702-391-29,דירה בבית,4,17342
672,יבנה 64,80,2020,1900000,3702-187-12,דירה בבית,3,23750
673,הרצל 175,72,2020,1420000,3703-76-27,דירה בבית,3,19722
675,גלוסקין 31,70.88,2020,1500000,3702-182-12,דירה בבית,3,21163
676,ברוך שפינוזה 28,80,2020,1850000,3702-290-6,דירה,3,23125
677,נווה אלון 8,88.18,2020,1600000,3702-392-10,דירה בבית,4,18145
678,מוסקוביץ 24,117.6,2020,2237000,3702-167-6,דירה בבית,5,19022
679,ברוך שפינוזה 28,130,2020,2500000,3702-290-5,דירה בבית,5,19231
680,נווה אלון 8,84.04,2020,1640000,3702-392-53,דירה בבית,4,19515
681,0,76,2020,1900000,3703-488-51,דירה בבית,3,25000
682,גלוסקין 18,101,2020,1150000,3703-850-19,דירה בבית,4,11386
683,גלוסקין 14,70.04,2020,700000,3703-700-14,דירה בבית,3,9994
684,נווה אלון 2,94.3,2020,1570000,3702-391-20,דירה בבית,4,16649
685,ש' בן ציון 7,65.5,2020,1580000,3702-284-4,דירה בבית,3,24122
686,ש' בן ציון 40,79.49,2020,1755000,3703-729-7,דירה בבית,3,22078
687,ש' בן ציון 40,128.2,2020,2530000,3703-729-9,דירה בבית,6,19735
688,הרצל 203,85.7,2020,1330000,3702-383-9,דירה בבית,3.5,15519
689,מורדי הגטאות 17,65.15,2020,485000,3702-51-4,דירה בבית,3,7444
690,גלוסקין 34,93.12,2020,1830000,3703-492-5,דירה בבית,4,19652
691,מורדי הגטאות 6,142.88,2020,2780000,3702-26-12,דירה בבית,5,19457
692,חן 63,75,2020,1880000,3702-199-17,דירה בבית,3,25067
693,חן 10,141.39,2020,2550000,3702-242-1,דירה בבית,5,18035
694,הרצל 187,67.54,2020,1355000,3703-69-39,דירה בבית,3,20062
695,ברוך שפינוזה 15,57.6,2020,1320000,3702-254-10,דירה בבית,3,22917
696,מורדי הגטאות 18,103.86,2020,1880000,3702-32-3,דירה בבית,5,18101
698,גלוסקין 44,48,2020,1400000,3702-201-13,דירה בבית,2,29167
699,נווה אלון 2,99.43,2020,1550000,3702-391-4,דירה בבית,4,15589
700,מורדי הגטאות 26,76.65,2020,1570000,3703-1030-7,דירה בבית,4,20483
701,מורדי הגטאות 17,65.15,2020,1560000,3702-51-20,דירה בבית,3,23945
702,אחים קיבוביץ 8,125.3,2020,2260000,3702-99-5,דירה בבית,5,18037
703,הרצל 187,65.89,2020,1310000,3703-69-25,דירה בבית,3,19882
704,0,79,2020,1750000,3702-232-4,דירה בבית,3,22152
705,ברוך שפינוזה 23,64.01,2020,1400000,3702-300-10,דירה בבית,3,21872
706,הכרם 9,84.91,2020,1500000,3702-325-9,דירה בבית,3,17666
707,ש' בן ציון 9,91.87,2020,1845000,3702-285-4,דירה בבית,4,20083
708,חן 70,139.22,2020,2700000,3702-208-5,דירה בבית,5,19394
709,מוסקוביץ 6,128.35,2020,2420000,3703-1437-8,דירה בבית,5,18855
710,0,74,2020,1805000,3703-488-52,דירה בבית,3,24392
