מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
231,לוי אליהו סלם 8,63,2020,970000,5810-12-22,דירה בבית,3,15397
232,בן גוריון 33,69,2020,1115000,5810-8-21,דירה בבית,4,16159
233,בן גוריון 31,68.7,2020,1100000,5810-9-1,דירה בבית,3,16012
234,דוד רזיאל 34,58,2020,1050000,5810-17-12,דירה בבית,3,18103
235,לוי אליהו סלם 6,69,2020,1250000,5810-54-19,דירה בבית,3,18116
236,בן גוריון 31,68.7,2020,1130000,5810-9-41,דירה בבית,3.5,16448
237,בן גוריון 17,69,2020,1100000,5810-2-22,דירה בבית,3.5,15942
238,לוי אליהו סלם 6,69,2020,1180000,5810-54-13,דירה בבית,3,17101
239,בן גוריון 6,63,2020,1160000,5809-7-28,דירה בבית,3,18413
240,מרדכי סעדיה 11,59,2020,740000,5810-22-23,דירה בבית,3,12542
241,דוד אלעזר 7,62,2020,900000,5809-17-11,דירה בבית,3,14516
242,בן גוריון 27,66,2020,1065000,5810-6-20,דירה בבית,4,16136
243,יהודה שטיין 3,59.9,2020,1020000,5809-12-14,דירה בבית,3,17028
244,לוי אליהו סלם 8,63,2020,1000000,5810-12-27,דירה בבית,3,15873
245,לוי אליהו סלם 11,65,2020,645000,5810-21-29,דירה בבית,3,9923
246,בן גוריון 29,69,2020,875000,5810-7-9,דירה בבית,3,12681
247,לוי אליהו סלם 12,63,2020,1040000,5810-14-22,דירה בבית,3,16508
248,דוד רזיאל 34,58,2020,1000000,5810-17-11,דירה בבית,3,17241
249,יהודה שטיין 11,63,2020,990000,5809-4-34,דירה בבית,3,15714
250,בן גוריון 3,62.3,2020,1025000,5809-28-8,דירה בבית,3,16453
251,דוד אלעזר 8,45,2020,320000,5809-25-5,דירה בבית,2,7111
252,בן גוריון 6,63,2020,1005000,5809-7-33,דירה בבית,3,15952
253,בן גוריון 31,66.4,2020,1080600,5810-9-27,דירה בבית,4,16274
254,יהודה שטיין 11,63,2020,1020000,5809-4-15,דירה בבית,3,16190
255,בן גוריון 13,66,2020,1100000,5809-31-8,דירה בבית,3.5,16667
256,מרדכי סעדיה 7,62,2020,315000,5810-24-20,דירה בבית,3,5081
