מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
292,אנגל 2,79,2017,630000,4372-5-3,דירה בבית,3,7975
293,0,117.7,2017,1680000,4349-438-94,דירה,4,14274
294,0,141.65,2017,1766000,4349-438-92,דירה,5,12467
295,0,117.6,2017,1569000,4349-438-39,דירה בבית,4,13342
296,0,122.36,2017,1550000,4372-4-6,דירת,5,12668
297,0,141.65,2017,1707000,4349-438-88,דירה,5,12051
298,בורוכוב 11,59.2,2017,850000,4349-229-13,דירה בבית,3,14358
300,ויתקין 3,100,2017,1453000,4372-90-1,דירה בבית,4,14530
301,0,127.05,2017,1480000,4349-438-86,דירה,4,11649
302,0,135.4,2017,1670000,4349-438-21,דירה בבית,5,12334
303,0,162.2,2017,1670000,4349-438-84,דירה,5,10296
304,קפלן 6,212,2017,2250000,4349-131-1,קוטג' חד משפחתי,5,10613
305,חיים בר לב 1,82.45,2017,1430000,4349-273-27,דירה בבית,3.5,17344
306,0,132.5,2017,1698000,4349-438-76,דירה,5,12815
307,0,117.7,2017,1610000,4349-438-74,דירה,5,13679
308,0,141.65,2017,1625000,4349-438-72,דירה,5,11472
309,0,117.7,2017,1629150,4349-438-70,דירה,5,13842
310,0,96.08,2017,1340000,4372-4-4,דירה בבית,4,13947
311,חיים בר לב 10,96.47,2017,1480000,4349-271-78,דירה בבית,4,15342
312,בורוכוב 9,59.2,2017,1020000,4349-230-12,דירה בבית,3,17230
313,בילינסון 13,77.2,2017,1190000,4372-30-7,דירה בבית,4,15415
314,0,117.6,2017,1522000,4349-438-23,דירה בבית,4,12942
315,0,117.6,2017,2000000,4349-438-63,דירה,5,17007
316,בילינסון 15,85.5,2017,500000,4372-132-23,דירה בבית,4,5848
317,0,105,2017,1575000,4349-438-57,דירה,4,15000
318,0,103,2017,1545000,4349-438-56,דירה,4,15000
319,0,117.6,2017,1553000,4349-438-35,דירה בבית,4,13206
320,0,117.6,2017,1450000,4349-438-11,דירה בבית,4,12330
321,0,103,2017,1534000,4349-438-45,דירה,4,14893
322,0,103,2017,1492000,4349-438-44,דירה,4,14485
323,0,117.7,2017,2300000,4349-438-42,דירה,5,19541
324,0,141.65,2017,1649000,4349-438-40,דירה,5,11641
325,0,103,2017,1536000,4349-438-36,דירה,4,14913
327,0,103,2017,1430000,4349-438-33,דירה,4,13883
328,0,135.4,2017,2111000,4349-438-29,דירה,5,15591
329,0,117.7,2017,1450000,4349-438-18,דירה,4,12319
330,0,117.6,2017,1493200,4349-438-19,דירה,4,12697
331,0,141.65,2017,1596100,4349-438-20,דירה,5,11268
332,0,103,2017,1511000,4349-439-1,דירה,4,14670
333,0,135.4,2017,1601000,4349-438-9,דירה בבית,5,11824
334,0,135.4,2017,1602000,4349-438-13,דירה,5,11832
336,התאנים 4,291,2017,2280000,4349-322-2,דירה בבית,6,7835
337,בילינסון 13,68.1,2017,1050000,4372-30-6,דירה בבית,3,15419
338,0,212,2017,2370000,4349-293-9,קוטג' דו משפחתי,6,11179
339,0,197,2017,2425000,4349-293-10,קוטג' דו משפחתי,6,12310
341,חיים בר לב 10,96.47,2017,1300000,4349-271-81,דירה בבית,4,13476
