מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
117,שמחה הולצברג 6,69.54,2021,1250000,5953-18-29,דירה בבית,4,17975
118,אהרון בוגנים 4,62.18,2021,1270000,5953-4-39,דירה בבית,3,20425
119,אהרון בוגנים 12,61.54,2021,1280000,5953-2-41,דירה בבית,3,20799
120,אהרון בוגנים 6,73.97,2021,1480000,5953-3-28,דירה בבית,4,20008
121,שמחה הולצברג 16,78.27,2021,1600000,5953-10-132,דירה בבית,4,20442
122,שמחה הולצברג 2,62.18,2021,1230000,5953-16-23,דירה בבית,3,19781
123,אריה קרמר 12,90.38,2021,1470000,5953-24-15,דירה בבית,4,16265
124,אהרון בוגנים 4,73.97,2021,1410000,5953-4-65,דירה בבית,4,19062
125,גרשון שץ 10,76.17,2021,1450000,5953-12-12,דירה בבית,4,19036
126,0,174,2021,3116202,4350-68-24,דירה בבית,6,17909
127,0,128,2021,1978800,4350-68-31,דירה בבית,5,15459
128,0,128,2021,1999200,4350-68-30,דירה בבית,5,15619
129,0,126,2021,2019600,4350-68-28,דירה בבית,5,16029
130,0,125,2021,2029800,4350-68-27,דירה בבית,5,16238
131,0,126,2021,2009400,4350-68-29,דירה בבית,5,15948
132,0,125,2021,2040000,4350-68-26,דירה בבית,5,16320
133,0,123,2021,2091000,4350-68-25,דירה בבית,5,17000
134,0,126,2021,1963500,4350-68-33,דירה בבית,5,15583
135,0,126,2021,1968800,4350-68-32,דירה בבית,5,15625
136,0,174,2021,1989000,4350-68-125,דירה בבית,5,11431
137,אהרון בוגנים 4,62.18,2021,1320000,5953-4-46,דירה בבית,3,21229
146,יובלים 4,74.73,2021,60000,4350-81-21,דירה בבית,3,803
147,שמחה הולצברג 1,61,2021,1220000,5953-27-6,דירה בבית,3,20000
148,אהרון בוגנים 5,61.54,2021,1280000,5953-7-5,דירה בבית,3,20799
149,אהרון בוגנים 1,42.91,2021,865000,5953-9-38,דירה בבית,2,20158
150,0,128,2021,1920000,4350-68-177,דירה בבית,5,15000
151,אהרון בוגנים 2,73.97,2021,1500000,5953-4-32,דירה בבית,4,20278
152,שמחה הולצברג 4,62.18,2021,1330000,5953-17-2,דירה בבית,3,21390
153,שמחה הולצברג 16,64.13,2021,1280000,5953-10-95,דירה בבית,3,19959
154,אריה קרמר 16,69.54,2021,1174000,5953-21-15,דירה בבית,3,16882
155,שמחה הולצברג 16,78.27,2021,1430000,5953-10-60,דירה בבית,4,18270
156,גרשון שץ 12,59.54,2021,1270000,5953-11-2,דירה בבית,3,21330
157,שמחה הולצברג 2,62.18,2021,1305000,5953-16-31,דירה בבית,3,20987
158,אהרון בוגנים 5,61.54,2021,1330000,5953-7-13,דירה בבית,3,21612
159,0,174,2021,3000000,4350-68-178,דירה בבית,5,17241
160,0,128,2021,1975000,4350-68-179,דירה בבית,5,15430
161,גרשון שץ 12,59.54,2021,1300000,5953-11-9,דירה בבית,3,21834
162,0,128,2021,1985000,4350-68-180,דירה בבית,5,15508
163,שמחה הולצברג 2,62.18,2021,1266000,5953-16-27,דירה בבית,3,20360
164,0,128,2021,1925000,4350-68-181,דירה בבית,5,15039
166,גרשון שץ 8,59.54,2021,1240000,5953-13-1,דירה בבית,3,20826
167,שמחה הולצברג 7,72.13,2021,1280000,5953-25-11,דירה בבית,4,17746
168,שמחה הולצברג 7,84.14,2021,1325000,5953-25-13,דירה בבית,5,15748
169,גרשון שץ 10,82.41,2021,1425000,5953-12-11,דירה בבית,4,17292
170,אהרון בוגנים 1,45.01,2021,1000000,5953-9-40,דירה בבית,3,22217
171,0,126,2021,1955000,4350-68-182,דירה בבית,5,15516
172,גרשון שץ 8,76.17,2021,1470000,5953-13-20,דירה בבית,4,19299
173,אהרון בוגנים 10,61.54,2021,1240000,5953-2-6,דירה בבית,3,20149
174,אהרון בוגנים 5,61.54,2021,1280000,5953-7-1,דירה בבית,3,20799
175,שמחה הולצברג 16,64.47,2021,1200000,5953-10-55,דירה בבית,3,18613
176,אהרון בוגנים 4,62.18,2021,1010000,5953-4-63,דירה בבית,3,16243
177,גרשון שץ 12,85.84,2021,1500000,5953-11-34,דירת,4,17474
178,0,123,2021,1943000,4350-68-183,דירה בבית,5,15797
179,אהרון בוגנים 4,100.76,2021,1800000,5953-4-72,דירה בבית,4,17864
180,יובלים 6,81.73,2021,1670000,4350-83-61,דירה בבית,4,20433
181,אהרון בוגנים 4,73.97,2021,1300000,5953-4-56,דירה בבית,4,17575
182,אהרון בוגנים 12,61.54,2021,1200000,5953-2-45,דירה בבית,3,19500
183,0,126,2021,1848000,4350-68-184,דירה בבית,5,14667
184,שמחה הולצברג 16,78.27,2021,1465000,5953-10-133,דירה בבית,4,18717
185,שמחה הולצברג 16,64.83,2021,1230000,5953-10-24,דירה בבית,3,18973
186,אריה קרמר 12,69.54,2021,1200000,5953-24-14,דירה בבית,4,17256
187,שמחה הולצברג 16,64.07,2021,1399000,5953-10-129,דירה בבית,3,21835
188,אהרון בוגנים 12,61.54,2021,1260000,5953-2-65,דירה בבית,3,20474
189,0,174,2021,1810000,4350-68-185,דירה בבית,5,10402
190,0,125,2021,1950000,4350-68-187,דירה בבית,5,15600
191,0,123,2021,1943000,4350-68-188,דירה בבית,5,15797
192,אהרון בוגנים 10,61.54,2021,1285000,5953-2-5,דירה בבית,3,20881
193,גרשון שץ 12,66.65,2021,1280000,5953-11-25,דירה בבית,3,19205
194,שמחה הולצברג 2,62.18,2021,1290000,5953-16-19,דירה בבית,3,20746
195,אהרון בוגנים 8,62.18,2021,700000,5953-3-62,דירה בבית,3,11258
196,אהרון בוגנים 5,61.54,2021,1230000,5953-7-30,דירה בבית,3,19987
197,גרשון שץ 6,63.04,2021,1320000,5953-14-20,דירה בבית,3,20939
198,0,122,2021,1880000,4350-68-189,דירה בבית,5,15410
199,0,126,2021,1848000,4350-68-190,דירה בבית,5,14667
200,0,122,2021,1890000,4350-68-191,דירה בבית,5,15492
201,0,125,2021,1835000,4350-68-192,דירה בבית,5,14680
