מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
486,מולכו 1,67,2017,2150000,6186-278-4,דירה בבית,4,32090
487,הגאון אליהו 7,62,2017,1850000,6186-369-7,דירה בבית,3,29839
488,חיים לנדאו 7,126.05,2017,3600000,6186-658-172,דירה בבית,5,28560
489,נגבה 55,76.36,2017,1500000,6186-193-9,דירה בבית,3.5,19644
490,ירושלים 95,62,2017,1635000,6186-457-8,דירה בבית,3.5,26371
491,תרצה 5,62.74,2017,1760000,6186-328-10,דירה בבית,3,28052
492,גולומב 8,88.88,2017,1950000,6186-284-49,דירה בבית,4,21940
493,הגאון אליהו 2,81,2017,1818100,6186-646-14,דירה בבית,3,22446
496,ירושלים 92,100,2017,1676000,6186-385-16,דירה בבית,4,16760
497,תרצה 8,97.5,2017,2060000,6186-683-26,דירה בבית,4,21128
498,מולכו 3,73,2017,1800000,6186-277-17,דירה בבית,3,24658
499,מאיר בעל הנס 8,62,2017,1710000,6186-368-2,דירה בבית,3,27581
500,יוחנן באדר 8,102.7,2017,2725000,6186-669-99,דירה בבית,4,26534
511,חיים לנדאו 3,103,2017,1650000,6186-579-15,דירה בבית,5,16019
512,מולכו 1,64,2017,2420000,6186-278-2,דירה בבית,4,37813
513,0,156.2,2017,2450000,6186-664-76,דירה בבית,5,15685
515,חזון איש 84,71,2017,1675000,6186-534-7,דירה בבית,3.5,23592
516,רימלט אלימלך 4,117,2017,2200000,6186-650-47,דירה בבית,4,18803
517,תרצה 8,100,2017,2020000,6186-683-4,דירה בבית,4,20200
518,מולכו 6,60,2017,1450000,6186-273-16,דירה בבית,2.5,24167
519,מולכו 1,64,2017,1924000,6186-278-10,דירה בבית,4,30063
520,הגאון אליהו 12,122.51,2017,2635000,6186-667-11,דירה בבית,4,21508
522,0,109.2,2017,2050000,6186-664-41,דירה בבית,5,18773
523,גולומב 8,88.88,2017,1880000,6186-284-43,דירה בבית,4,21152
524,יוחנן באדר 10,133.3,2017,3700000,6186-669-235,דירה בבית,5,27757
525,תרצה 8,96,2017,2040000,6186-683-24,דירה בבית,4,21250
526,מאיר בעל הנס 5,107.52,2017,2434000,6186-256-34,דירה בבית,5,22638
527,תרצה 8,100,2017,2020000,6186-683-6,דירה בבית,4,20200
528,מיכאל 5,81,2017,600000,6145-167-1,דירה בבית,4,7407
529,תרצה 8,114,2017,2575000,6186-683-3,דירה בבית,4,22588
530,ירושלים 84,60,2017,1480000,6186-220-11,דירה בבית,2.5,24667
531,מאיר בעל הנס 20,59,2017,1699000,6186-583-13,דירה בבית,3,28797
532,מאיר בעל הנס 5,115.7,2017,2400000,6186-256-30,דירה בבית,5,20743
533,יוחנן באדר 10,125.7,2017,3019000,6186-669-163,דירה בבית,5,24018
534,תרצה 8,86,2017,2250000,6186-683-19,דירה בבית,3,26163
535,ירושלים 87,54.12,2017,1300000,6186-571-5,דירה בבית,3,24021
536,תרצה 8,96,2017,2020000,6186-683-18,דירה בבית,4,21042
537,אלימלך רימלט 12,105.1,2017,2560000,6186-677-24,דירה בבית,4,24358
538,יוחנן באדר 4,125.64,2017,2850000,6186-668-12,דירה בבית,5,22684
