city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
רמת גן,מרום נווה,419,ירושלים 96,75.7,2018,1775000,6186-503-13,דירה בבית,4,23448
רמת גן,מרום נווה,420,תרצה 3,60,2018,1724000,6186-512-11,דירה בבית,3,28733
רמת גן,מרום נווה,421,0,95.1,2018,1965000,6186-664-32,דירה בבית,4,20662
רמת גן,מרום נווה,422,מאיר בעל הנס 25,59,2018,1790000,6186-486-1,דירה בבית,3,30339
רמת גן,מרום נווה,423,0,118.9,2018,2149000,6186-664-13,דירה בבית,5,18074
רמת גן,מרום נווה,424,0,109,2018,2200000,6186-664-8,דירה בבית,5,20183
רמת גן,מרום נווה,425,חיים לנדאו 7,126.05,2018,3500000,6186-658-123,דירה בבית,5,27767
רמת גן,מרום נווה,427,מולכו 7,54.18,2018,1500000,6186-450-14,דירה בבית,2.5,27685
רמת גן,מרום נווה,428,חיים לנדאו 7,121.14,2018,2880000,6186-658-232,דירה בבית,5,23774
רמת גן,מרום נווה,429,חיים לנדאו 3,80,2018,1900000,6186-579-5,דירה בבית,4,23750
רמת גן,מרום נווה,430,יוחנן באדר 6,89.5,2018,2050000,6186-669-35,דירה בבית,3.5,22905
רמת גן,מרום נווה,432,יוחנן באדר 4,82.96,2018,1940000,6186-668-38,דירה בבית,3.5,23385
רמת גן,מרום נווה,433,מאיר בעל הנס 33,111,2018,1800000,6186-479-8,דירה בבית,4,16216
רמת גן,מרום נווה,434,מולכו 1,120,2018,2100000,6186-278-5,דירה,5,17500
רמת גן,מרום נווה,435,תרצה 8,120,2018,3000000,6186-683-29,דירה בבית,4,25000
רמת גן,מרום נווה,436,גולומב 10,97.54,2018,1967000,6186-594-1,דירה בבית,4,20166
רמת גן,מרום נווה,437,ירושלים 93,44,2018,1520000,6186-292-21,דירה בבית,2.5,34545
רמת גן,מרום נווה,438,יוחנן באדר 8,125.2,2018,3250000,6186-669-88,דירה בבית,4.5,25958
רמת גן,מרום נווה,439,חיים לנדאו 7,103.62,2018,2626200,6186-658-140,דירה בבית,4,25345
רמת גן,מרום נווה,440,יוחנן באדר 4,82.96,2018,2070000,6186-668-10,דירה בבית,4,24952
רמת גן,מרום נווה,441,מאיר בעל הנס 25,52,2018,1560000,6186-486-7,דירה בבית,2.5,30000
רמת גן,מרום נווה,442,מולכו 1,107,2018,2120000,6186-705-9,דירה בבית,4,19813
רמת גן,מרום נווה,443,ירושלים 92,131,2018,2870000,6186-385-34,דירה בבית,5,21908
רמת גן,מרום נווה,444,חיים לנדאו 7,115.08,2018,3000000,6186-658-174,דירה בבית,4,26069
רמת גן,מרום נווה,446,ירושלים 92,95,2018,1780000,6186-385-35,דירה בבית,4,18737
רמת גן,מרום נווה,447,ירושלים 93,52,2018,1280000,6186-292-10,דירה בבית,2.5,24615
רמת גן,מרום נווה,448,אלימלך רימלט 10,125.1,2018,2780000,6186-676-61,דירה בבית,4,22222
רמת גן,מרום נווה,450,גולומב 10,89.32,2018,1880000,6186-594-7,דירה בבית,4,21048
רמת גן,מרום נווה,451,מאיר בעל הנס 22,82.75,2018,1664000,6186-584-7,דירה בבית,3,20109
רמת גן,מרום נווה,453,יוחנן באדר 4,164.28,2018,4018000,6186-668-70,דירה בבית,5,24458
רמת גן,מרום נווה,454,גולומב 8,88.84,2018,2090000,6186-284-54,דירה,4,23525
רמת גן,מרום נווה,455,הגאון אליהו 10,103,2018,2100000,6186-646-116,דירה בבית,4,20388
רמת גן,מרום נווה,456,אלימלך רימלט 10,148.2,2018,3500000,6186-676-59,דירה בבית,5,23617
רמת גן,מרום נווה,457,הגאון אליהו 23,113.1,2018,2260000,6186-528-8,דירה בבית,5,19982
רמת גן,מרום נווה,458,אלימלך רימלט 12,134.1,2018,3290000,6186-677-46,דירה בבית,4.5,24534
רמת גן,מרום נווה,459,רימלט אלימלך 4,110,2018,2300000,6186-650-12,דירה בבית,4,20909
רמת גן,מרום נווה,460,ירושלים 92,47,2018,1520000,6186-385-2,דירה בבית,2,32340
רמת גן,מרום נווה,461,הגאון אליהו 8,124,2018,2799000,6186-646-102,דירה בבית,5,22573
רמת גן,מרום נווה,462,אלימלך רימלט 12,129.7,2018,2750000,6186-677-5,דירה בבית,4,21203
רמת גן,מרום נווה,463,מאיר בעל הנס 20,57.87,2018,1650000,6186-583-2,דירה בבית,3,28512
רמת גן,מרום נווה,464,ירושלים 92,91,2018,1680000,6186-385-20,דירה בבית,3,18462
רמת גן,מרום נווה,466,תרצה 8,68,2018,1990000,6186-265-13,דירה,4,29265
רמת גן,מרום נווה,467,גולומב 10,97.54,2018,1935000,6186-594-5,דירה,4,19838
רמת גן,מרום נווה,468,גולומב 10,97.54,2018,1955000,6186-594-9,דירה,4,20043
רמת גן,מרום נווה,469,גולומב 10,93.17,2018,1630000,6186-594-12,דירה,3,17495
רמת גן,מרום נווה,470,גולומב 10,68.22,2018,2068000,6186-594-14,דירה,4,30314
רמת גן,מרום נווה,471,תרצה 8,92.9,2018,1990000,6186-683-22,דירה בבית,4,21421
רמת גן,מרום נווה,472,אלימלך רימלט 2,121,2018,2700000,6186-675-1,דירה בבית,5,22314
רמת גן,מרום נווה,473,ירושלים 91,42,2018,1215000,6186-345-16,דירה בבית,2,28929
רמת גן,מרום נווה,475,ירושלים 79,50,2018,1450000,6186-329-5,דירה בבית,2,29000
רמת גן,מרום נווה,476,תרצה 9,64,2018,1590000,6186-216-10,דירה בבית,3,24844
