מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
595,משה שרת 44,160,2020,3850000,6125-350-20,דירה,5,24063
597,התמרים 14,52.5,2020,1430000,6125-369-19,דירה בבית,2,27238
598,דוד בן גוריון 106,50,2020,1350000,6125-491-4,דירה בבית,2,27000
599,קריניצי 99,50,2020,1715000,6125-146-18,דירה,2,34300
600,משה שרת 44,178,2020,6000000,6125-350-19,דירה,6,33708
601,החייל האלמוני 6,50,2020,725000,6125-336-18,דירה בבית,2,14500
602,הגת 11,69,2020,1850000,6125-465-2,דירה,2,26812
603,הראה 39,28,2020,1100000,6125-158-5,דירה בבית,1,39286
604,יוסף הגלילי 17,84,2020,2400000,6125-160-8,דירה,4,28571
605,הגת 11,93,2020,2800000,6125-465-1,דירה,4,30108
606,יוסף הגלילי 12,50,2020,1670000,6125-417-5,דירה,2,33400
608,מגדים 9,57,2020,1600000,6125-529-22,דירה בבית,2,28070
609,קריניצי 101,54,2020,1730000,6125-147-23,דירה בבית,2,32037
610,הרצל 88,47.5,2020,1500000,6125-503-25,דירה בבית,2,31579
611,קריניצי 96,81.63,2020,1975000,6125-675-2,דירה בבית,4,24195
612,אבטליון 11,54,2020,1300000,6125-571-24,דירה בבית,3,24074
613,יוסף הגלילי 9,59,2020,1860000,6125-120-21,דירה בבית,3,31525
614,הגיבורים 1,51,2020,1550000,6125-617-3,דירה בבית,2,30392
616,משה שרת 44,165,2020,4100000,6125-350-18,דירה,5,24848
617,קריניצי 99,85,2020,2250000,6125-146-17,דירה בבית,4,26471
618,אלימלך 12,84.2,2020,2050000,6125-479-4,דירה בבית,4,24347
619,הגת 8,94,2020,2300000,6125-497-12,דירה בבית,4,24468
620,הגת 8,113,2020,2300000,6125-498-3,דירה,4,20354
621,קריניצי 99,94,2020,2250000,6125-146-16,דירה,4,23936
622,יוסף הגלילי 17,84,2020,2225000,6125-160-7,דירה,4,26488
623,הראה 27,56,2020,1670000,6125-152-18,דירה בבית,2.5,29821
624,קריניצי 99,65,2020,1950000,6125-146-14,דירה,3,30000
625,קריניצי 99,65,2020,2050000,6125-146-15,דירה,3,31538
626,ביאליק 62,61.5,2020,2040000,6127-177-6,דירה בבית,2,33171
627,הילד 20,100,2020,1900000,6127-241-19,דירה בבית,4,19000
628,הרצל 77,91,2020,1780000,6127-883-192,דירה בבית,4.5,19560
