city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
רמת גן,מתחם נגבה,226,החיל 32,70,2023,2470000,6145-727-4,דירה בבית,3,35286
רמת גן,מתחם נגבה,227,עמינדב 2,73,2023,2390000,6145-677-10,דירה בבית,3,32740
רמת גן,מתחם נגבה,228,חד נס 27,108,2023,3850000,6145-1351-12,דירה בבית,4,35648
רמת גן,מתחם נגבה,233,שלומציון 6,87,2023,2825000,6145-174-17,דירה בבית,4,32471
רמת גן,מתחם נגבה,234,שלומציון 6,87,2023,2800000,6145-174-18,דירה בבית,4,32184
רמת גן,מתחם נגבה,236,טרומן 38,70,2023,2150000,6145-1338-6,דירה בבית,3,30714
רמת גן,מתחם נגבה,237,עמינדב 10,50,2023,1775000,6145-681-9,דירה בבית,2,35500
רמת גן,מתחם נגבה,238,הראובני 5,105,2023,3160000,6145-500-7,דירה בבית,5,30095
רמת גן,מתחם נגבה,239,עמינדב 2,73,2023,2485000,6145-677-12,דירה בבית,3,34041
רמת גן,מתחם נגבה,241,תל חי 9,106,2023,3250000,6186-489-6,דירה בבית,5,30660
רמת גן,מתחם נגבה,242,החיל 15,122.7,2023,4330000,6145-1668-15,דירה בבית,4,35289
רמת גן,מתחם נגבה,243,עמינדב 2,77,2023,1350000,6145-677-13,דירה בבית,3,17532
רמת גן,מתחם נגבה,244,תל חי 9,89,2023,2430000,6186-489-7,דירה בבית,4,27303
רמת גן,מתחם נגבה,245,עמינדב 2,72,2023,2480000,6145-677-14,דירה בבית,3,34444
רמת גן,מתחם נגבה,246,תל חי 27,111,2023,2200000,6182-63-9,דירה בבית,5,19820
רמת גן,מתחם נגבה,247,החיל 15,91.6,2023,2930000,6145-1668-2,דירה בבית,4,31987
רמת גן,מתחם נגבה,248,הראה 190,41,2023,1800000,6145-909-24,דירה בבית,2.5,43902
רמת גן,מתחם נגבה,249,בת שוע 8,85,2023,2174000,6145-183-20,דירה בבית,3,25576
רמת גן,מתחם נגבה,251,החיל 5,83,2023,3050000,6145-1621-8,דירה בבית,4,36747
רמת גן,מתחם נגבה,252,חרוד 3,81,2023,2520000,6182-78-4,דירה בבית,4,31111
רמת גן,מתחם נגבה,253,יא באדר 17,95,2023,2840000,6182-114-5,דירה בבית,4,29895
רמת גן,מתחם נגבה,254,יא באדר 15,90,2023,2840000,6182-498-19,דירה בבית,4,31556
רמת גן,מתחם נגבה,257,הירדן 58,71.15,2023,1800000,6182-352-2,דירה בבית,3.5,25299
רמת גן,מתחם נגבה,258,עוזיאל 133,95.7,2023,2875000,6145-1189-6,דירה בבית,4,30042
רמת גן,מתחם נגבה,259,הראה 194,75,2023,2920000,6145-1674-2,דירה בבית,3,38933
