מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
27,דוד בן גוריון 229,100.2,2023,3000000,6157-195-1,דירה בבית,4.5,29940
28,גרנדוס 12,114,2023,750000,6157-233-1,דירה בבית,5,6579
29,כנפי נשרים 36,43.65,2023,1950000,6157-781-4,דירה בבית,2,44674
30,השחרור 1,61,2023,2080000,6157-619-3,דירה בבית,3,34098
31,פבריגט 23,52.02,2023,2000000,6157-284-3,דירה בבית,3,38447
32,תנועת המרי 15,67,2023,500000,6157-261-2,דירה בבית,2,7463
33,קפלן 6,79,2023,2145000,6157-621-2,דירה בבית,4,27152
34,פבריגט 4,35.52,2023,900000,6157-184-8,דירה בבית,2,25338
35,כנפי נשרים 26,59,2023,730000,6157-112-6,דירה בבית,3,12373
36,תנועת המרי 5,75,2023,2500000,6157-240-3,דירה בבית,3,33333
