city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
רמת גן,קרית קריניצי,180,0,124,2022,2384000,6235-18-203,דירה בבית,5,19226
רמת גן,קרית קריניצי,184,0,138,2022,2673000,6235-18-204,דירה בבית,6,19370
רמת גן,קרית קריניצי,188,0,138,2022,2681000,6235-18-205,דירה בבית,6,19428
רמת גן,קרית קריניצי,192,0,138,2022,2663000,6235-18-206,דירה בבית,6,19297
רמת גן,קרית קריניצי,195,0,138,2022,2686000,6235-18-207,דירה בבית,6,19464
רמת גן,קרית קריניצי,202,0,138,2022,2641000,6235-24-172,דירה בבית,6,19138
רמת גן,קרית קריניצי,207,0,138,2022,2696000,6235-18-208,דירה בבית,6,19536
רמת גן,קרית קריניצי,208,0,138,2022,2705000,6235-18-209,דירה בבית,6,19601
רמת גן,קרית קריניצי,211,0,138,2022,2701000,6235-18-210,דירה בבית,6,19572
רמת גן,קרית קריניצי,213,0,138,2022,2707000,6235-18-211,דירה בבית,6,19616
רמת גן,קרית קריניצי,215,0,138,2022,2636000,6235-18-212,דירה בבית,6,19101
רמת גן,קרית קריניצי,216,0,138,2022,2694000,6235-18-213,דירה בבית,6,19522
רמת גן,קרית קריניצי,219,0,138,2022,2642000,6235-18-214,דירה בבית,6,19145
רמת גן,קרית קריניצי,223,0,138,2022,2646000,6235-18-215,דירה בבית,6,19174
רמת גן,קרית קריניצי,226,0,138,2022,2709000,6235-18-217,דירה בבית,6,19630
רמת גן,קרית קריניצי,229,0,138,2022,2649000,6235-18-219,דירה בבית,6,19196
רמת גן,קרית קריניצי,236,0,128,2022,2439000,6235-18-220,דירה בבית,5,19055
רמת גן,קרית קריניצי,237,0,123,2022,2368000,6235-24-173,דירה בבית,5,19252
רמת גן,קרית קריניצי,240,0,138,2022,2615000,6235-24-174,דירה בבית,6,18949
רמת גן,קרית קריניצי,242,0,138,2022,2707000,6235-18-221,דירה בבית,6,19616
רמת גן,קרית קריניצי,244,0,123,2022,2380000,6235-24-175,דירה בבית,5,19350
רמת גן,קרית קריניצי,247,0,123,2022,2456000,6235-24-176,דירה בבית,5,19967
רמת גן,קרית קריניצי,251,0,123,2022,2404000,6235-24-178,דירה בבית,5,19545
רמת גן,קרית קריניצי,253,0,123,2022,2388000,6235-24-181,דירה בבית,5,19415
רמת גן,קרית קריניצי,257,0,123,2022,2539000,6235-24-183,דירה בבית,5,20642
רמת גן,קרית קריניצי,258,0,123,2022,2413061,6235-24-185,דירה בבית,5,19618
רמת גן,קרית קריניצי,263,0,123,2022,2489403,6235-24-187,דירה בבית,5,20239
רמת גן,קרית קריניצי,264,0,128,2022,2465000,6235-18-223,דירה בבית,5,19258
רמת גן,קרית קריניצי,266,0,123,2022,2400000,6235-24-188,דירה בבית,5,19512
רמת גן,קרית קריניצי,271,0,123,2022,2408000,6235-24-190,דירה בבית,5,19577
רמת גן,קרית קריניצי,272,0,138,2022,2685000,6235-18-224,דירה בבית,6,19457
רמת גן,קרית קריניצי,275,0,128,2022,2330000,6235-18-225,דירה בבית,5,18203
רמת גן,קרית קריניצי,277,0,138,2022,2631000,6235-18-226,דירה בבית,6,19065
רמת גן,קרית קריניצי,279,0,138,2022,2654000,6235-18-227,דירה בבית,6,19232
רמת גן,קרית קריניצי,280,0,123,2022,2435000,6235-24-191,דירה בבית,5,19797
רמת גן,קרית קריניצי,283,0,138,2022,2676000,6235-18-230,דירה בבית,6,19391
רמת גן,קרית קריניצי,287,0,138,2022,2310000,6235-24-193,דירה בבית,5,16739
רמת גן,קרית קריניצי,291,0,123,2022,2559000,6235-24-195,דירה בבית,5,20805
רמת גן,קרית קריניצי,293,0,138,2022,2498000,6235-24-196,דירה בבית,5,18101
רמת גן,קרית קריניצי,294,0,138,2022,2707000,6235-18-231,דירה בבית,6,19616
רמת גן,קרית קריניצי,301,0,123,2022,2425000,6235-24-200,דירה בבית,5,19715
רמת גן,קרית קריניצי,302,0,124,2022,2455000,6235-18-233,דירה בבית,5,19798
רמת גן,קרית קריניצי,305,0,74,2022,1436000,6235-18-234,דירה בבית,3,19405
רמת גן,קרית קריניצי,306,0,138,2022,2559000,6235-24-201,דירה בבית,6,18543
רמת גן,קרית קריניצי,312,0,124,2022,2401000,6235-18-236,דירה בבית,5,19363
רמת גן,קרית קריניצי,313,0,123,2022,2503000,6235-24-207,דירה בבית,5,20350
רמת גן,קרית קריניצי,320,0,74,2022,1488000,6235-18-237,דירה בבית,3,20108
רמת גן,קרית קריניצי,321,0,123,2022,2394000,6235-24-210,דירה בבית,5,19463
רמת גן,קרית קריניצי,330,0,74,2022,1431000,6235-18-241,דירה בבית,3,19338
רמת גן,קרית קריניצי,331,0,126,2022,2441000,6235-24-214,דירה בבית,5,19373
רמת גן,קרית קריניצי,338,0,123,2022,2460000,6235-24-218,דירה בבית,5,20000
רמת גן,קרית קריניצי,339,0,74,2022,1488000,6235-18-243,דירה בבית,3,20108
רמת גן,קרית קריניצי,348,0,74,2022,1502000,6235-18-249,דירה בבית,3,20297
