מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
81,עגנון 12,115.6,2020,2850000,6583-593-18,דירה בבית,5,24654
82,ריינס 8,164.7,2020,6000000,6583-465-1,דירה בבית,7,36430
83,טשרניחובסקי 2,240,2020,4165000,6586-838-5,קוטג' דו משפחתי,6,17354
84,הרצל 59,363,2020,7750000,6583-93-2,קוטג' דו משפחתי,6,21350
85,רמבם 74,242,2020,4200000,6586-43-2,קוטג' דו משפחתי,9,17355
88,0,343,2020,4200000,6583-215-1,קוטג' דו משפחתי,7,12245
89,פרדס משותף 54,199,2020,3770000,6583-460-2,קוטג' דו משפחתי,6,18945
91,גורדון 34,169.85,2020,5050000,6582-116-2,קוטג' דו משפחתי,6,29732
92,ריינס 12,164,2020,4975000,6583-464-1,קוטג' דו משפחתי,7,30335
93,רמבם 75,469,2020,7270000,6586-97-2,קוטג' דו משפחתי,9,15501
94,0,250,2020,4800000,6584-49-6,דירה בבית,7,19200
95,רמבם 83,242,2020,4349000,6586-508-3,קוטג' דו משפחתי,7,17971
97,עגנון 12,104.8,2020,2110000,6583-593-15,דירה בבית,4.5,20134
98,עגנון 16,92.4,2020,1750000,6583-589-1,דירה בבית,4,18939
