מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
348,הפעמונים 25,104,2016,3470000,7651-602-2,דירה בבית,5,33365
349,הפרחים 40,96.5,2016,2390000,7651-533-12,דירה בבית,3,24767
350,הפרחים 36,74,2016,2390000,7651-658-15,דירה בבית,3,32297
351,הפרחים 13,93.5,2016,2065000,7651-623-243,דירה בבית,4,22086
352,הסחלב 9,96,2016,2660000,7651-517-5,דירה בבית,4,27708
353,הסחלב 17,103,2016,2710000,7651-661-15,דירה בבית,5,26311
354,הפרחים 13,71.8,2016,1640000,7651-623-140,דירה בבית,2.5,22841
355,הלוטוס 20,104.9,2016,2400000,7651-628-9,דירה בבית,5,22879
356,הפרחים 36,74,2016,2100000,7651-658-16,דירה בבית,3,28378
357,הלוטוס 11,74,2016,1900000,7651-662-14,דירה בבית,3,25676
358,שרה אהרונסון 14,99.2,2016,2180000,6582-352-13,דירה בבית,4,21976
359,הסחלב 15,96,2016,3080000,7651-514-11,דירה בבית,4.5,32083
360,הלוטוס 18,114,2016,2610000,7651-627-21,דירה בבית,5,22895
361,הפרחים 36,168,2016,3400000,7651-658-12,דירה בבית,5,20238
362,היקינטון 3,131,2016,3850000,7651-646-8,דירה בבית,5,29389
363,הפרחים 13,72,2016,1745000,7651-623-180,דירה בבית,2.5,24236
364,הסחלב 7,92,2016,2770000,7651-664-1,דירה בבית,4,30109
365,החרצית 2,93,2016,2224000,6582-398-12,דירה בבית,4,23914
366,המלכים 23,167.6,2016,3660000,6582-294-8,דירת,5,21838
367,בילו 58,194.7,2016,4235000,6582-187-4,דירה בבית,5,21751
368,הלוטוס 4,68.4,2016,2200000,7651-645-2,דירה בבית,3,32164
369,הלוטוס 16,110,2016,3085000,7651-627-2,דירה בבית,5,28045
370,הסחלב 8,89,2016,2100000,7651-513-5,דירה בבית,4,23596
371,הקרן 4,235,2016,5150000,6582-325-1,דירה בבית,7,21915
372,הפרחים 13,110,2016,1950000,7651-623-167,דירה בבית,3.5,17727
373,הסחלב 13,92.85,2016,2270000,7651-515-9,דירה בבית,4,24448
374,הפרחים 36,168,2016,3900000,7651-658-24,דירה בבית,5,23214
375,שרה אהרונסון 6,83,2016,1970000,6582-353-11,דירה בבית,3,23735
376,הפרחים 10,228,2016,2799000,6582-291-4,דירה בבית,5,12276
377,הפרחים 36,74,2016,2125000,7651-658-18,דירה בבית,3,28716
378,ידין יגאל 2,115.23,2016,2260000,6582-223-15,דירה בבית,5,19613
379,הפרחים 13,99,2016,1970000,7651-623-202,דירה בבית,4,19899
380,הפרחים 13,67,2016,1550000,7651-623-165,דירה בבית,2,23134
381,הפרחים 13,77.3,2016,1870000,7651-623-178,דירה בבית,3,24191
382,הפרחים 27,86.09,2016,1890000,7651-572-7,דירה בבית,3,21954
383,הפרחים 6,157.8,2016,3160000,6582-361-21,דירה בבית,6,20025
384,החרצית 1,112,2016,1960000,6582-606-4,דירה בבית,5,17500
385,יצחק שדה 18,228,2016,5000000,6582-162-1,דירה בבית,6,21930
386,הצליל 18,242,2016,4800000,6582-405-2,קוטג' דו משפחתי,6,19835
387,שרה אהרונסון 7,88,2016,2429000,6582-292-7,דירה בבית,4,27602
388,הפעמונים 20,96.5,2016,2340000,6582-376-20,דירה בבית,4,24249
389,הפרחים 13,82.2,2016,1799000,7651-623-132,דירה בבית,3,21886
390,ידין יגאל 2,97.75,2016,1920000,6582-223-2,דירה בבית,4,19642
391,הפרחים 13,94.4,2016,2300000,7651-623-204,דירת גן,4,24364
392,שרה אהרונסון 12,78,2016,1840000,6582-352-18,דירה בבית,3,23590
