מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
134,ויצמן 133,75,2018,2770000,7654-208-41,דירה,4,36933
135,מונטיפיורי 17,262,2018,4450000,7654-364-1,קוטג' דו משפחתי,6,16985
136,ויצמן 131,75,2018,2056000,7654-209-5,דירה בבית,3,27413
137,ויצמן 133,98,2018,2056000,7654-208-40,דירה,3,20980
138,ויצמן 131,127,2018,2150000,7654-209-6,דירה בבית,4,16929
139,ויצמן 131,85,2018,1800000,7654-209-8,דירה בבית,3,21176
140,ויצמן 131,128,2018,2500000,7654-209-9,דירה בבית,4,19531
141,ויצמן 131,132,2018,2800000,7654-209-10,דירה בבית,5,21212
142,ויצמן 131,75,2018,1870000,7654-209-12,דירה בבית,3,24933
143,ויצמן 131,132,2018,2880000,7654-209-13,דירה בבית,5,21818
144,חביבה רייק 15,314,2018,6000000,7654-345-3,דירה בבית,8,19108
145,אלקלעי 36,188,2018,110000,7654-222-1,קוטג' דו משפחתי,6,585
146,ויצמן 131,136,2018,955000,7654-209-14,דירה בבית,6,7022
147,אלקלעי 19,44.5,2018,4000000,7654-231-2,קוטג' חד משפחתי,2,89888
148,ויצמן 131,85,2018,1843000,7654-209-15,דירה בבית,3,21682
149,ויצמן 131,115,2018,2490000,7654-209-16,דירה בבית,5,21652
150,ויצמן 121,46.1,2018,204000,7654-175-17,דירה בבית,3,4425
151,ויצמן 131,110,2018,2480000,7654-209-17,דירה בבית,4,22545
152,ויצמן 131,102,2018,773000,7654-209-18,דירה בבית,4,7578
