מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
2,אליהו ברלין 3,128,2025,7700000,6632-485-25,דירה בבית,5,60156
4,אביגור שאול 5,114,2025,4850000,6620-23-45,דירה בבית,4,42544
6,קדושי השואה 18,107.5,2024,6085000,6632-473-18,דירה בבית,5,56605
7,פאגלין עמיחי 9,112.44,2024,5600000,6632-503-24,דירה בבית,5,49804
8,יאיר רוזנבלום 1,117,2024,5015000,6632-505-18,דירה בבית,5,42863
9,פאגלין עמיחי 9,170.39,2024,9000000,6632-503-29,דירה בבית,6,52820
10,אליהו ברלין 3,128,2024,7650000,6632-485-26,דירה בבית,5,59766
11,קדושי השואה 18,92.6,2024,5500000,6632-473-15,דירה בבית,4,59395
12,אליהו ברלין 3,110,2024,6500000,6632-485-27,דירה בבית,4,59091
14,דניאל סמבורסקי 7,109.8,2024,6200000,6632-471-29,דירה בבית,5,56466
15,אורי צבי גרינברג 6,116.2,2024,4950000,6632-469-39,דירה בבית,5,42599
18,אליהו ברלין 7,139,2024,8090000,6632-486-47,דירה בבית,5,58201
19,דניאל סמבורסקי 9,99.45,2024,5118000,6632-471-54,דירה בבית,4,51463
20,דניאל סמבורסקי 9,97.6,2024,5300000,6632-471-62,דירה בבית,4,54303
21,אליהו ברלין 3,77,2024,4665000,6632-485-29,דירה בבית,3,60584
23,אליהו ברלין 5,105,2024,2720000,6632-486-46,דירה בבית,4,25905
24,אורי צבי גרינברג 4,116.7,2024,6000000,6632-469-27,דירה בבית,5,51414
25,אליהו ברלין 3,110,2024,6577000,6632-485-30,דירה בבית,4,59791
27,אורי צבי גרינברג 10,77.65,2024,4126000,6632-470-56,דירה בבית,3,53136
28,אורי צבי גרינברג 6,119.75,2024,5900000,6632-469-67,דירה בבית,5,49269
29,יאיר רוזנבלום 1,117,2024,6100000,6632-505-19,דירה בבית,5,52137
30,אליהו ברלין 3,77,2024,4600000,6632-485-31,דירה בבית,3,59740
32,אורי צבי גרינברג 8,83.55,2024,4890000,6632-470-37,דירה בבית,3,58528
33,אביגור שאול 11,112.4,2024,5320000,6620-22-18,דירה בבית,5,47331
34,אליהו ברלין 3,110,2023,6384000,6632-485-32,דירה בבית,4,58036
37,עמיחי פאגלין 6,81,2023,4175000,6632-483-7,דירה בבית,3,51543
38,אורי צבי גרינברג 4,113.15,2023,5925000,6632-469-10,דירה בבית,5,52364
39,אליהו ברלין 5,126,2023,6570000,6632-486-45,דירה בבית,5,52143
